bucket,total,--,AE,AR,AT,AU,BE,BG,BJ,BM,BO,BR,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JM,JP,KE,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MW,MX,MY,NA,NG,NI,NL,NO,NP,NZ,OM,PE,PF,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA
2022-08-16T01,99,3,0,1,0,1,0,0,0,0,1,4,0,0,11,0,0,0,0,6,0,0,0,6,0,0,0,1,0,0,2,0,4,1,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1,2,0,0,37,0,0,2,0
2022-08-16T02,93,2,0,1,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,9,0,0,0,1,0,0,0,1,0,42,0,0,0,0
2022-08-16T03,67,3,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,26,0,0,0,0
2022-08-16T04,91,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,16,0,0,0,7,0,0,0,0,0,0,1,0,4,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,2,0,1,31,0,0,1,0
2022-08-16T05,67,3,0,1,0,2,0,0,0,0,0,3,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,2,0,0,17,0,0,0,0
2022-08-16T06,117,3,0,0,0,2,0,0,1,0,0,3,0,0,2,0,0,0,0,19,0,0,0,10,0,0,0,0,0,0,1,0,4,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,3,0,0,43,0,0,1,0
2022-08-16T07,82,2,0,0,0,1,0,0,0,0,0,2,0,0,3,1,0,0,0,9,0,0,0,7,0,0,0,0,0,0,2,0,4,2,0,0,0,1,0,0,0,2,0,0,3,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,0,0,7,0,0,0,1,0,0,0,0,0,15,0,0,1,0
2022-08-16T08,121,2,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,22,0,0,0,14,0,0,0,0,0,0,3,0,3,3,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,6,0,0,0,3,0,0,3,1,0,34,0,0,0,0
2022-08-16T09,85,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,1,4,0,0,0,8,0,0,0,0,0,0,1,0,6,2,0,0,0,3,0,0,0,2,0,0,0,0,1,0,6,1,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,7,0,0,0,3,0,0,1,2,0,11,0,0,1,0
2022-08-16T10,85,4,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,1,0,0,1,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,5,0,0,0,2,0,0,3,0,0,26,0,0,0,0
2022-08-16T11,83,3,0,1,0,4,0,0,0,0,0,2,0,0,2,1,0,0,0,6,0,0,0,6,0,0,0,0,0,0,2,0,2,1,0,0,0,5,0,0,1,1,0,0,1,0,2,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,0,0,2,0,0,21,0,0,1,0
2022-08-16T12,97,2,0,0,0,1,0,0,0,0,0,3,0,0,2,1,0,0,0,5,0,0,0,8,0,0,0,0,0,0,2,0,6,2,0,0,0,9,0,0,1,2,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,1,7,0,0,1,6,0,1,4,1,0,17,0,0,1,0
