bucket,total,--,AE,AO,AR,AT,AU,BE,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DO,EC,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KM,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PL,PR,PS,PT,RO,RS,RU,RW,SC,SE,SG,SI,SX,SY,TH,TR,TW,UA,US,UZ,VN,ZA
2022-10-11T01,93,1,0,0,0,0,1,0,0,0,6,0,0,3,2,0,4,0,0,0,0,0,0,3,1,0,2,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,5,0,0,1,5,0,0,0,4,1,0,0,39,0,0,0
2022-10-11T02,87,2,0,0,0,0,1,0,0,0,7,0,0,5,0,0,7,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,35,0,0,0
2022-10-11T03,65,2,0,0,1,0,1,0,0,0,5,0,0,3,0,0,4,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5,0,0,0,3,0,0,0,25,0,1,0
2022-10-11T04,93,2,0,0,2,0,1,0,0,0,5,1,0,15,0,0,7,0,0,0,0,1,0,3,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,4,0,0,1,8,0,0,0,1,0,0,1,27,0,2,0
2022-10-11T05,80,1,0,0,0,0,3,0,0,0,2,0,0,18,0,0,6,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,2,0,1,0,0,0,0,0,0,5,0,0,0,5,0,0,0,1,0,0,0,20,0,1,1
2022-10-11T06,80,1,0,0,0,0,3,0,0,0,0,0,0,17,0,0,12,0,0,0,0,1,0,2,2,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,1,1,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,0,0,17,0,0,1
2022-10-11T07,108,4,0,0,0,0,0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,0,0,4,4,0,1,0,1,0,0,7,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,0,0,35,0,1,1
2022-10-11T08,94,1,0,0,1,0,0,0,1,0,0,0,0,17,0,0,15,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,1,0,5,0,0,0,6,0,0,0,4,0,0,0,24,0,0,2
2022-10-11T09,103,1,0,0,0,0,1,0,1,0,1,0,0,18,0,0,15,0,0,0,0,1,1,5,4,0,2,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,2,1,5,0,0,0,6,0,0,0,2,0,0,0,20,0,0,1
2022-10-11T10,97,2,0,0,1,0,1,0,0,0,1,0,0,9,0,0,8,0,0,0,0,3,0,4,4,0,4,0,2,0,0,1,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,0,0,2,0,0,0,0,0,1,3,0,0,0,6,0,0,0,1,0,1,0,26,0,0,1
2022-10-11T11,125,1,0,0,2,0,1,0,0,0,1,0,0,12,1,1,16,0,0,0,0,1,0,4,8,0,2,0,0,0,0,11,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,0,0,4,0,0,3,6,0,0,0,1,0,7,0,27,0,0,1
2022-10-11T12,86,0,0,0,1,0,0,1,0,0,0,0,0,12,1,0,7,0,0,0,0,0,0,3,3,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,2,5,0,0,0,6,1,1,0,24,0,0,1
