bucket,total,--,AE,AR,AT,AU,AZ,BA,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,DE,DK,DO,EG,ES,ET,FI,FR,GB,GM,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KR,KW,KZ,LK,LT,LU,LV,MD,MK,MM,MT,MU,MX,MY,NL,NO,NP,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SY,TH,TR,TW,TZ,UA,UG,US,UY,VN
2022-04-25T20,190,1,0,1,1,0,0,1,1,1,0,1,0,6,3,0,7,0,35,0,0,0,3,1,0,7,14,0,0,0,0,0,3,1,2,0,22,5,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,18,2,0,0,0,0,2,1,0,2,0,5,0,1,5,0,0,1,4,2,3,0,0,0,24,0,0
2022-04-25T21,157,1,0,2,0,0,0,0,1,2,0,2,0,6,2,0,8,0,24,0,0,0,2,0,0,7,11,0,2,0,0,0,0,0,1,0,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,0,0,0,4,1,2,7,0,0,0,4,0,2,0,0,0,25,0,1
2022-04-25T22,148,2,0,0,1,0,0,0,0,1,0,0,0,11,1,1,14,0,14,0,0,0,3,0,0,3,9,0,0,0,0,0,2,0,1,0,11,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,0,0,1,2,0,0,0,4,1,0,7,0,0,0,2,1,2,0,0,0,28,0,1
2022-04-25T23,148,1,0,0,1,0,0,0,0,0,0,3,0,16,0,0,12,0,11,0,0,0,2,0,0,2,9,0,1,0,0,0,0,0,0,0,9,5,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,3,0,4,0,0,5,0,0,0,1,1,0,0,0,0,49,0,2
2022-04-26T00,147,1,0,0,1,1,0,0,0,1,0,1,0,21,0,0,15,0,5,0,0,0,2,0,0,0,6,0,0,0,0,1,0,0,1,0,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,0,1,0,3,1,0,9,0,0,0,2,0,3,0,0,0,50,0,5
2022-04-26T01,113,1,0,0,0,0,0,0,0,1,0,2,0,10,0,0,8,0,6,0,0,0,2,0,0,1,7,0,2,0,0,1,1,0,3,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,5,0,0,0,2,0,3,0,0,0,45,0,0
2022-04-26T02,107,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,13,0,4,0,0,0,1,0,0,3,9,0,6,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,5,0,0,7,0,0,0,0,0,1,0,0,0,29,0,1
2022-04-26T03,115,2,0,1,1,0,0,0,0,0,0,2,0,7,0,1,13,0,6,0,0,0,1,0,0,3,3,0,13,0,0,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,2,0,3,0,0,0,39,0,1
2022-04-26T04,107,1,0,0,1,0,0,0,0,0,0,4,0,3,0,0,14,0,7,0,0,0,1,0,0,0,2,0,4,0,0,1,0,0,2,1,0,5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,2,0,8,0,0,0,38,0,0
2022-04-26T05,145,1,0,0,1,4,0,0,0,0,0,0,0,5,0,2,16,0,4,0,0,0,1,0,0,2,5,0,3,0,0,0,0,0,3,2,0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,1,0,7,0,0,0,5,0,4,0,0,0,62,0,0
2022-04-26T06,80,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,10,0,8,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,1,0,2,0,1,0,26,0,1
