bucket,total,--,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BJ,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LA,LB,LR,LT,LU,LV,LY,MA,MD,MK,MM,MN,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SE,SG,SK,SX,SY,TH,TN,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZW
2022-09-19T12,90,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,8,0,0,0,0,0,0,1,1,6,4,0,0,0,0,0,7,0,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0,2,3,0,2,8,0,0,0,6,0,0,2,0,0,0,13,0,0,2,0,0
2022-09-19T13,127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,13,0,0,0,0,0,0,2,1,6,13,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,8,0,0,0,12,0,1,1,0,2,0,29,0,0,0,0,0
2022-09-19T14,135,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,16,0,0,0,13,0,1,0,0,0,0,4,0,5,9,0,0,0,0,0,7,0,0,0,0,1,0,0,0,4,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,1,0,0,5,0,0,7,0,0,0,12,0,0,4,0,0,0,24,0,0,1,0,0
2022-09-19T15,162,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,7,1,0,0,29,3,0,0,0,0,0,1,1,10,5,0,0,0,0,0,15,0,0,0,0,1,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,3,0,3,7,0,0,0,17,0,0,1,0,0,0,23,0,0,1,0,0
2022-09-19T16,158,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,22,0,0,0,34,0,0,0,0,0,0,2,0,11,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,9,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,1,0,0,0,0,2,0,5,5,0,0,0,13,0,2,1,0,0,0,20,0,0,0,0,0
2022-09-19T17,217,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,10,0,2,0,19,0,0,0,38,0,0,0,0,0,0,4,1,12,6,0,0,0,0,0,5,0,0,0,0,1,0,1,0,13,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,1,0,1,7,0,9,6,0,0,0,8,0,1,0,0,0,0,41,0,0,0,0,0
2022-09-19T18,212,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,14,0,1,0,17,0,0,0,49,1,0,0,0,0,0,8,2,8,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,1,0,4,0,0,7,0,4,5,0,0,0,9,0,1,0,0,0,0,19,0,0,0,0,0
2022-09-19T19,189,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,11,0,0,0,21,0,0,0,34,0,0,0,0,0,0,3,2,9,6,0,0,0,1,0,0,0,2,1,0,1,0,0,0,14,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,1,5,0,3,6,0,0,0,6,0,3,0,0,0,0,23,0,0,1,0,0
2022-09-19T20,212,3,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,0,29,0,0,0,29,0,0,0,0,0,0,5,0,11,9,0,0,0,0,0,0,0,0,1,0,1,0,1,0,23,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,1,0,2,0,1,2,0,3,5,0,0,0,1,0,3,0,0,0,0,47,0,1,1,0,0
2022-09-19T21,152,3,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,21,0,0,0,22,0,0,0,0,0,0,5,1,9,10,0,0,0,0,0,3,0,0,1,0,0,0,0,0,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,6,0,0,0,4,0,1,0,0,0,0,20,0,1,1,0,0
