bucket,total,--,AD,AE,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KY,KZ,LA,LB,LK,LT,LU,MD,MN,MO,MX,MY,NL,NO,NP,NZ,PA,PE,PH,PL,PT,RO,RS,RU,RW,SC,SE,SG,TH,TJ,TN,TR,TW,UA,US,UY,VE,VN,ZA,ZM
2022-01-31T19,506,0,0,0,1,2,0,0,0,7,0,0,0,3,0,17,3,0,22,0,0,0,251,1,0,0,12,0,1,11,20,0,0,0,0,1,0,8,1,0,1,20,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,43,0,0,0,0,0,1,1,2,1,0,4,0,0,9,7,6,0,0,4,2,2,39,0,0,0,0,0
2022-01-31T20,363,9,0,0,0,1,0,1,0,2,0,0,0,2,0,14,6,0,23,0,0,0,124,1,0,0,5,0,0,11,20,0,0,2,0,3,1,3,1,2,0,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,1,0,0,5,0,10,0,1,6,7,6,0,0,1,1,1,35,0,0,1,0,0
2022-01-31T21,234,0,0,0,0,2,0,1,0,0,0,0,0,2,0,10,2,0,18,0,0,0,71,0,0,0,4,0,0,5,17,0,0,1,0,1,1,1,0,1,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,0,0,2,0,1,0,4,0,0,2,7,3,0,0,1,0,0,31,0,0,1,0,0
2022-01-31T22,181,1,0,0,1,1,0,1,0,0,0,1,0,2,0,10,0,0,13,0,0,0,42,0,0,0,4,0,0,5,10,0,0,1,0,0,1,1,0,1,0,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,1,1,0,2,0,0,3,5,1,0,0,1,0,0,39,0,0,1,0,0
2022-01-31T23,178,0,0,0,0,1,0,0,0,0,0,0,0,3,0,14,1,1,10,0,0,0,29,0,0,0,2,0,0,4,14,0,0,0,0,0,1,0,0,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,1,3,0,0,3,0,0,1,5,0,0,0,0,0,0,54,0,0,1,0,0
2022-02-01T00,158,0,0,0,0,2,0,0,0,0,0,0,0,1,0,19,2,1,13,1,0,0,16,0,0,0,2,0,1,2,5,0,0,1,0,0,1,0,0,1,0,11,3,0,0,1,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,1,0,1,0,1,0,0,2,0,0,1,7,1,0,0,0,0,0,52,0,0,2,0,0
2022-02-01T01,145,0,0,0,0,0,1,0,0,0,0,0,0,5,0,21,1,1,14,0,0,0,7,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,0,1,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,1,1,1,0,0,0,1,0,4,0,0,1,8,1,0,0,0,0,0,51,0,1,0,0,0
2022-02-01T02,135,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,1,0,11,1,0,0,10,0,1,0,3,0,0,2,2,0,0,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,5,0,0,2,5,2,0,0,0,1,1,51,1,1,3,0,0
2022-02-01T03,129,0,0,0,1,0,0,0,0,0,0,0,0,2,0,16,1,0,9,0,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,0,0,1,2,0,0,0,4,0,0,3,7,3,0,0,0,0,1,49,1,0,3,0,0
2022-02-01T04,103,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,7,0,0,0,5,0,0,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,4,0,0,1,0,0,0,0,3,0,0,2,5,1,0,0,0,0,0,43,0,0,5,0,0
2022-02-01T05,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,9,0,0,0,5,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,3,6,0,0,0,0,2,1,33,0,0,0,0,0
2022-02-01T06,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,8,0,0,0,6,0,0,0,1,0,0,2,2,0,0,1,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,3,0,0,4,5,6,0,0,0,1,0,46,0,0,0,0,0
2022-02-01T07,104,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,1,9,0,0,0,8,0,0,0,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,1,9,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,0,1,0,4,0,0,2,7,7,0,0,0,2,2,26,0,0,0,0,0
2022-02-01T08,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,0,0,14,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,0,1,5,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0,6,0,0,0,0,0,6,0,0,0,0,5,0,0,2,8,3,0,0,0,4,0,23,0,0,0,0,0
2022-02-01T09,131,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,8,0,0,0,25,0,0,0,1,0,1,6,2,0,0,1,0,0,0,0,1,0,0,7,9,0,0,0,0,0,0,1,0,0,0,0,0,1,1,8,0,0,0,0,0,5,2,0,0,0,3,0,0,1,7,7,0,0,1,3,1,22,0,0,0,0,0
2022-02-01T10,107,1,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,6,0,0,0,23,0,0,0,3,0,0,1,2,0,0,1,0,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,3,1,0,0,0,3,0,0,2,6,3,0,0,2,0,0,23,0,0,0,0,0
2022-02-01T11,114,1,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,19,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,2,0,0,0,5,0,0,2,5,3,0,0,0,0,1,27,0,0,0,0,0
