bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BR,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LT,LU,MA,MD,MK,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SE,SG,SK,SN,SV,SY,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2022-05-23T21,160,4,0,0,1,1,1,0,1,0,0,1,0,1,0,2,4,2,0,0,12,2,0,25,0,0,0,0,1,1,0,7,14,0,0,0,1,0,0,1,0,0,1,0,0,0,20,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,0,0,0,1,2,0,1,0,1,0,0,2,6,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0
2022-05-23T22,124,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,5,1,0,16,0,0,0,1,0,3,0,6,10,0,0,0,1,0,0,1,0,0,1,0,0,0,9,0,8,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,3,0,0,2,5,0,0,0,0,0,1,1,1,0,28,0,0,0,1,0,0
2022-05-23T23,101,3,0,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,9,0,0,12,0,0,0,0,0,1,0,4,6,0,0,0,2,0,0,1,0,0,2,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,0,0,2,5,0,0,0,0,1,0,1,0,1,25,0,0,0,2,0,0
2022-05-24T00,100,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,6,0,0,0,0,0,1,0,4,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,0,0,2,0,3,0,1,37,0,0,0,1,0,0
2022-05-24T01,125,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,8,0,0,6,0,0,0,0,0,0,0,6,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,1,0,1,0,1,0,0,1,0,2,0,0,1,5,0,0,0,0,2,0,4,0,0,51,0,0,0,2,0,0
2022-05-24T02,134,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,7,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,2,0,4,0,0,67,0,0,0,0,0,0
2022-05-24T03,69,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,6,0,0,3,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,4,0,0,26,0,0,0,0,0,0
2022-05-24T04,91,2,0,0,0,0,3,0,0,0,0,0,0,1,0,0,5,1,1,0,5,0,0,6,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,6,0,0,0,0,1,0,2,0,0,38,0,0,0,2,0,0
2022-05-24T05,73,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,11,0,0,8,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,2,1,3,0,0,19,0,0,0,0,0,0
2022-05-24T06,93,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,8,0,0,7,0,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,2,5,0,0,0,0,1,0,9,0,0,18,0,0,0,2,0,0
