bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BM,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LA,LT,LU,MA,MD,MK,MN,MO,MT,MU,MW,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SA,SE,SG,SK,SL,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-02-28T08,134,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10,0,0,0,21,3,0,11,0,0,0,0,0,0,3,0,1,3,0,0,0,8,0,0,0,0,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,2,5,0,0,3,0,0,1,1,34,0,0,0,1,0,0
2022-02-28T09,114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,2,0,0,18,1,0,11,0,0,0,0,0,0,1,0,4,6,0,0,0,9,0,0,0,0,1,0,1,0,0,7,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,5,0,0,2,0,0,2,2,17,0,0,0,0,0,0
2022-02-28T10,138,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,11,0,0,24,0,0,0,0,0,0,2,0,6,10,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,3,6,0,0,4,0,0,2,0,24,0,0,0,5,0,0
2022-02-28T11,146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,18,0,0,20,0,0,0,0,0,0,4,0,6,14,0,0,0,14,0,0,0,0,1,0,0,0,0,2,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,3,6,0,0,4,0,0,4,2,19,0,0,0,0,0,0
2022-02-28T12,158,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,13,0,0,15,0,0,0,0,0,0,3,0,8,14,0,0,0,14,0,0,0,0,0,0,3,0,0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,9,0,0,7,1,0,2,0,30,0,0,0,0,0,0
2022-02-28T13,154,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,9,0,0,30,0,0,0,0,0,0,4,0,4,14,0,0,0,13,0,0,1,0,0,0,0,0,0,3,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,3,7,0,0,8,1,0,7,1,19,0,0,0,2,0,0
2022-02-28T14,186,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,15,2,0,0,16,0,0,36,2,0,0,0,0,0,1,0,8,10,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,3,0,1,0,0,0,1,0,4,0,0,4,8,0,0,9,0,1,5,0,26,0,0,0,1,1,0
2022-02-28T15,206,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,9,1,0,1,20,0,0,36,3,0,0,0,0,0,3,0,12,10,0,0,0,9,0,0,0,1,0,0,4,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,0,2,7,0,0,13,0,1,5,2,37,0,0,0,0,0,0
2022-02-28T16,209,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,17,0,0,53,1,0,0,0,0,0,1,0,11,11,0,0,0,4,0,0,0,0,0,0,4,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,6,7,0,0,12,0,0,2,2,31,0,0,0,1,0,0
2022-02-28T17,260,1,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,6,2,0,0,16,0,0,82,5,0,0,0,0,0,3,0,10,9,0,0,0,5,0,0,0,1,1,0,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,1,2,0,0,0,0,5,1,0,6,7,0,0,10,0,0,0,2,39,0,0,0,2,0,0
