bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JO,JP,KH,KR,KZ,LK,LS,LT,LU,LV,MD,MK,MX,MY,NL,NO,NP,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,SI,SK,SY,TH,TN,TR,TW,UA,US,UY,UZ,VN,ZA,ZM,ZW
2022-06-08T00,109,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,10,0,0,0,13,1,0,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,2,7,0,1,0,2,0,0,0,0,47,0,0,2,0,0,0
2022-06-08T01,116,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,11,0,0,0,13,1,0,0,3,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4,0,2,7,0,0,0,1,0,1,1,0,55,0,0,0,0,0,0
2022-06-08T02,148,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10,0,0,0,18,1,0,0,4,0,0,0,0,1,0,1,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,2,0,1,5,0,0,0,3,0,0,3,0,78,0,0,0,0,0,0
2022-06-08T03,97,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,9,1,0,0,19,0,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,2,5,0,0,0,2,0,0,1,0,37,0,0,1,0,0,0
2022-06-08T04,88,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,0,2,0,2,7,0,0,0,3,0,0,2,0,39,0,0,1,0,0,0
2022-06-08T05,86,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,4,1,0,0,13,0,0,0,2,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,2,8,0,0,0,2,0,0,2,0,35,0,0,0,0,0,0
2022-06-08T06,96,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,5,0,0,0,0,0,0,2,2,0,1,0,0,13,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,2,0,3,5,0,0,0,2,0,0,2,0,25,0,0,1,0,0,0
2022-06-08T07,102,2,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,0,0,12,0,0,0,6,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,2,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,0,6,5,0,0,0,1,0,1,2,0,25,0,0,1,0,0,0
2022-06-08T08,103,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,0,0,22,0,0,0,9,0,0,1,0,0,0,2,8,0,3,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,1,1,0,0,3,0,4,7,0,0,0,2,0,1,0,0,17,0,0,2,0,0,0
2022-06-08T09,124,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,5,0,0,0,0,1,0,2,4,0,1,0,0,0,0,0,0,4,0,0,11,0,2,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,2,0,0,1,0,0,3,1,3,8,0,0,0,7,0,0,4,1,37,0,0,0,0,0,0
2022-06-08T10,131,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,0,0,0,8,1,0,0,0,2,1,1,5,0,7,0,1,0,0,0,0,2,0,0,15,0,18,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,3,0,0,1,0,0,0,0,2,7,0,0,0,2,0,2,6,0,20,0,0,2,0,0,0
2022-06-08T11,112,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,15,0,0,0,11,0,0,0,0,1,2,0,7,0,7,0,1,0,0,0,0,3,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,1,0,0,4,0,2,14,0,0,0,5,0,1,3,0,13,0,0,1,0,0,0
2022-06-08T12,84,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,4,0,0,0,0,1,2,2,3,0,10,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,1,0,1,0,3,7,0,1,0,1,0,1,3,0,12,0,0,2,0,0,0
