bucket,total,--,AE,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BR,BY,CA,CF,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LK,LT,LU,LV,MA,MK,MM,MO,MQ,MU,MX,MY,NA,NG,NL,NO,NP,NZ,OM,PA,PH,PK,PL,PT,PY,QA,RO,RU,RW,SE,SG,SI,SK,SV,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2022-06-13T09,138,2,0,0,0,0,4,0,0,0,0,0,1,0,3,0,0,1,0,0,18,0,0,0,0,15,0,0,0,0,0,0,0,6,1,0,0,0,3,0,0,0,0,0,0,3,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,4,0,2,9,0,0,0,0,2,0,1,0,6,0,1,38,0,0,0,0,0,0
2022-06-13T10,169,3,0,0,0,1,1,0,0,0,0,0,1,0,4,0,2,1,0,0,17,0,0,0,0,11,0,0,0,0,0,2,0,8,2,0,0,0,3,0,0,0,1,0,0,2,0,2,0,23,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,0,2,1,0,0,0,5,0,2,8,0,0,0,0,1,0,0,0,8,0,0,45,0,0,0,0,0,0
2022-06-13T11,196,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,53,0,0,0,0,11,0,0,0,0,0,2,0,5,3,0,0,0,5,0,0,0,1,0,0,3,0,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,3,0,1,0,0,0,0,4,0,2,8,0,1,0,0,2,0,2,0,4,0,0,56,0,0,0,0,0,0
2022-06-13T12,171,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,25,0,0,0,0,11,0,0,0,0,0,3,0,3,3,0,0,0,9,0,0,0,1,1,0,3,0,5,0,4,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,3,0,0,0,0,0,0,5,2,2,13,0,0,0,0,12,0,3,0,10,0,0,31,0,0,1,0,0,0
2022-06-13T13,187,1,0,0,0,0,1,0,0,0,1,0,3,0,7,0,0,0,0,0,22,0,0,0,0,14,0,0,0,0,0,1,0,4,1,0,0,0,6,0,0,0,0,1,0,7,1,7,0,3,0,0,7,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,5,1,1,7,0,0,0,0,9,0,3,0,15,0,0,41,0,0,2,0,0,0
2022-06-13T14,169,1,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,25,0,0,0,0,15,0,0,0,0,0,1,0,7,3,0,0,0,6,0,0,1,1,1,0,5,0,7,0,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,10,0,0,0,0,0,4,0,0,0,0,0,0,3,0,1,9,0,0,0,0,8,0,1,0,15,0,0,25,0,0,0,1,0,0
2022-06-13T15,223,1,1,0,3,1,1,0,0,0,1,0,2,0,2,0,1,0,0,0,19,0,0,0,0,18,1,0,0,0,0,3,0,6,14,0,0,0,9,0,0,0,0,0,0,2,0,6,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,7,0,0,0,0,8,0,2,0,16,0,0,72,0,0,0,1,0,0
2022-06-13T16,208,2,0,0,1,1,1,0,0,0,1,0,2,0,4,0,0,0,0,0,21,0,0,0,0,33,0,0,0,0,0,3,0,10,5,0,0,0,11,0,0,0,0,1,0,1,0,14,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,2,0,0,0,2,5,0,2,8,0,0,0,0,6,0,0,0,14,0,0,34,0,0,1,0,0,0
2022-06-13T17,249,1,0,0,0,1,1,0,0,0,2,0,0,0,8,0,2,0,0,0,20,0,0,0,0,43,0,0,0,0,0,5,0,5,13,0,0,0,6,0,0,0,0,2,0,3,0,11,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,2,1,0,0,2,7,1,2,9,0,0,0,0,6,0,0,0,10,0,2,60,0,0,0,0,0,0
2022-06-13T18,276,2,1,0,0,0,0,0,0,0,2,0,0,0,14,0,3,0,0,0,20,1,0,0,0,48,0,0,0,0,0,5,0,5,17,0,0,0,4,0,0,0,3,2,0,2,0,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,1,0,0,2,0,1,1,0,0,0,7,0,4,9,0,0,0,1,3,0,1,0,4,0,0,75,0,0,0,0,0,0
2022-06-13T19,248,3,3,0,1,0,0,0,0,0,3,0,0,0,13,0,1,0,1,0,15,0,0,0,0,44,0,0,0,0,0,7,0,10,17,0,0,0,4,1,0,1,0,11,0,2,0,13,0,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,6,0,3,10,0,0,0,0,6,0,2,0,5,0,0,42,0,0,0,0,0,0
2022-06-13T20,234,2,1,0,2,1,0,0,0,0,2,0,2,0,4,0,1,0,1,0,25,0,0,0,0,32,0,0,0,0,0,2,0,8,16,0,0,0,3,0,0,0,0,0,0,2,0,23,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,8,0,0,0,0,7,0,2,0,5,0,0,58,0,0,1,0,0,0
2022-06-13T21,180,3,0,0,0,2,0,0,0,0,1,0,2,0,2,0,0,0,0,0,23,0,0,0,0,27,1,0,0,0,0,3,0,5,12,0,0,0,1,0,0,0,2,0,0,2,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,1,0,0,2,3,0,0,8,0,0,0,0,6,0,0,0,1,0,0,41,0,0,0,0,0,0
2022-06-13T22,179,1,0,0,1,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,40,0,0,0,0,14,0,0,0,0,0,3,0,4,8,0,0,0,0,0,0,0,2,0,0,1,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,1,1,0,0,2,3,0,1,7,0,0,0,0,1,0,0,0,2,0,0,59,0,0,0,0,0,0
2022-06-13T23,135,2,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,22,0,0,0,0,11,0,0,0,0,0,2,0,2,8,0,0,0,0,0,0,0,0,1,0,3,0,7,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,6,0,0,0,0,0,1,1,0,1,0,0,42,0,0,2,0,0,0
2022-06-14T00,136,2,0,0,0,1,0,0,0,0,0,0,3,0,21,0,1,0,0,0,18,0,0,0,0,4,0,0,0,0,0,1,0,3,2,0,0,0,1,0,0,0,0,0,0,2,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,0,0,0,1,48,0,0,4,0,0,0
2022-06-14T01,122,2,0,0,1,0,0,0,0,0,0,0,2,0,7,0,0,0,0,1,17,0,0,0,0,7,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,4,0,2,0,1,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,1,0,0,45,0,0,0,0,0,0
