bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BN,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LT,LU,MA,MD,MK,MN,MO,MT,MX,MY,MZ,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SD,SE,SG,SK,SN,SY,TH,TN,TR,TW,TZ,UA,US,UY,VN,ZA,ZM,ZW
2022-05-02T17,293,1,0,0,0,1,0,0,0,3,0,0,5,0,7,2,0,0,13,0,0,0,77,0,0,7,0,0,17,9,0,0,0,5,0,0,1,2,1,0,1,0,12,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,15,6,0,0,0,0,1,0,1,0,0,1,6,0,0,12,7,0,0,0,21,0,2,5,0,1,34,0,1,0,0,0
2022-05-02T18,255,1,0,0,0,1,0,0,0,3,0,0,1,0,15,1,0,0,7,0,0,0,66,0,0,7,0,0,5,22,0,0,0,1,0,0,0,1,2,2,0,0,10,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,27,0,0,0,0,0,0,0,1,1,0,2,3,0,0,6,6,0,0,0,20,0,2,1,0,1,32,0,0,0,0,0
2022-05-02T19,282,1,1,0,0,1,1,1,0,4,0,0,1,0,8,3,0,0,14,0,0,0,52,0,0,9,0,0,8,25,0,0,0,2,0,1,0,2,0,5,0,0,16,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,20,2,0,0,0,0,0,0,1,1,0,1,4,0,0,6,8,0,0,0,15,0,1,0,0,0,59,0,1,0,0,0
2022-05-02T20,234,3,0,0,2,1,1,1,0,3,0,0,1,0,6,1,0,0,10,1,0,0,34,0,0,5,0,0,10,14,0,0,0,3,0,0,0,2,1,3,0,0,25,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,0,0,0,0,0,5,1,0,3,5,0,0,6,11,0,0,0,12,0,0,1,1,0,38,0,1,0,0,0
2022-05-02T21,210,3,0,0,0,2,0,0,0,3,0,0,0,0,7,3,0,0,11,1,0,0,19,0,0,3,0,0,6,22,0,1,0,2,0,0,0,1,0,3,0,0,24,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,5,0,0,5,9,0,0,0,10,0,1,0,1,1,46,0,0,0,0,0
2022-05-02T22,137,3,1,0,0,0,1,1,1,0,0,0,0,0,8,0,0,0,10,0,0,0,8,0,0,1,0,0,3,12,0,0,0,2,0,0,0,0,0,1,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,8,0,0,0,8,0,1,0,0,1,35,0,0,0,1,0
2022-05-02T23,162,2,0,0,0,1,2,1,1,0,0,0,1,0,14,1,0,0,11,0,0,0,12,0,0,2,0,0,3,13,0,0,0,2,0,0,0,0,0,1,1,0,3,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,6,0,0,4,10,0,0,0,4,0,0,0,0,0,50,0,2,0,1,0
2022-05-03T00,161,1,0,0,0,0,2,1,0,0,0,0,3,0,17,0,0,0,9,0,0,0,6,0,0,3,0,0,6,10,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,1,4,1,0,3,8,0,0,0,1,0,0,0,0,1,65,0,0,0,0,1
2022-05-03T01,133,1,0,0,1,0,2,0,0,0,1,0,3,0,15,0,0,0,16,1,0,0,6,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,1,1,0,0,5,0,0,3,8,0,0,0,2,0,0,0,0,0,48,0,0,0,0,0
2022-05-03T02,137,1,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,16,0,0,0,7,0,0,1,0,0,1,3,0,0,0,2,0,0,0,3,0,7,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,3,7,0,0,0,3,1,0,1,0,0,46,0,1,0,0,0
2022-05-03T03,114,1,0,0,1,1,1,0,0,0,0,0,0,0,9,0,1,0,9,0,0,0,6,0,0,1,0,0,0,5,0,0,0,4,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,3,5,0,0,0,2,1,1,1,0,0,41,0,5,0,0,0
2022-05-03T04,100,1,0,0,1,0,1,0,0,0,0,1,2,0,6,0,0,0,11,0,0,0,8,0,0,1,0,1,1,3,0,0,0,2,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,1,4,0,0,3,7,1,0,0,3,0,0,1,0,0,31,0,0,0,0,0
2022-05-03T05,104,2,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,6,0,0,0,7,0,0,1,0,1,2,3,0,0,0,6,0,0,2,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,7,0,1,0,0,0,4,0,0,3,7,0,0,0,2,0,0,2,0,0,34,0,0,0,0,0
2022-05-03T06,115,1,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,9,0,0,0,11,0,0,1,0,1,4,4,0,0,0,3,0,0,0,3,0,3,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,0,0,1,0,0,0,0,1,3,0,0,4,8,0,0,0,5,0,1,1,0,0,33,0,1,0,0,0
2022-05-03T07,114,1,0,0,1,0,1,0,0,0,0,0,1,0,3,0,0,0,17,0,0,0,12,0,0,1,0,1,1,4,0,0,0,5,0,0,0,0,0,5,0,0,4,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,1,2,0,0,3,8,0,0,0,6,0,0,0,0,0,24,0,1,0,0,0
