bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BN,BO,BR,CA,CH,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,EC,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MK,MM,MO,MT,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SE,SG,SI,SK,SY,SZ,TH,TN,TR,TW,UA,US,UY,VN,ZA,ZW
2022-10-17T17,213,3,0,0,0,0,0,3,0,0,0,0,6,0,0,1,5,1,0,0,0,58,0,0,0,8,1,10,18,0,0,2,0,0,0,1,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,1,0,0,0,0,10,0,6,5,0,0,0,0,15,0,2,3,0,25,0,1,0,0
2022-10-17T18,274,1,0,0,0,1,0,2,0,0,0,0,15,3,0,0,8,1,0,0,0,58,0,0,0,5,0,9,19,0,0,2,0,0,0,0,0,0,0,8,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,3,0,2,0,0,3,0,2,8,0,0,0,0,8,0,2,1,0,78,0,1,0,0
2022-10-17T19,249,4,0,3,0,0,0,1,0,0,0,4,13,2,0,0,3,0,0,0,0,51,1,0,0,6,0,16,14,0,0,3,0,0,1,1,0,2,0,9,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,0,1,5,0,3,8,0,0,0,0,1,0,2,2,0,59,0,1,0,0
2022-10-17T20,197,4,0,3,1,0,0,1,0,0,1,2,6,3,0,0,7,0,0,1,0,30,0,0,0,2,0,14,22,0,0,1,0,0,0,0,0,2,0,18,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,19,1,0,0,0,0,0,0,1,0,2,0,1,3,0,5,5,0,0,0,0,0,0,1,1,0,28,0,0,0,0
2022-10-17T21,145,3,0,2,0,0,1,0,0,0,0,0,9,3,0,0,5,0,0,1,0,15,0,0,0,1,0,10,12,0,0,2,0,0,0,0,0,1,0,12,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,3,0,1,2,0,1,5,0,0,0,0,2,0,0,2,0,33,0,1,0,0
2022-10-17T22,154,4,0,1,0,1,0,0,0,0,0,1,11,1,0,0,4,0,0,0,0,12,0,0,0,0,0,5,8,0,0,2,0,0,0,1,0,10,0,4,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,1,0,0,0,0,0,0,1,0,1,2,0,0,8,0,0,0,0,0,0,0,2,0,49,0,0,0,0
2022-10-17T23,159,2,0,1,0,0,0,0,0,0,0,0,8,1,0,0,6,0,0,0,0,9,0,0,0,1,0,9,7,0,0,0,0,0,0,8,0,4,0,2,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,1,2,0,1,0,0,2,0,1,6,0,0,0,0,1,0,1,3,0,65,0,0,0,0
2022-10-18T00,148,2,0,0,0,0,0,0,0,0,0,1,17,0,0,0,8,0,0,0,0,7,0,0,0,0,0,5,7,0,0,2,0,0,0,7,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0,1,1,2,0,67,0,0,1,0
2022-10-18T01,167,3,0,0,0,1,0,0,0,0,0,2,10,0,0,0,7,1,0,0,0,6,0,0,0,1,0,2,6,0,0,0,0,0,1,0,0,8,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,5,1,0,6,1,0,0,0,0,1,0,1,0,95,0,0,0,0
2022-10-18T02,131,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,1,0,0,0,6,0,0,0,1,0,2,6,0,0,1,0,0,7,0,0,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,7,0,0,0,0,2,0,0,1,0,55,0,0,0,0
2022-10-18T03,114,1,0,1,0,1,0,0,0,0,0,1,3,0,0,0,8,0,0,0,0,4,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,5,0,0,0,0,1,0,0,1,0,70,0,0,0,0
2022-10-18T04,84,1,0,0,0,1,0,0,0,0,1,0,6,0,0,0,7,0,0,0,0,5,0,0,0,0,0,3,4,0,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,6,0,1,0,0,0,0,0,2,0,29,0,0,1,0
2022-10-18T05,114,1,0,2,0,2,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,5,0,0,0,1,0,2,4,0,0,1,0,0,0,0,0,1,0,1,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,6,0,0,0,0,1,0,0,2,2,48,0,1,0,0
2022-10-18T06,102,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,7,0,3,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,4,1,0,5,0,0,0,0,2,0,0,3,0,37,0,0,1,0
2022-10-18T07,107,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,7,0,0,0,1,0,2,4,0,0,0,0,0,0,12,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,4,0,1,5,0,0,0,0,1,0,0,2,0,49,0,0,0,0
