bucket,total,--,AE,AF,AM,AO,AR,AT,AU,BA,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GH,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MD,MK,MO,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RE,RO,RS,RU,RW,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VI,VN,ZA,ZW
2022-10-31T10,73,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1,0,0,0,2,0,4,4,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0,0,1,0,0,20,0,0,0,0,0,0
2022-10-31T11,79,2,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,10,1,0,0,0,0,0,3,1,0,0,2,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,3,0,0,5,0,0,25,0,0,0,0,0,0
2022-10-31T12,92,3,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,0,0,8,2,0,0,0,1,0,5,2,0,0,2,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,7,0,1,0,9,0,0,5,0,0,19,0,0,0,0,0,0
2022-10-31T13,87,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,1,1,0,0,1,0,2,5,0,0,5,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,5,0,0,0,7,0,0,6,0,0,16,0,0,0,0,0,0
2022-10-31T14,128,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0,0,0,0,19,1,1,0,0,0,0,4,10,0,1,2,0,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,1,7,0,1,0,12,0,0,11,0,0,24,0,0,0,0,0,0
2022-10-31T15,123,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,22,1,0,1,0,3,0,5,7,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,5,0,0,0,11,0,1,5,0,0,24,0,0,0,1,0,0
2022-10-31T16,145,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,34,1,0,0,0,3,0,10,8,1,0,2,0,0,0,0,0,1,0,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,1,0,0,1,0,5,0,1,6,0,0,0,13,0,2,2,0,0,21,0,0,0,0,0,0
2022-10-31T17,157,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,2,0,0,2,0,0,0,0,37,1,0,0,0,5,0,11,9,0,0,3,0,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,5,0,0,0,4,0,1,4,0,0,24,0,0,0,1,0,0
2022-10-31T18,187,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,1,0,0,3,0,0,0,0,39,1,0,0,0,2,0,12,9,0,0,0,0,0,0,0,1,0,0,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,24,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,9,6,0,0,1,10,0,1,1,1,0,31,0,0,0,0,0,0
2022-10-31T19,199,2,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,10,1,0,0,4,0,0,0,0,50,1,0,0,0,4,0,6,10,0,0,1,0,1,1,0,1,0,0,13,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,36,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,3,6,0,0,0,3,0,2,1,0,0,26,0,0,0,0,0,0
2022-10-31T20,174,1,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,5,0,0,0,3,0,0,0,0,37,2,0,0,0,3,0,4,8,0,0,1,0,1,1,0,0,0,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,0,0,0,3,0,2,1,0,0,38,0,0,0,0,0,0
2022-10-31T21,149,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,35,1,0,0,0,4,0,4,9,0,0,0,0,0,0,0,0,0,1,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,2,0,0,0,0,0,0,0,1,0,0,2,0,1,0,3,5,0,0,0,2,0,1,2,0,0,29,0,0,0,0,0,0
2022-10-31T22,162,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,13,0,0,0,0,26,1,0,1,0,2,0,6,9,0,1,0,0,0,0,0,0,0,1,16,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0,0,0,2,0,1,1,0,0,46,0,0,0,0,0,0
2022-10-31T23,175,3,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,12,0,2,0,20,0,0,0,0,17,1,0,0,0,5,0,3,9,0,0,2,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,5,0,0,0,2,0,1,3,0,0,52,0,0,0,0,0,0
2022-11-01T00,138,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,14,0,2,0,15,0,0,0,0,11,1,0,0,0,3,0,4,6,0,0,1,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,1,0,0,0,1,0,0,2,0,2,0,0,6,0,0,0,0,0,0,3,0,0,32,0,0,0,0,0,0
2022-11-01T01,118,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,7,0,1,0,15,0,0,0,0,10,2,0,0,0,1,0,2,4,0,0,1,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,2,0,0,1,0,3,0,1,6,0,0,0,0,0,0,1,0,0,35,0,0,0,1,0,0
2022-11-01T02,108,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,19,0,0,0,0,4,1,0,0,0,2,0,2,2,0,1,1,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,6,0,0,0,1,0,0,3,0,0,35,0,0,0,0,0,0
2022-11-01T03,84,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,0,0,0,16,0,0,0,0,2,1,0,0,0,1,0,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,1,0,0,1,0,0,29,0,0,0,2,0,0
