bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,BZ,CA,CH,CL,CM,CN,CO,CU,CZ,DE,DK,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KR,KZ,LK,LT,LU,MA,MC,MD,MK,MN,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PL,PR,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2022-04-04T16,258,0,2,0,0,0,2,1,0,1,0,0,2,0,0,0,1,0,9,1,0,0,9,0,0,2,56,0,0,4,0,12,6,0,25,0,0,3,0,2,0,0,15,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,2,1,0,2,3,0,6,1,6,8,1,13,0,3,0,0,40,0,0,0,0,0
2022-04-04T17,324,2,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1,0,6,3,0,0,10,0,0,0,130,0,0,8,1,13,11,0,13,0,1,1,0,2,0,0,17,4,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,16,4,0,0,0,1,2,0,0,1,0,3,0,7,10,1,17,0,1,0,0,26,0,0,0,1,0
2022-04-04T18,291,0,0,0,1,2,2,0,0,1,0,0,3,0,0,1,1,0,10,2,1,0,10,0,0,0,102,0,0,10,1,9,14,0,6,0,1,2,0,2,0,0,14,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,1,0,0,0,1,2,0,0,1,0,6,1,4,12,1,9,1,1,0,0,30,0,0,0,1,0
2022-04-04T19,262,0,1,0,1,3,1,1,0,1,0,0,3,0,0,0,1,0,9,2,0,0,13,0,0,0,54,0,0,10,1,13,20,0,6,0,0,3,0,1,0,0,14,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,2,0,0,0,1,2,0,1,3,0,6,0,2,10,0,8,0,1,0,0,42,0,0,0,0,0
2022-04-04T20,249,1,1,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,4,2,0,0,18,1,0,0,46,0,0,2,0,9,16,1,5,0,1,3,0,0,0,0,25,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,1,0,2,4,0,6,0,1,8,0,8,0,0,1,0,46,0,0,0,0,0
2022-04-04T21,194,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,5,4,0,0,11,1,0,0,30,0,0,2,0,8,12,0,3,0,0,0,1,0,0,0,20,8,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,13,1,0,0,0,0,1,0,2,1,1,7,0,1,9,0,6,0,1,1,0,33,0,0,0,0,0
2022-04-04T22,161,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,0,0,15,0,0,1,0,5,7,1,3,0,0,0,1,0,0,0,15,4,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,1,0,0,0,0,0,0,1,0,1,5,0,1,5,0,3,1,0,0,0,55,0,0,0,1,0
2022-04-04T23,172,0,1,0,0,2,1,2,0,0,1,0,0,0,0,1,0,0,15,0,0,0,14,0,0,0,11,0,0,3,0,5,4,1,0,0,0,0,0,4,1,0,10,8,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,1,3,0,0,5,0,1,1,0,0,0,66,0,0,0,1,0
2022-04-05T00,156,1,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,33,2,0,0,14,1,0,0,7,0,0,3,0,4,4,0,3,0,0,0,0,2,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,6,1,0,5,0,1,1,1,0,0,49,0,0,0,0,0
2022-04-05T01,120,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,14,3,0,0,4,1,0,0,0,3,2,0,2,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,2,0,0,4,1,0,6,0,1,0,1,0,0,49,0,0,0,0,0
2022-04-05T02,128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,21,2,0,0,3,0,0,0,0,4,1,0,14,0,0,1,0,2,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,11,0,3,0,1,0,0,42,0,0,0,0,0
2022-04-05T03,135,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,2,0,20,1,0,0,3,0,0,0,0,2,1,0,17,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,1,0,0,0,0,6,0,0,9,0,3,0,1,0,0,39,0,0,0,0,0
2022-04-05T04,115,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,17,0,0,0,3,0,0,0,0,2,2,0,18,1,0,5,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,5,0,0,8,0,3,0,1,1,0,28,0,0,0,1,0
2022-04-05T05,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,14,0,0,0,7,0,0,0,0,3,3,0,16,1,0,5,0,1,0,0,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,0,1,0,5,0,1,5,0,9,0,0,0,0,48,0,0,0,1,0
2022-04-05T06,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,12,0,0,0,4,0,0,0,0,1,2,0,11,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,1,0,4,0,0,5,0,3,0,1,0,0,12,0,0,0,1,0
