bucket,total,--,AD,AE,AR,AT,AU,BA,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LY,MA,MK,MM,MO,MT,MX,MY,MZ,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,QA,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,VE,VI,VN,ZA,ZW
2022-02-21T16,236,2,0,3,0,2,0,0,1,0,0,2,0,6,2,0,0,0,15,0,0,0,68,1,0,0,0,0,0,0,0,0,11,14,0,0,0,0,3,0,0,0,0,0,0,1,0,1,25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14,0,0,0,0,2,0,0,0,1,0,0,0,0,0,8,0,0,5,6,0,1,0,6,0,2,0,2,0,3,22,0,0,0,2,0,0
2022-02-21T17,307,2,0,0,0,1,0,0,0,0,0,2,0,6,2,0,0,0,14,0,0,0,132,4,0,0,0,0,0,4,0,0,15,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,1,0,1,0,2,0,0,0,1,0,6,0,0,12,5,0,0,0,12,0,3,0,4,0,1,22,0,0,0,2,0,0
2022-02-21T18,536,1,0,0,2,1,0,0,2,0,0,3,0,10,2,0,0,0,10,0,0,0,334,3,0,0,0,0,0,6,0,0,10,15,0,0,1,0,2,0,0,0,0,4,1,0,0,0,23,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,1,0,1,0,1,0,0,0,1,0,4,0,0,11,5,0,0,0,8,0,2,0,2,0,1,29,0,0,0,0,0,0
2022-02-21T19,425,0,0,0,0,2,0,0,6,0,0,1,0,14,1,0,0,0,7,0,0,0,229,0,0,0,0,0,0,11,0,0,12,15,0,0,0,0,2,0,0,0,1,1,1,0,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,2,0,0,0,0,0,2,0,1,0,0,0,1,0,7,0,0,6,6,0,0,0,8,0,3,0,1,0,2,32,0,0,0,1,0,0
2022-02-21T20,298,1,0,0,0,0,0,1,3,0,0,1,0,12,1,0,0,0,12,0,0,0,122,1,0,0,0,0,0,7,0,0,8,28,0,0,0,0,2,0,0,1,1,1,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,3,5,0,0,1,4,0,2,0,1,0,1,26,0,0,0,1,0,1
2022-02-21T21,229,1,0,0,1,0,0,0,2,1,0,3,0,16,0,0,0,0,8,0,0,0,57,0,0,0,0,0,0,4,0,0,6,18,0,0,0,0,4,0,0,1,0,1,0,0,0,0,26,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,3,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,1,5,0,0,1,3,0,0,0,0,0,1,31,0,0,0,1,1,0
2022-02-21T22,183,1,0,0,2,1,0,1,0,1,0,2,0,11,1,0,0,0,12,0,0,0,34,0,0,0,0,0,0,2,0,0,4,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,17,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,6,0,0,0,2,0,0,0,0,0,0,30,0,0,0,5,0,0
2022-02-21T23,159,1,0,0,1,0,0,0,0,0,0,2,0,17,1,0,0,0,11,0,0,0,20,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,1,0,0,0,1,0,0,0,0,0,13,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,0,3,0,2,0,0,0,0,0,3,0,0,2,6,0,0,0,1,0,0,0,0,0,1,46,0,0,0,1,0,0
2022-02-22T00,140,0,0,0,0,1,1,0,0,0,0,4,0,14,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,2,0,0,4,8,0,0,0,1,3,0,0,0,1,0,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,4,1,0,1,5,0,0,0,1,0,0,0,0,0,0,47,0,0,0,1,0,0
2022-02-22T01,127,1,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,14,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,2,5,0,0,0,1,0,0,0,0,0,1,46,0,0,0,0,0,0
2022-02-22T02,137,0,0,0,1,0,0,0,0,0,0,1,0,29,0,0,0,0,16,0,0,0,7,0,0,0,0,0,0,0,0,0,3,2,0,0,0,2,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,0,1,5,0,0,0,2,0,0,0,0,0,1,49,0,0,0,2,0,0
2022-02-22T03,107,1,0,0,1,0,0,0,0,0,0,1,0,17,0,0,1,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,1,7,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,0,0
2022-02-22T04,80,1,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,20,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,0,2,0,0,0,0,0,0,27,0,0,0,0,0,0
2022-02-22T05,93,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,7,0,0,1,5,0,0,0,2,0,0,0,1,0,2,30,0,0,0,2,0,0
2022-02-22T06,105,1,0,0,2,0,2,0,0,0,0,3,0,9,1,0,0,0,18,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,0,0,2,0,2,27,0,0,0,1,0,0
2022-02-22T07,126,8,0,2,1,0,0,0,0,0,0,1,0,3,0,0,0,0,20,0,0,0,14,0,0,0,0,0,1,0,0,0,4,1,0,0,0,0,5,0,1,0,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,5,0,0,5,7,0,0,0,2,0,1,0,0,0,2,28,0,0,0,0,0,0
2022-02-22T08,121,1,0,2,0,1,0,0,0,0,0,0,0,3,1,0,0,0,21,0,0,0,17,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,14,0,0,0,1,0,0,3,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,4,0,0,3,6,0,0,0,3,0,0,0,0,0,2,21,0,0,0,1,0,0
2022-02-22T09,115,0,0,2,0,2,0,0,0,0,0,2,0,3,0,0,0,0,20,0,0,0,23,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,9,0,0,0,0,0,0,2,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,3,6,0,0,0,1,0,0,0,0,0,2,17,0,0,0,0,0,0
