bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BF,BG,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EG,ES,FI,FR,GB,GE,GN,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MO,MT,MW,MX,MY,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VI,VN,ZA,ZW
2022-05-30T18,230,2,0,0,1,2,0,0,1,0,0,2,0,0,0,1,0,0,5,0,0,10,1,0,0,67,0,0,0,0,5,0,7,13,0,0,0,1,0,1,1,0,0,0,1,0,0,17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,4,6,0,0,0,8,0,0,0,2,0,0,24,0,0,0,0,1,0,0
2022-05-30T19,193,3,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,0,2,1,1,5,0,0,0,41,1,0,0,0,5,0,8,18,0,0,0,2,0,0,0,0,0,0,1,0,0,14,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,3,0,0,4,6,0,0,0,4,0,2,0,2,0,1,30,0,0,0,0,0,0,0
2022-05-30T20,188,3,0,0,1,2,0,0,1,0,0,4,0,0,0,0,0,0,1,1,0,3,0,0,0,46,0,0,0,0,4,0,11,18,0,0,0,3,0,0,0,0,0,0,3,0,0,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,3,5,0,0,0,2,0,3,0,0,0,0,25,0,0,0,0,1,0,0
2022-05-30T21,225,3,0,0,4,2,1,0,0,0,0,2,0,0,0,3,0,0,2,1,0,47,0,0,0,30,0,0,0,0,3,0,12,17,0,0,0,0,2,0,0,0,0,0,0,0,1,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,5,0,0,3,8,0,0,0,2,0,3,0,1,0,0,23,0,0,0,0,0,0,0
2022-05-30T22,118,3,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,5,0,0,8,0,0,0,13,0,0,0,0,0,0,4,12,0,0,0,1,0,0,0,0,1,0,1,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,3,0,0,5,6,0,0,0,2,0,0,0,0,0,0,22,0,0,0,0,4,0,0
2022-05-30T23,115,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,1,6,0,0,0,11,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,3,1,0,4,5,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,2,0,0
2022-05-31T00,150,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,37,1,0,0,6,0,0,0,0,0,0,7,5,0,0,0,3,0,0,0,0,1,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,3,2,0,2,8,0,0,0,0,0,0,0,1,0,0,36,0,0,0,0,0,0,0
2022-05-31T01,133,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,26,2,0,0,5,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,2,6,0,0,0,0,0,0,0,4,0,0,56,0,0,0,0,1,0,0
2022-05-31T02,88,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,18,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,2,8,0,0,0,0,0,0,0,2,0,0,31,0,0,0,0,0,0,0
2022-05-31T03,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,0,0,22,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,6,0,0,1,1,0,0,0,4,0,0,37,0,0,0,0,0,0,0
