bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LA,LT,LU,LV,MK,MO,MQ,MT,MX,MY,MZ,NL,NO,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA
2022-05-17T08,150,3,0,1,0,2,0,0,0,0,0,0,0,2,0,11,1,0,32,0,0,0,8,0,0,0,0,2,0,1,7,0,0,0,2,0,0,0,1,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,6,0,0,2,6,0,0,0,4,0,0,4,0,0,0,32,0,0,0,1,0
2022-05-17T09,123,2,0,0,1,2,0,0,0,0,0,0,0,0,0,5,1,0,36,0,0,0,10,1,0,0,0,1,0,4,7,0,0,0,3,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,0,4,0,0,1,6,0,0,0,8,0,0,6,0,0,0,13,0,0,0,0,0
2022-05-17T10,119,1,0,0,0,3,0,0,0,0,0,0,0,0,0,3,1,0,21,0,0,0,12,0,0,0,0,1,0,5,5,0,0,0,1,0,0,0,1,0,0,0,0,7,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,2,1,0,2,6,0,0,0,5,0,1,4,0,1,0,20,0,0,0,5,0
2022-05-17T11,127,1,0,1,0,0,0,0,0,0,0,0,0,2,0,5,1,0,18,0,0,0,9,0,0,0,0,4,0,3,6,0,0,0,8,0,0,0,1,0,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0,1,0,2,0,0,1,6,0,0,0,4,0,1,10,0,1,0,26,0,0,0,1,0
2022-05-17T12,111,2,1,0,0,2,0,0,0,0,0,0,0,1,0,5,1,0,13,0,0,0,4,1,0,0,0,3,0,5,3,0,0,0,7,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,8,0,1,14,0,0,0,18,0,0,0,2,0
2022-05-17T13,150,2,0,0,0,0,0,0,0,0,0,0,0,3,0,10,1,0,14,0,0,0,11,0,0,0,0,4,0,6,8,0,0,0,10,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,8,0,0,0,10,0,0,9,0,0,0,32,0,0,0,0,0
2022-05-17T14,135,1,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,6,0,0,0,8,0,0,0,0,3,2,8,6,1,0,0,7,0,0,0,0,0,0,1,0,2,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,19,0,0,11,0,0,0,22,0,0,0,0,0
2022-05-17T15,198,1,0,0,1,13,0,0,0,0,0,0,0,2,0,8,0,0,16,0,0,0,22,0,0,0,0,4,3,12,4,0,0,0,9,0,0,0,0,0,0,1,1,4,5,0,3,0,0,1,0,0,0,0,0,1,0,0,0,15,1,1,0,2,0,1,0,0,0,0,0,2,0,1,1,7,0,0,0,10,0,1,11,0,0,0,34,0,0,0,0,0
2022-05-17T16,232,3,0,0,1,0,0,2,0,0,1,1,0,2,0,8,2,0,12,0,0,0,43,0,0,0,0,7,0,16,5,0,0,0,4,0,0,0,0,0,0,1,1,12,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,1,0,1,1,0,0,0,0,5,0,1,4,7,0,0,0,10,0,2,7,0,0,0,47,0,0,0,1,0
2022-05-17T17,289,2,0,0,1,13,0,1,0,0,5,0,0,1,0,12,1,0,33,0,0,0,44,0,0,0,0,8,0,15,19,0,0,0,0,0,0,0,0,1,0,7,0,13,4,0,6,0,0,0,1,0,0,0,0,0,2,0,0,15,1,0,0,0,0,1,0,0,0,1,0,5,0,0,7,7,0,0,0,7,0,3,7,0,0,1,43,0,0,0,1,1
