bucket,total,--,AD,AE,AF,AM,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GE,GF,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KM,KR,KZ,LK,LT,LU,LV,MC,MD,ME,MK,MN,MO,MX,MY,MZ,NL,NO,NP,NZ,OM,PE,PG,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2022-03-21T12,164,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,11,0,0,20,1,0,0,2,0,4,4,0,0,0,0,18,0,1,0,2,0,1,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,6,11,0,0,0,19,0,7,0,20,0,0,0,0,0,0
2022-03-21T13,201,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,7,0,0,0,0,11,0,0,29,0,0,0,2,0,6,12,0,0,0,0,27,0,0,0,0,0,0,0,0,0,6,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,9,0,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,1,8,0,0,0,14,0,1,0,40,0,0,0,1,0,0
2022-03-21T14,181,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,5,0,0,0,0,8,0,0,21,1,0,0,2,0,6,6,0,0,0,0,33,0,1,0,2,0,1,1,0,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,4,0,0,3,7,0,0,0,8,1,5,0,26,0,0,0,0,0,0
2022-03-21T15,207,1,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,2,0,0,0,0,15,0,0,31,1,0,0,2,0,10,9,0,0,2,0,24,0,1,0,2,0,1,2,0,0,5,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,2,0,1,0,2,0,0,2,0,11,0,0,4,6,0,0,0,14,1,3,0,26,0,0,1,0,0,0
2022-03-21T16,247,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,4,1,0,0,0,7,0,0,43,0,0,0,2,0,20,15,0,1,2,0,15,0,1,0,1,3,1,2,0,0,21,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,0,0,5,6,0,0,0,12,2,3,0,47,0,0,1,0,0,0
2022-03-21T17,255,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,8,2,0,1,0,6,0,0,80,0,0,0,5,0,13,17,0,2,0,0,5,0,0,0,1,0,1,2,0,0,25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,7,0,0,6,6,0,0,0,9,2,0,0,29,0,0,1,2,0,0
2022-03-21T18,393,4,0,0,0,0,0,1,1,1,0,0,2,0,0,2,0,24,5,0,0,0,9,0,0,158,0,0,0,6,0,12,13,0,2,0,2,5,0,2,0,1,1,0,4,0,1,24,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,1,3,0,0,0,0,2,0,5,0,1,16,6,0,0,0,9,1,0,1,38,0,0,1,4,1,0
2022-03-21T19,323,2,0,0,0,0,0,1,0,1,0,0,5,0,0,1,0,7,2,0,0,1,9,0,0,125,0,1,0,7,0,8,24,0,0,0,0,4,0,2,0,2,1,1,2,0,0,20,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,2,0,34,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,5,6,0,0,0,6,0,0,0,29,0,0,0,2,0,0
2022-03-21T20,261,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,6,2,1,0,0,11,0,0,78,1,1,0,6,0,11,20,0,0,2,3,5,0,0,0,0,0,0,1,0,0,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,7,1,0,10,5,0,0,0,3,0,0,0,30,0,0,0,1,0,0
2022-03-21T21,234,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,0,8,2,0,0,0,17,1,0,41,0,1,0,5,0,13,18,0,0,0,4,3,0,0,1,0,0,1,2,1,0,29,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,0,1,0,0,1,0,0,0,0,2,0,6,0,0,3,8,0,0,0,1,0,0,0,36,0,0,0,0,2,0
