bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JO,JP,KH,KR,KZ,LA,LR,LT,LV,MA,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SY,TH,TN,TR,TT,TW,UA,US,UY,UZ,VN,ZA,ZM,ZW
2022-10-03T14,139,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,8,0,0,0,0,24,0,1,0,0,1,0,4,7,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,11,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,2,7,0,0,0,16,0,0,0,4,0,21,0,0,0,0,0,0
2022-10-03T15,179,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,39,2,0,0,0,2,0,5,8,0,0,3,0,0,0,0,1,1,0,0,12,0,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,8,0,0,1,0,0,0,0,1,0,0,1,0,4,0,0,0,3,5,0,0,0,19,0,1,0,2,0,35,0,0,1,0,0,0
2022-10-03T16,212,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,7,0,0,0,0,54,1,0,0,1,7,0,7,6,0,0,2,1,0,0,0,1,2,0,0,12,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,1,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,6,0,0,0,9,0,3,0,2,0,57,0,0,0,0,0,0
2022-10-03T17,235,1,0,0,0,0,0,0,0,1,0,0,1,0,1,7,2,0,0,5,0,0,0,0,41,2,0,0,0,6,2,15,15,0,0,2,0,0,0,1,1,1,0,0,15,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,5,0,0,0,7,0,1,0,3,0,67,0,0,1,0,0,0
2022-10-03T18,258,2,0,0,2,1,0,0,0,2,0,0,0,0,0,8,2,1,0,5,0,0,0,0,58,0,0,0,0,8,2,13,16,0,0,4,0,0,0,1,1,2,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0,0,2,0,1,1,0,4,0,0,0,6,6,0,0,0,3,0,1,0,3,0,62,0,0,0,0,0,0
2022-10-03T19,203,1,0,0,1,1,0,0,0,1,0,0,0,0,0,11,3,0,0,9,2,0,0,0,40,0,0,0,0,7,0,19,15,0,0,1,0,0,1,0,1,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,1,0,0,0,0,2,0,1,1,0,3,0,0,0,2,5,0,0,0,2,0,0,0,3,0,33,0,0,0,0,0,0
2022-10-03T20,186,2,0,0,0,0,0,0,0,1,0,0,1,0,0,4,3,0,0,10,2,0,0,0,34,0,0,0,0,3,0,5,8,0,0,4,0,0,0,1,1,1,0,0,17,0,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,5,6,0,0,0,2,0,1,0,2,0,38,0,0,0,0,0,0
2022-10-03T21,148,1,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,11,0,0,0,0,22,0,0,0,0,4,0,4,12,0,0,3,0,0,1,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,5,0,0,0,1,0,2,0,3,0,44,0,0,0,0,0,0
2022-10-03T22,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,13,0,0,0,0,5,0,3,7,0,0,3,0,0,0,0,0,1,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,1,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,2,6,0,0,0,1,0,0,0,1,0,33,0,0,3,0,0,0
2022-10-03T23,109,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,3,0,0,0,0,10,0,0,0,0,1,0,9,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,3,5,0,0,0,0,0,0,0,1,0,47,0,0,2,0,0,0
2022-10-04T00,139,2,0,0,1,0,1,0,0,0,0,0,2,0,0,17,0,0,0,37,0,0,0,0,6,1,0,0,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,2,8,0,0,0,0,0,0,0,1,0,41,0,0,2,0,0,0
2022-10-04T01,139,1,0,0,1,0,1,0,0,0,0,0,4,0,0,9,0,3,0,31,0,0,0,0,6,0,0,0,0,2,0,4,1,0,0,3,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,9,0,0,0,0,0,0,0,1,0,44,0,0,3,1,0,0
2022-10-04T02,102,4,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,12,0,0,0,0,4,0,0,0,0,1,0,3,5,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,2,0,42,0,0,1,0,0,0
2022-10-04T03,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,33,1,0,0,1,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,3,0,26,0,0,0,0,0,0
2022-10-04T04,131,1,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,17,1,0,0,1,5,0,0,0,0,1,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,1,1,1,0,0,0,0,3,0,0,0,5,5,0,0,0,0,0,0,0,1,0,52,0,0,1,0,1,0
2022-10-04T05,104,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,2,0,0,0,1,0,32,0,1,1,0,1,0
2022-10-04T06,100,1,0,0,0,0,1,0,0,0,0,0,2,0,0,7,0,0,0,7,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,6,0,0,0,2,0,0,0,5,0,47,0,0,0,0,0,0
2022-10-04T07,81,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,8,1,0,0,0,8,0,0,0,0,1,0,3,3,0,0,4,0,0,0,0,0,1,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,1,0,0,3,0,19,0,0,0,0,0,0
2022-10-04T08,79,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,8,0,0,0,1,14,0,0,0,0,1,0,4,3,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,1,0,0,0,1,0,21,0,0,0,0,0,0
2022-10-04T09,106,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0,1,1,6,4,0,0,5,0,0,0,14,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,3,0,1,0,4,5,0,0,0,1,0,0,0,2,0,19,0,0,0,0,0,0
2022-10-04T10,131,1,0,0,2,0,4,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,14,0,0,0,0,1,0,4,6,0,0,4,0,0,0,7,0,2,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,2,6,0,0,0,4,0,0,0,3,0,31,0,0,1,0,0,0
2022-10-04T11,159,1,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,0,0,14,0,0,0,0,2,0,2,4,0,0,6,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,8,0,0,0,4,0,0,0,9,0,62,0,0,2,0,0,0
2022-10-04T12,146,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,14,0,0,0,0,3,0,7,3,0,0,10,0,0,0,0,0,9,0,0,2,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,1,10,0,0,0,4,0,0,0,8,0,23,0,0,0,0,0,0
