bucket,total,--,AE,AM,AR,AT,AU,AZ,BD,BE,BG,BH,BM,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KH,KM,KR,KZ,LT,LU,MA,MK,MM,MN,MO,MT,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SN,SR,TH,TN,TR,TW,TZ,UA,US,VE,VN,ZA,ZW
2022-11-22T01,109,3,0,0,0,0,0,0,0,0,0,0,0,2,0,13,2,0,1,0,6,1,0,5,0,0,0,2,0,1,4,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,1,0,0,1,0,0,41,0,3,0,0
2022-11-22T02,110,2,0,0,0,0,1,0,0,0,0,0,0,2,0,16,0,0,0,0,8,2,0,5,0,0,0,2,0,1,3,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,42,0,3,0,0
2022-11-22T03,149,4,0,0,1,0,0,1,0,0,0,0,0,2,0,11,0,0,0,0,16,0,0,7,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,2,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0,0,2,0,0,0,0,0,67,0,0,1,0
2022-11-22T04,149,3,0,0,1,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,20,1,0,5,0,0,0,1,0,6,2,0,0,1,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,6,0,0,0,0,2,1,0,0,0,1,70,0,0,1,0
2022-11-22T05,153,2,0,0,1,0,1,0,0,0,0,0,0,2,0,10,1,0,0,0,12,2,0,4,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,6,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,6,0,0,0,0,5,1,0,1,0,0,76,0,1,0,0
2022-11-22T06,81,2,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,1,0,2,0,1,0,2,0,6,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,7,0,0,0,0,4,0,0,1,0,0,32,0,0,0,0
2022-11-22T07,64,2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0,0,4,0,0,0,2,0,3,4,0,0,1,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,4,0,0,2,0,0,15,0,1,0,0
2022-11-22T08,108,3,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,11,0,0,8,0,0,0,2,0,4,3,0,0,1,0,0,0,0,0,2,0,4,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,3,1,0,0,2,6,0,0,0,0,2,0,0,1,0,0,21,0,1,0,0
2022-11-22T09,115,3,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,15,0,0,0,4,0,4,2,0,0,2,0,0,2,0,0,3,1,5,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,2,0,1,1,0,1,24,0,1,1,0
2022-11-22T10,130,2,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,1,0,5,0,0,17,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,1,0,5,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0,0,0,2,0,0,1,0,1,57,0,0,0,0
2022-11-22T11,104,2,0,0,0,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,2,0,0,9,0,0,0,2,0,3,3,0,0,1,0,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,3,0,0,6,0,1,35,0,0,0,0
2022-11-22T12,123,3,0,0,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,4,0,0,15,0,0,0,2,0,5,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0,0,2,6,0,0,0,0,4,0,0,5,0,1,40,0,1,0,0
2022-11-22T13,146,3,0,0,1,0,0,0,0,1,0,0,0,2,0,3,0,0,1,0,4,0,0,12,0,0,0,3,0,3,7,0,0,4,0,0,1,1,0,3,0,2,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5,8,0,0,0,0,9,0,0,6,0,2,42,0,0,0,0
2022-11-22T14,169,4,0,0,0,1,31,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,14,0,0,0,2,0,8,6,0,3,0,0,0,0,7,0,8,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,6,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,9,0,1,6,0,0,32,0,0,0,0
