bucket,total,--,AE,AR,AT,AU,AW,BA,BD,BE,BG,BO,BR,BS,BY,CA,CH,CL,CN,CO,CR,CV,DE,DK,DO,DZ,ES,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KR,KZ,LT,LV,MA,MD,MK,MO,MU,MX,MY,MZ,NC,NG,NL,NO,NZ,OM,PE,PH,PK,PL,PR,PT,PY,QA,RO,RU,RW,SE,SG,SK,SY,TH,TR,TT,TW,TZ,UA,US,UY,UZ,VN,ZA,ZM
2022-07-05T00,98,1,0,0,0,0,0,0,0,0,0,0,1,1,0,14,1,3,8,0,0,0,3,0,0,0,1,0,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,8,0,1,0,0,0,4,0,0,29,0,1,0,0,0
2022-07-05T01,86,1,0,1,0,0,0,0,0,0,0,0,2,0,0,11,0,0,1,0,0,0,5,0,0,0,0,0,1,2,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,3,0,0,8,0,0,0,0,0,3,0,0,33,0,1,0,0,0
2022-07-05T02,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,7,2,0,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,7,0,0,0,0,0,8,0,0,24,0,0,0,0,0
2022-07-05T03,98,2,1,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,10,1,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,6,0,0,0,0,0,8,0,0,36,0,0,2,0,0
2022-07-05T04,54,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,3,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,1,0,0,15,0,0,1,0,0
2022-07-05T05,73,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,0,7,0,0,0,3,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,7,0,0,0,1,0,5,0,0,21,0,0,2,0,0
2022-07-05T06,68,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,4,0,0,0,0,0,4,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,6,0,0,0,0,0,9,0,0,20,0,0,0,0,0
2022-07-05T07,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7,0,0,2,1,0,6,0,0,19,0,0,0,1,0
2022-07-05T08,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,9,0,0,0,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,5,0,0,2,0,0,3,0,1,10,0,0,0,0,0
2022-07-05T09,71,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,6,0,0,0,0,0,1,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,1,4,0,2,6,0,0,1,1,0,5,0,0,19,0,0,0,0,0
2022-07-05T10,87,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,9,0,0,0,12,0,0,0,0,0,4,3,0,0,0,2,0,0,0,0,1,0,0,0,3,0,3,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,7,0,0,2,0,0,3,0,0,18,0,0,0,0,0
2022-07-05T11,89,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,5,0,0,0,11,0,0,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,4,1,4,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,3,0,1,9,0,0,1,3,0,6,0,1,16,0,0,1,0,0
2022-07-05T12,96,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,2,4,0,0,0,12,0,0,0,0,0,8,4,0,0,0,11,0,0,0,0,0,0,2,1,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,5,0,1,6,0,0,3,0,0,10,0,0,14,0,0,0,0,0
2022-07-05T13,114,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,3,0,0,0,20,0,0,0,1,0,5,4,0,0,0,15,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,3,0,1,8,0,0,4,0,0,15,0,0,16,0,0,0,0,0
2022-07-05T14,131,0,0,0,0,0,0,0,0,1,0,0,2,0,0,8,0,0,1,0,0,0,20,0,0,0,0,0,7,4,0,0,0,11,0,0,0,0,3,0,0,0,5,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,1,6,0,1,6,0,0,3,1,0,9,1,1,21,0,0,0,0,0
2022-07-05T15,122,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,1,0,3,0,0,0,27,0,0,0,2,0,6,3,0,0,1,1,0,0,0,0,0,0,0,0,6,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,1,0,0,1,4,0,0,6,0,0,8,0,0,7,1,2,22,0,0,0,0,0
2022-07-05T16,155,0,0,2,0,0,0,0,0,1,0,0,1,0,0,8,0,0,2,0,0,0,49,0,0,0,3,0,5,12,0,0,0,6,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,1,1,4,0,0,8,0,0,8,1,0,8,0,0,15,0,0,0,0,0
2022-07-05T17,173,1,0,0,2,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,48,2,0,0,5,0,5,22,0,1,0,2,0,0,2,1,0,0,0,0,10,0,2,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,9,0,0,0,0,0,0,2,0,0,0,0,1,4,0,1,9,0,0,2,1,0,2,0,1,25,0,0,1,0,0
2022-07-05T18,126,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2,0,0,0,30,1,0,0,6,0,5,11,0,0,0,2,0,0,1,0,0,0,1,0,8,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,7,0,0,2,1,0,2,0,0,14,0,0,1,0,0
