bucket,total,--,AE,AF,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EG,ES,FI,FR,GB,GE,GG,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SN,SO,SV,TG,TH,TN,TR,TT,TW,UA,UG,US,UY,VE,VN,ZA
2022-02-08T09,112,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,2,0,7,0,0,0,0,26,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,3,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,2,9,0,0,0,0,0,1,0,1,0,0,1,0,26,0,0,0,0
2022-02-08T10,115,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,14,1,0,0,0,2,0,5,8,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,2,8,1,0,0,0,0,1,0,0,0,2,0,0,24,0,0,0,0
2022-02-08T11,143,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,19,0,0,0,0,13,0,0,0,0,2,0,4,14,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,5,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,6,0,0,0,0,3,0,1,0,0,1,0,0,0,4,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,2,1,0,32,0,0,2,0
2022-02-08T12,174,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,4,1,0,16,1,0,0,0,19,0,0,0,0,3,0,6,15,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,4,0,0,5,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,9,0,3,0,0,0,0,1,0,4,0,0,0,0,1,13,0,0,0,0,0,3,0,0,0,9,1,0,24,0,0,4,0
2022-02-08T13,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,15,0,0,0,1,24,0,0,0,0,2,0,3,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,0,7,0,2,0,0,0,0,0,0,6,0,0,0,0,2,15,0,0,0,0,0,11,0,1,0,4,2,0,27,0,0,1,0
2022-02-08T14,185,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,5,1,1,9,1,0,0,0,41,0,0,0,0,1,0,7,4,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,4,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,15,0,0,0,0,4,0,1,0,0,0,0,0,0,5,0,0,0,0,3,13,0,0,0,0,0,9,0,1,0,3,1,0,31,0,0,1,0
2022-02-08T15,225,1,0,0,0,3,0,0,0,0,0,1,1,0,0,3,0,0,14,1,1,12,2,0,0,0,47,0,0,0,0,1,0,4,11,0,0,0,0,12,0,0,0,0,0,2,0,3,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,1,0,2,0,0,0,0,0,0,6,0,0,0,0,5,12,0,0,0,0,0,13,0,3,0,1,2,0,32,0,0,2,0
2022-02-08T16,255,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,14,1,0,0,0,72,0,0,0,0,3,0,11,17,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,21,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,1,2,0,1,0,0,0,1,4,0,0,0,0,8,7,0,0,1,0,0,6,0,3,0,3,1,0,36,0,0,1,0
2022-02-08T17,375,2,0,0,0,4,0,0,0,0,0,2,0,0,0,1,0,0,16,3,1,6,0,0,0,0,155,0,0,0,0,5,2,13,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,31,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,1,4,0,1,0,0,1,0,2,0,0,0,0,23,7,0,0,1,0,0,6,0,3,0,2,2,0,33,0,0,1,0
2022-02-08T18,550,1,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,9,1,1,7,0,0,0,0,320,1,0,0,0,13,0,12,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1,1,0,0,0,0,2,1,5,0,0,0,0,14,6,1,0,0,0,0,5,0,1,0,0,0,0,51,0,0,2,0
2022-02-08T19,492,1,0,0,0,3,0,0,0,0,0,7,0,0,0,1,0,0,3,1,0,6,0,0,0,0,277,0,0,0,0,6,0,11,28,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,3,0,0,0,0,1,0,6,0,0,0,0,13,5,1,0,0,0,0,4,0,2,0,0,1,0,51,0,0,0,0
2022-02-08T20,325,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,9,3,0,12,0,0,0,0,128,0,0,0,0,8,0,14,21,0,0,0,0,2,0,0,0,0,1,0,1,4,0,0,22,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,0,9,6,1,0,0,0,0,1,0,0,0,0,0,0,38,0,0,0,0
2022-02-08T21,240,2,0,1,0,2,0,0,0,0,0,1,0,0,0,5,0,0,6,2,0,8,0,0,0,0,69,0,0,0,0,4,0,8,16,0,0,1,0,1,0,0,0,0,1,1,0,3,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,0,4,6,0,0,0,0,0,3,0,0,0,0,2,0,43,0,0,0,0
2022-02-08T22,176,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,11,1,0,10,0,0,0,0,32,0,0,0,0,1,0,8,14,0,0,0,0,1,0,0,0,1,1,2,0,1,0,1,23,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,3,0,0,1,0,3,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,31,0,0,1,0
2022-02-08T23,182,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,38,2,0,12,0,0,0,0,23,1,0,0,0,1,0,4,7,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,8,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,47,0,0,1,0
2022-02-09T00,190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,45,0,0,15,2,0,0,0,22,0,0,0,0,2,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,56,0,0,5,0
2022-02-09T01,145,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,29,1,0,8,1,0,0,0,8,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,7,0,0,0,0,0,2,0,0,0,0,1,0,60,0,0,0,0
2022-02-09T02,161,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,22,1,0,10,0,1,0,0,10,0,0,0,0,1,0,1,3,0,0,0,0,3,0,0,0,0,2,4,0,1,0,0,3,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,1,0,5,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,0,1,0,65,0,0,1,0
2022-02-09T03,156,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,14,1,0,14,0,1,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,3,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,1,0,80,0,0,0,0
2022-02-09T04,114,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0,0,20,1,0,0,0,4,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,0
2022-02-09T05,82,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,3,1,0,32,0,0,0,0
2022-02-09T06,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,6,1,0,0,0,2,0,1,3,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,4,0,0,29,0,0,1,1
2022-02-09T07,93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,3,0,0,0,0,1,7,0,0,0,0,0,5,0,0,0,0,1,0,31,0,0,0,0
2022-02-09T08,111,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,3,0,0,15,0,0,0,0,17,0,0,0,1,0,0,3,4,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,6,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,6,0,0,0,0,0,3,0,0,0,0,1,0,25,0,0,0,0
2022-02-09T09,130,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,2,2,0,7,0,0,0,0,25,0,0,0,0,1,0,4,4,0,0,0,0,4,0,0,0,0,0,5,0,2,0,0,5,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,3,8,0,0,0,0,0,3,0,1,0,0,1,0,26,0,0,3,0
2022-02-09T10,124,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,2,1,0,9,0,0,0,0,23,0,0,0,0,1,0,3,9,0,0,0,0,7,0,0,0,0,2,0,0,1,0,0,7,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,7,0,0,0,0,0,6,0,0,0,3,0,0,23,0,0,0,0
2022-02-09T11,117,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,8,0,0,0,0,24,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,5,10,0,0,0,0,0,4,0,0,0,2,1,0,26,0,0,0,0
2022-02-09T12,164,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,2,1,12,0,0,0,0,32,0,0,0,0,3,0,5,3,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,1,0,0,0,0,2,0,8,0,0,0,0,6,9,0,0,0,0,0,10,0,0,0,8,1,0,24,0,0,4,0
2022-02-09T13,175,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,15,0,0,0,0,41,2,0,0,0,1,0,6,6,0,0,0,0,12,0,0,0,0,0,2,0,2,0,0,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,3,8,0,0,0,0,0,16,0,0,0,4,0,0,24,0,0,1,0
2022-02-09T14,198,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,13,0,0,0,0,49,2,0,0,0,0,1,5,8,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,2,0,0,0,1,0,0,1,0,3,0,0,0,0,1,7,0,0,0,0,0,12,0,3,0,4,2,0,32,0,0,1,0
2022-02-09T15,197,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,15,0,0,0,0,46,0,0,0,0,1,0,4,10,0,0,1,0,7,0,0,0,0,0,0,0,1,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,3,0,0,0,1,0,0,0,0,5,0,0,0,0,4,7,0,0,0,0,0,14,0,3,0,7,2,0,31,0,0,1,0
2022-02-09T16,283,2,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1,0,6,1,1,14,0,0,0,0,85,1,0,0,0,1,0,9,10,0,0,0,0,5,0,0,0,0,1,3,0,2,0,0,14,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24,0,0,0,0,2,0,1,0,1,0,0,1,0,7,0,0,0,0,10,9,0,0,0,0,0,14,0,3,0,4,1,0,36,0,0,1,1
2022-02-09T17,329,1,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,9,4,0,15,0,0,0,0,132,0,0,0,0,7,0,13,13,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,0,18,7,0,0,0,0,0,9,0,2,0,2,2,0,23,0,0,6,0
2022-02-09T18,553,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,11,4,0,7,0,0,0,0,357,0,0,0,0,8,0,12,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,2,0,0,2,0,3,0,0,0,0,18,6,0,0,0,0,0,7,0,2,0,0,0,0,26,0,0,2,0
2022-02-09T19,495,3,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,14,3,0,7,1,0,0,0,245,0,0,0,0,7,0,16,34,0,0,0,0,2,0,0,0,1,2,0,0,2,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,45,0,0,0,0,1,0,2,0,1,0,0,5,0,7,0,0,0,0,5,5,0,0,0,0,0,7,0,5,0,2,1,0,36,0,0,1,0
2022-02-09T20,305,1,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,14,6,0,6,0,0,0,1,120,0,0,0,0,6,0,12,25,0,0,0,0,4,0,0,0,1,0,0,0,1,0,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,0,2,5,0,0,0,0,0,2,0,2,0,0,1,0,30,0,0,1,0
2022-02-09T21,266,3,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,15,6,0,5,0,0,0,1,67,0,0,0,0,2,0,13,22,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,23,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,0,1,6,0,0,0,0,0,2,0,1,0,0,1,0,56,0,1,2,0
2022-02-09T22,203,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,11,1,0,5,0,0,0,1,37,0,0,0,0,4,0,16,12,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,2,0,0,2,0,9,0,0,0,0,1,6,0,0,0,0,0,0,1,1,0,0,0,0,42,0,0,1,0
2022-02-09T23,209,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,29,2,0,11,0,0,0,0,30,0,0,0,0,3,0,12,11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,19,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,1,1,8,0,0,0,0,2,6,0,0,0,0,0,0,0,1,0,1,0,0,45,0,0,0,0
2022-02-10T00,205,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,45,0,0,13,1,0,0,0,14,0,0,0,0,3,0,4,5,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,1,6,0,0,0,1,0,2,0,1,0,1,0,0,71,0,0,0,0
2022-02-10T01,178,6,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,31,0,0,13,0,0,0,0,10,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,5,0,0,0,0,0,2,0,1,0,0,1,0,66,0,0,0,0
2022-02-10T02,135,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,22,0,0,3,0,0,0,0,8,0,0,0,0,1,0,3,2,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,3,0,2,0,2,1,0,49,0,0,0,0
2022-02-10T03,127,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,16,0,0,7,0,0,0,0,7,0,0,2,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,8,0,0,0,0,0,3,0,1,0,1,0,0,54,0,0,0,1
2022-02-10T04,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,9,0,0,0,0,5,0,0,0,0,0,0,5,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,3,0,0,0,0,1,9,0,0,0,0,0,4,0,1,0,0,0,0,30,0,1,1,1
2022-02-10T05,73,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,6,0,0,0,0,0,3,0,0,0,3,1,0,30,0,0,2,0
2022-02-10T06,84,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,1,1,0,32,0,0,1,0
2022-02-10T07,96,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,0,9,1,0,0,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,1,0,0,0,0,1,0,5,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,0,0
2022-02-10T08,99,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,9,0,0,0,0,18,0,0,0,0,0,0,2,3,0,0,0,1,6,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,7,0,0,0,0,1,5,1,0,0,0,0,2,0,0,0,1,0,0,22,0,0,0,0
2022-02-10T09,143,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,13,1,0,0,0,23,0,0,0,0,1,0,4,6,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,2,0,2,0,0,0,0,0,1,5,0,0,0,0,2,7,0,0,0,0,0,1,0,0,0,1,1,1,34,0,0,0,0
2022-02-10T10,175,2,0,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,12,0,0,0,0,30,2,0,0,0,4,0,9,4,0,0,0,0,36,0,0,0,0,0,0,0,2,0,0,5,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,1,0,2,0,0,0,0,1,8,0,0,0,0,0,7,0,0,0,3,0,1,16,0,0,4,0
2022-02-10T11,157,1,0,0,0,2,0,0,0,0,0,1,1,0,0,2,0,0,2,0,0,9,0,0,0,0,27,2,0,0,0,3,0,6,14,0,0,0,0,23,0,0,0,0,0,0,0,2,0,0,5,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,7,0,0,0,0,0,5,0,0,0,3,2,0,18,0,0,1,0
2022-02-10T12,149,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,1,0,14,1,0,0,0,19,0,0,0,0,2,0,5,10,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,3,18,0,0,0,0,0,14,0,0,0,4,1,0,20,0,0,0,0
2022-02-10T13,207,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,1,12,1,1,0,0,29,4,0,0,0,1,0,7,7,0,0,0,0,31,0,0,0,0,1,0,0,1,0,0,6,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,1,19,0,0,0,0,0,6,0,0,0,8,2,0,39,0,1,0,0
2022-02-10T14,176,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,9,1,0,0,0,43,1,0,0,0,3,0,8,9,0,0,0,0,10,0,0,0,0,1,0,0,2,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,3,0,2,0,0,0,0,0,0,4,0,0,0,0,1,8,0,0,0,0,0,11,0,0,0,4,0,0,21,0,1,1,0
2022-02-10T15,224,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,10,0,0,0,0,60,0,0,0,0,5,0,9,9,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,11,0,0,1,0,2,0,5,0,0,0,0,2,0,6,0,0,0,0,2,7,0,0,0,0,0,14,0,0,0,6,2,0,26,0,0,0,1
2022-02-10T16,269,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,4,2,0,10,0,0,0,0,99,1,0,0,0,5,0,5,20,0,0,0,0,8,0,0,0,0,0,0,1,2,0,0,15,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,10,0,0,1,0,2,0,3,0,1,0,0,2,0,4,0,0,0,0,8,7,0,0,0,0,0,5,0,0,0,3,2,0,31,0,0,0,0
2022-02-10T17,347,2,1,0,0,3,0,0,1,0,0,2,0,0,0,4,0,0,10,0,1,13,0,0,0,0,156,0,0,0,0,11,0,12,19,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,4,0,1,0,0,1,0,4,0,0,0,0,24,8,0,0,0,0,0,4,0,0,0,1,0,0,29,0,0,0,0
2022-02-10T18,535,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,14,0,0,0,0,308,0,0,0,0,13,0,14,18,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,26,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,26,0,0,0,0,0,0,1,0,1,0,0,1,0,5,1,0,0,0,19,7,0,0,0,0,0,0,0,0,0,1,2,0,51,0,0,2,0
