bucket,--,AE,AR,AT,AU,BA,BB,BE,BG,BN,BR,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EC,EE,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IT,JP,KR,KY,LK,MD,MK,MO,MT,MX,MY,NA,NL,NO,NZ,PE,PH,PL,PT,RO,RU,SE,SG,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-09-27T17,0,0,0,0,0,0,0,3,0,0,2,3,1,0,0,0,0,0,56,2,0,0,4,0,6,13,0,0,0,0,3,0,0,11,0,0,1,0,0,0,0,0,0,0,0,20,0,0,0,1,1,1,2,0,12,0,0,11,0,8,0,8,0,0,0
2021-09-27T18,0,0,0,0,0,0,0,2,0,0,1,3,3,0,0,0,0,0,42,3,0,0,5,0,5,23,0,0,0,0,4,0,0,11,0,0,0,0,0,2,0,0,1,0,0,21,0,0,0,1,1,1,0,0,5,0,0,6,1,5,0,9,0,0,0
2021-09-27T19,0,0,1,1,0,0,0,2,0,0,2,4,1,0,0,0,0,0,36,0,0,0,3,0,7,22,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,1,4,0,0,5,1,6,0,4,0,0,0
2021-09-27T20,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,29,0,0,0,3,0,7,17,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,1,1,2,0,2,0,0,4,1,4,0,10,0,0,0
2021-09-27T21,0,0,1,0,0,0,0,0,0,0,1,8,1,0,0,0,0,0,16,0,0,0,3,0,1,16,0,0,0,0,1,0,0,14,0,0,0,0,0,2,0,0,1,0,0,13,0,0,0,0,1,2,2,1,2,0,0,1,0,5,0,13,0,0,0
2021-09-27T22,0,0,1,0,2,0,0,0,0,0,1,6,1,0,0,0,0,0,13,0,0,0,0,0,2,8,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,2,1,0,2,0,0,1,0,3,0,13,0,0,0
2021-09-27T23,0,0,4,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,7,0,0,0,0,0,1,7,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,2,0,0,5,0,0,1,0,1,0,0,0,1,1,0,0,0,4,0,17,0,0,0
2021-09-28T00,0,0,0,0,2,0,1,0,0,0,4,14,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,13,0,0,0
2021-09-28T01,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,12,0,0,0
2021-09-28T02,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,6,0,10,0,0,0
