bucket,total,--,AE,AR,AT,AU,BA,BB,BE,BG,BR,BS,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,EC,EG,ES,FI,FR,GB,GE,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MC,MD,MM,MN,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PL,PT,RO,RS,RU,RW,SA,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-11-09T00,127,3,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,6,0,0,10,0,0,0,1,0,5,6,0,1,1,0,1,0,0,0,0,6,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,2,0,2,0,35,0,0,0
2021-11-09T01,129,5,0,0,0,0,0,0,0,0,1,0,0,23,1,1,0,4,0,0,7,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,15,0,0,1,0,2,0,43,0,0,0
2021-11-09T02,85,2,0,2,0,0,0,0,0,0,0,0,0,14,1,0,0,8,0,0,3,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,13,0,0,3,0,2,1,21,0,0,0
2021-11-09T03,94,2,0,1,0,1,0,0,0,0,1,0,0,10,0,0,0,8,0,0,2,0,0,0,1,1,2,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,3,14,0,0,3,0,3,0,31,0,0,0
2021-11-09T04,99,2,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,7,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,2,1,0,0,0,0,2,0,0,2,6,0,0,3,0,2,0,45,0,1,0
2021-11-09T05,82,2,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,5,0,0,1,0,0,0,0,0,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,3,0,0,2,15,0,0,4,0,2,0,23,0,4,0
2021-11-09T06,86,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,5,0,0,0,0,1,4,2,0,0,1,0,1,0,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,15,0,0,6,0,2,0,22,0,1,0
2021-11-09T07,65,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,7,0,0,7,0,0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,9,0,0,2,0,1,0,18,0,1,0
2021-11-09T08,89,2,0,0,0,2,0,0,1,0,0,0,0,3,1,0,0,6,0,0,10,0,0,0,1,1,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,0,0,1,0,4,3,0,0,0,1,0,0,2,10,0,0,4,0,3,0,17,0,0,0
2021-11-09T09,96,2,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,5,0,0,16,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,7,2,0,0,0,4,0,0,2,11,0,0,4,0,1,0,14,0,0,0
2021-11-09T10,90,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,5,0,0,17,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,2,0,0,2,13,0,0,6,0,4,1,12,0,0,1
2021-11-09T11,100,2,0,0,0,1,0,0,1,0,0,0,0,3,1,0,0,6,0,0,11,1,0,0,1,0,4,5,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,6,0,0,0,0,8,0,0,0,0,2,0,0,2,13,0,0,5,0,8,0,12,0,0,1
2021-11-09T12,127,4,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0,7,0,0,8,2,0,0,1,0,7,7,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,1,0,0,0,7,2,0,2,0,4,0,0,2,17,0,0,16,0,4,1,12,0,1,1
2021-11-09T13,134,4,0,0,0,2,0,0,1,0,0,0,0,7,0,0,0,5,0,0,12,1,0,0,2,0,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,6,0,0,0,0,2,1,0,4,12,0,0,23,0,4,2,16,0,0,0
2021-11-09T14,135,3,0,0,0,0,0,0,3,0,0,1,0,10,0,0,0,6,0,0,18,1,0,0,1,0,5,8,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,7,0,0,0,0,6,0,0,0,0,3,0,0,3,17,0,0,17,0,4,1,12,0,0,0
2021-11-09T15,195,3,0,1,1,0,0,1,0,0,4,1,0,26,0,0,0,6,0,0,22,0,0,0,3,2,6,13,0,0,1,0,0,0,0,1,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,10,0,0,0,1,1,1,1,1,0,2,0,0,2,16,0,0,25,0,3,1,28,0,0,0
2021-11-09T16,201,3,1,0,1,0,0,0,2,0,0,0,0,20,2,0,0,10,0,0,38,0,0,1,4,1,5,13,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,14,0,0,0,0,3,2,1,1,0,5,0,0,6,10,0,0,22,0,2,0,20,0,0,1
