bucket,total,--,AD,AE,AR,AT,AU,BA,BB,BD,BE,BG,BH,BM,BR,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,FI,FR,GB,GE,GI,GR,HK,HR,HU,ID,IE,IL,IN,IT,JM,JP,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,ML,MM,MO,MV,MX,MY,NA,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,TH,TR,TT,TW,UA,US,UY,VE,VN,ZA
2021-12-06T12,129,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,0,0,0,21,0,0,0,0,0,2,1,1,5,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,20,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,6,0,0,12,1,0,3,1,24,0,0,0,1
2021-12-06T13,150,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,8,0,0,0,20,0,0,0,0,0,1,0,10,7,0,0,0,2,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,8,0,0,17,0,0,3,3,21,0,0,0,1
2021-12-06T14,183,1,0,0,0,0,0,0,0,0,3,1,0,0,0,5,2,0,0,0,7,0,0,0,32,0,0,0,0,0,0,0,5,6,0,0,0,2,0,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,30,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,12,0,0,11,1,0,4,1,30,0,0,0,2
2021-12-06T15,195,1,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,0,5,0,0,0,46,1,0,0,0,0,4,0,7,6,0,0,0,1,0,0,0,0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,39,0,0,0,2,0,1,0,0,0,0,0,6,0,0,1,7,0,0,14,3,0,7,4,22,0,0,0,0
2021-12-06T16,259,1,0,0,0,0,0,0,0,0,5,1,0,0,0,3,2,0,0,0,9,0,0,0,92,2,0,0,0,0,3,0,7,17,0,0,0,2,0,0,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,41,0,0,0,2,0,2,0,0,0,0,0,5,0,0,4,9,0,0,9,1,0,1,1,26,0,0,0,1
2021-12-06T17,371,2,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,1,0,3,1,0,0,177,0,0,0,0,0,12,0,8,14,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,72,1,0,0,1,0,1,0,1,0,2,0,7,0,0,5,7,0,0,9,3,0,0,0,24,0,0,0,0
2021-12-06T18,663,1,0,0,0,4,0,0,0,0,7,0,0,0,0,5,2,0,2,0,7,0,0,0,229,1,0,0,0,0,12,0,13,23,0,1,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,261,0,0,0,1,0,3,0,1,0,1,0,4,0,0,12,11,0,0,5,1,0,2,1,30,0,0,6,1
2021-12-06T19,546,1,0,0,0,2,0,0,0,0,5,0,0,0,1,11,2,0,1,0,9,0,0,0,169,1,0,0,0,0,14,0,10,31,0,1,0,1,0,1,1,3,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,203,0,0,0,0,0,1,0,2,0,2,0,6,0,0,8,9,0,0,3,1,0,1,2,31,0,0,0,0
2021-12-06T20,359,1,0,0,1,1,1,0,0,0,3,0,0,0,0,5,2,0,0,0,6,0,0,0,125,0,0,0,0,0,4,0,8,25,0,0,0,0,0,0,0,0,0,0,16,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,1,0,0,0,3,0,0,6,10,0,0,3,1,0,1,1,38,0,0,0,0
2021-12-06T21,233,2,0,0,0,1,0,0,0,0,1,0,0,0,2,4,3,0,1,0,4,0,0,1,73,0,0,0,0,0,3,0,10,16,0,0,0,1,0,0,1,1,0,0,20,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,2,0,0,0,1,0,0,2,7,0,0,2,0,0,0,0,33,0,0,0,0
