bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MD,ME,MK,ML,MO,MX,MY,MZ,NG,NL,NO,NZ,PH,PL,PR,PT,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,VN,ZA
2021-12-28T03,81,1,0,1,0,1,0,0,0,0,0,0,3,11,0,1,0,2,0,0,6,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,2,6,0,1,0,0,6,1,20,1,0,0
2021-12-28T04,82,1,0,0,0,2,0,0,0,0,0,0,1,10,0,0,0,2,1,0,7,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3,0,0,2,8,0,2,0,0,4,0,28,0,0,0
2021-12-28T05,82,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,0,0,8,0,0,0,0,1,0,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,2,6,0,2,0,0,5,0,28,0,0,0
2021-12-28T06,66,1,0,0,0,4,0,0,0,0,0,0,0,3,1,0,0,1,0,0,6,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,1,0,3,0,0,2,6,0,2,0,0,3,0,18,0,0,0
2021-12-28T07,69,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,1,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,2,0,0,2,8,0,2,0,0,3,0,14,0,0,0
2021-12-28T08,95,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,12,3,0,0,0,1,0,6,6,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,1,0,0,2,0,4,0,0,2,6,0,3,0,0,5,1,19,0,0,0
2021-12-28T09,123,1,0,0,0,3,0,0,0,2,0,0,1,2,0,0,1,0,0,0,32,3,0,0,0,1,0,10,5,0,0,0,1,0,0,0,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,0,4,0,0,2,6,0,3,0,0,2,1,14,0,0,0
2021-12-28T10,136,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,29,3,0,0,0,1,0,8,12,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0,2,0,0,0,1,1,0,2,0,0,3,6,0,5,0,0,4,1,16,0,6,0
2021-12-28T11,144,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,35,0,0,0,0,2,0,6,7,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24,0,2,1,1,0,0,0,0,5,0,0,5,9,0,3,0,0,8,0,15,0,3,0
2021-12-28T12,140,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,2,0,9,7,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,20,0,0,1,1,0,0,0,0,4,0,0,4,7,0,7,0,0,7,0,19,0,0,0
2021-12-28T13,143,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,30,0,0,0,0,1,0,7,9,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,0,0,1,0,0,0,0,0,2,0,0,4,6,0,9,0,0,7,0,16,0,0,0
2021-12-28T14,168,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,0,0,39,0,0,0,0,0,1,12,12,0,2,1,0,0,0,0,1,10,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,29,0,0,1,1,0,0,0,0,4,0,0,4,6,0,10,0,1,4,2,13,0,0,0
2021-12-28T15,202,1,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,3,0,0,55,1,0,0,0,3,0,12,14,0,2,0,0,1,1,0,0,9,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,27,0,0,1,1,0,0,2,0,5,0,0,6,7,0,5,0,1,5,1,24,0,0,0
2021-12-28T16,242,1,0,1,1,0,0,0,0,2,1,0,1,3,2,0,0,4,0,1,77,0,0,0,0,7,0,11,18,1,3,0,0,0,0,0,0,18,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,33,0,0,1,2,0,0,0,0,3,0,0,6,8,0,4,0,1,1,0,25,0,1,0
2021-12-28T17,281,4,0,0,0,0,0,0,0,1,0,0,0,4,4,0,1,3,0,1,95,1,0,0,0,10,0,13,20,0,1,0,0,0,0,0,0,21,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,26,0,0,0,3,0,0,1,0,5,0,1,9,7,0,5,0,1,3,2,31,0,0,0
2021-12-28T18,282,2,0,0,1,0,0,0,0,4,0,0,1,8,2,0,0,3,0,0,91,0,0,0,0,12,0,13,16,1,2,0,0,0,0,0,0,15,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,54,0,0,0,1,0,0,4,0,4,0,0,7,7,0,4,0,1,0,0,22,0,0,1
2021-12-28T19,284,1,0,1,0,0,0,0,0,5,0,0,0,9,2,0,0,4,0,0,85,0,0,0,0,10,0,9,13,1,2,0,0,0,0,0,0,17,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,61,0,0,0,2,0,3,3,0,3,0,0,6,8,1,1,0,1,0,1,30,0,0,1
