bucket,total,--,AD,AE,AR,AT,AU,BB,BD,BE,BG,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,MD,MK,ML,MO,MT,MX,MY,MZ,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,VE,VN,YE,ZA
2021-12-20T12,149,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,4,0,0,28,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,1,0,1,4,1,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,32,0,0,0,1,0,0,0,3,0,2,0,4,12,1,0,9,0,0,5,0,21,0,0,0,0,0
2021-12-20T13,157,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,8,0,0,28,0,0,0,1,0,4,4,0,0,0,0,2,0,0,0,0,0,1,10,5,0,0,2,0,0,3,1,0,0,0,0,0,0,1,0,0,31,0,0,0,2,0,1,0,1,0,6,0,2,6,1,0,8,0,1,7,0,15,0,0,0,1,0
2021-12-20T14,202,1,0,0,1,1,0,0,0,2,0,4,6,0,0,0,9,0,0,41,0,0,0,0,0,13,6,1,0,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,32,0,0,0,1,0,4,1,1,0,7,0,3,12,0,0,10,0,1,5,0,26,0,0,0,0,0
2021-12-20T15,182,1,0,0,0,2,0,0,0,1,0,1,7,1,0,0,8,0,0,46,0,0,0,0,0,8,10,0,0,0,0,1,0,0,0,0,2,0,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,1,0,3,0,0,0,6,0,4,5,0,0,7,0,1,2,0,22,0,0,1,0,0
2021-12-20T16,227,2,0,0,0,1,0,0,0,2,1,0,6,1,0,0,15,1,0,64,0,0,0,2,0,10,12,0,0,0,1,1,0,0,0,0,1,0,14,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2,0,1,2,1,0,2,0,3,8,1,0,15,0,1,2,1,20,0,0,0,0,0
2021-12-20T17,289,1,0,0,0,0,0,0,0,3,0,0,4,1,0,0,13,0,1,111,0,1,0,4,0,9,10,0,0,0,0,0,0,0,1,0,0,0,16,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45,0,0,0,1,0,1,3,2,0,3,0,6,5,2,0,8,0,1,4,2,27,0,0,0,0,0
2021-12-20T18,465,1,0,0,1,3,0,0,0,5,0,0,5,1,0,0,7,0,0,182,0,0,0,7,0,13,14,0,0,0,1,0,0,0,1,0,0,0,22,4,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,130,3,0,0,1,0,3,3,2,0,2,0,6,5,0,0,11,0,2,2,1,22,0,0,0,0,1
2021-12-20T19,413,1,0,0,0,3,0,0,0,5,1,5,9,2,0,0,11,0,1,137,1,0,0,10,0,14,16,0,0,1,0,2,0,0,1,0,3,0,7,5,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,127,1,0,0,1,0,2,0,3,0,3,0,4,7,0,1,0,0,1,2,0,22,0,0,0,0,0
2021-12-20T20,327,1,0,0,0,3,1,0,0,4,0,3,8,1,1,0,9,0,1,94,0,0,0,11,0,9,21,0,0,1,0,1,0,0,2,0,5,0,15,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,54,2,0,0,1,0,3,0,1,0,4,0,5,6,0,0,1,0,0,3,0,52,0,0,0,0,0
2021-12-20T21,250,1,0,0,0,0,2,0,0,3,0,0,8,4,1,0,8,0,0,57,1,0,0,5,0,11,26,0,0,1,0,1,0,0,1,0,0,0,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,40,2,0,0,1,0,1,2,0,1,3,0,3,5,2,0,2,0,0,1,0,39,0,0,0,0,0
