bucket,total,--,AE,AR,AT,AU,AW,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,ME,MM,MN,MO,MX,MY,NL,NO,NZ,PH,PK,PL,PT,PY,RE,RO,RU,RW,SE,SG,SK,TH,TM,TR,TW,UA,US,VN,ZA,ZM
2024-05-13T13,141,0,0,0,1,3,0,0,1,4,0,0,1,4,1,0,0,30,0,0,10,0,0,0,0,0,0,0,8,10,0,0,1,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,4,3,0,1,8,0,11,0,1,2,0,21,0,0,0
2024-05-13T14,184,1,0,0,0,2,0,0,1,2,1,1,1,8,1,0,0,35,1,0,15,0,0,2,0,0,0,0,6,5,0,0,3,0,0,0,1,0,0,0,0,2,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,5,0,0,2,0,2,0,0,0,7,3,0,0,14,0,18,0,0,3,0,33,0,1,0
2024-05-13T15,156,1,0,0,2,2,0,0,1,1,0,1,0,6,1,0,0,11,1,0,17,0,0,0,0,2,0,0,8,5,1,0,0,0,0,1,0,0,4,0,2,2,9,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,4,0,0,2,0,1,0,0,0,5,4,0,0,8,0,21,0,0,1,0,28,0,0,0
2024-05-13T16,154,0,0,0,2,1,0,0,1,0,1,0,1,6,1,0,0,5,0,0,17,0,0,0,0,2,0,0,11,9,0,0,5,0,0,1,0,0,3,0,1,11,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,9,0,1,1,0,2,0,0,0,3,3,0,0,10,1,14,0,0,0,0,20,0,0,0
2024-05-13T17,216,1,0,0,1,2,0,0,2,2,2,0,1,9,3,0,0,6,0,0,32,0,0,0,0,5,0,1,11,10,0,0,2,0,0,0,0,0,3,0,0,15,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,10,2,1,0,0,4,1,0,0,6,3,1,6,7,1,13,0,0,1,0,36,1,0,0
2024-05-13T18,227,0,0,0,1,1,0,0,2,2,1,0,1,7,4,0,0,5,0,0,37,0,0,0,0,5,0,1,11,13,0,0,0,2,0,0,0,0,9,1,0,16,12,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,17,3,0,0,0,2,1,0,0,8,0,0,3,9,0,10,0,2,1,0,35,1,1,0
2024-05-13T19,195,1,0,0,1,2,1,0,1,3,1,0,0,6,1,0,0,4,0,0,28,0,0,0,0,3,0,1,16,8,0,0,2,0,0,0,1,0,9,0,0,16,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,21,2,0,0,0,3,1,0,0,7,0,1,7,6,0,5,0,0,0,0,33,0,0,0
2024-05-13T20,152,2,0,0,0,2,0,0,1,2,0,0,2,3,2,0,0,6,0,0,23,0,0,0,0,3,0,1,11,10,0,0,2,1,0,0,0,0,0,0,0,24,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,13,1,0,0,0,1,0,0,0,3,0,0,1,7,0,4,0,1,0,0,21,0,0,0
2024-05-13T21,117,0,0,1,0,2,0,0,1,1,0,0,2,2,1,0,0,1,0,0,13,0,0,0,0,1,1,0,8,10,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,9,0,1,0,0,2,0,0,0,3,2,0,0,6,0,1,0,1,0,0,26,0,0,0
2024-05-13T22,113,1,0,1,0,1,0,0,1,1,0,0,1,9,1,0,0,2,0,0,12,0,0,0,0,0,1,0,4,12,0,0,1,0,0,0,0,0,2,0,0,11,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,3,0,0,2,6,0,0,0,1,0,0,30,0,0,0
