bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BR,BT,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,LA,LC,LT,LU,LV,MA,MD,MK,MM,MN,MO,MX,MY,NC,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RU,RW,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-06-24T13,147,0,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,20,0,0,0,6,0,0,0,0,0,1,0,3,9,0,0,0,5,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,1,0,2,6,0,0,13,0,0,2,0,0,57,0,0,1,0
2024-06-24T14,133,2,0,0,0,0,0,0,1,0,2,0,0,4,2,0,0,19,0,0,0,9,0,0,0,0,0,0,0,4,6,0,0,0,3,2,1,1,0,0,0,4,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,2,0,0,0,0,1,2,1,2,6,0,0,17,0,1,2,0,0,26,0,0,1,0
2024-06-24T15,112,0,0,1,1,1,0,0,0,1,0,0,0,4,1,0,0,16,0,0,0,14,1,0,0,0,0,1,0,10,3,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,1,6,0,0,16,0,1,0,0,0,21,0,0,0,0
2024-06-24T16,135,2,0,0,1,0,0,0,0,1,2,0,0,2,0,0,0,6,0,0,0,25,0,0,0,0,0,1,0,18,4,0,0,0,4,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,1,2,0,0,2,6,0,0,15,0,2,0,0,0,20,0,0,0,0
2024-06-24T17,188,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,9,0,0,0,30,2,0,1,0,0,2,0,17,6,0,0,0,0,0,1,0,0,1,2,13,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,1,1,0,0,10,6,0,0,7,0,5,3,0,1,43,0,1,0,0
2024-06-24T18,222,0,0,0,2,1,0,0,0,0,1,0,0,7,0,0,0,11,0,0,0,36,0,0,1,0,0,3,1,11,9,0,0,0,0,2,0,0,0,0,1,11,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,0,0,2,0,0,0,2,0,3,6,0,0,4,0,2,1,1,1,80,0,1,0,0
2024-06-24T19,138,1,0,3,0,0,1,0,0,1,1,0,0,5,1,0,0,6,0,0,0,19,0,0,0,0,0,4,0,8,11,0,0,0,1,0,0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,16,0,1,0,0,1,0,3,0,0,1,2,0,3,6,0,0,5,0,4,0,1,0,20,0,2,0,0
2024-06-24T20,126,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,13,0,0,0,14,0,0,0,0,0,3,0,12,9,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,1,1,1,5,0,0,3,0,1,0,0,0,32,0,2,0,0
2024-06-24T21,137,1,0,0,0,1,0,0,0,0,1,0,0,4,3,0,0,5,0,0,0,16,0,0,0,0,0,2,0,5,12,0,0,0,1,0,1,1,0,0,1,17,4,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,9,1,1,0,0,0,0,3,0,1,0,0,0,1,5,0,0,5,0,1,0,0,0,28,0,2,0,0
2024-06-24T22,120,0,0,0,0,0,1,0,0,0,1,0,0,13,1,0,0,8,0,0,0,12,0,0,0,0,0,0,0,4,8,0,0,0,0,0,1,0,0,0,1,11,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,1,0,2,0,0,0,0,1,3,6,0,0,2,0,1,1,0,0,27,0,2,0,0
