bucket,total,--,AE,AO,AR,AT,AU,BA,BD,BE,BG,BN,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KH,KR,KZ,LK,LT,LU,LV,MD,MK,MM,MN,MO,MU,MX,MY,NG,NL,NO,NZ,PE,PH,PL,PR,PT,PY,QA,RO,RS,RU,RW,SE,SG,SI,SK,TH,TN,TR,TW,UA,UG,US,VN,ZA
2024-08-26T11,112,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,23,0,0,0,12,0,0,0,0,0,0,1,0,0,4,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,4,1,0,7,0,0,2,0,3,3,0,0,26,2,0
2024-08-26T12,99,1,0,0,0,0,1,0,0,1,1,0,3,0,1,0,0,0,18,0,0,0,5,0,0,0,0,0,0,0,0,0,10,7,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,1,0,3,0,0,6,0,0,5,0,0,3,0,0,18,2,0
2024-08-26T13,118,0,0,0,1,0,1,0,0,2,2,0,0,0,0,1,0,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,5,9,0,3,1,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,0,1,0,0,3,0,3,0,1,7,0,0,3,0,1,4,0,0,37,0,0
2024-08-26T14,154,0,0,0,0,0,3,0,0,1,1,0,1,0,8,0,0,0,19,0,0,0,15,0,0,0,0,0,0,1,0,0,11,6,0,4,0,0,0,0,0,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,2,0,1,0,0,9,1,0,5,0,0,3,0,0,44,0,2
2024-08-26T15,199,1,0,0,0,1,0,0,0,3,0,0,1,0,6,0,0,0,18,0,0,0,33,0,0,0,0,0,0,5,0,0,11,12,0,0,0,0,1,1,0,1,0,0,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,1,0,1,0,0,2,0,4,1,0,7,0,0,13,0,0,0,0,0,53,1,0
2024-08-26T16,168,2,0,0,0,1,0,0,0,1,1,0,1,0,4,1,1,0,7,0,0,0,21,0,0,0,0,1,0,1,0,0,14,13,0,0,0,0,1,1,0,2,0,1,0,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,0,2,0,2,0,2,8,0,0,12,0,1,2,0,0,47,1,1
2024-08-26T17,151,0,0,0,0,0,0,0,0,2,0,0,1,0,4,2,0,0,7,1,0,0,34,0,0,0,0,0,0,3,0,0,9,14,1,1,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,3,0,1,0,6,6,0,0,9,0,3,0,0,0,24,0,0
2024-08-26T18,188,1,0,0,0,0,0,1,0,1,2,0,2,0,2,2,0,0,6,0,0,0,33,0,0,0,0,0,0,5,0,0,11,22,1,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,20,1,0,0,0,1,0,0,0,0,4,0,2,0,2,10,0,0,6,0,2,1,0,0,36,0,0
2024-08-26T19,160,0,0,0,0,0,0,0,0,1,0,0,4,0,3,2,0,0,7,0,0,0,38,0,0,0,0,0,0,1,0,0,11,11,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,16,2,0,0,0,1,0,0,0,0,3,1,0,0,2,6,0,0,2,0,0,0,0,0,32,0,0
2024-08-26T20,166,1,0,0,1,0,0,0,0,2,1,0,0,0,6,3,0,0,4,0,0,0,26,0,0,0,0,0,0,2,0,0,9,20,1,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,1,0,0,0,2,0,1,0,0,2,0,0,1,2,6,1,0,6,0,1,0,0,0,30,0,0
