bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MC,MD,MK,ML,MM,MN,MO,MT,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SA,SE,SG,SI,SO,SY,TH,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2024-02-06T10,90,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,8,0,0,0,0,15,1,0,0,0,1,0,0,0,0,2,9,0,0,1,0,0,0,1,0,2,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,5,0,0,0,7,0,0,0,0,13,0,0,0,1,0
2024-02-06T11,95,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,11,2,0,0,0,1,0,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,6,0,0,0,5,0,4,1,0,21,0,0,0,1,0
2024-02-06T12,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,0,0,1,4,5,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2,0,2,0,0,3,5,0,0,0,4,0,4,1,0,25,0,0,0,0,1
2024-02-06T13,88,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,4,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,1,0,2,0,2,0,2,0,0,3,5,0,0,0,8,0,2,0,0,19,0,0,0,0,0
2024-02-06T14,126,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,6,3,0,0,0,15,0,0,0,0,16,0,0,0,0,0,0,1,0,0,5,4,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,0,0,1,0,0,0,2,0,1,0,0,2,6,0,0,0,16,0,3,0,0,24,0,0,0,0,0
2024-02-06T15,112,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,7,0,0,0,0,14,0,0,0,0,1,0,3,0,0,3,6,0,0,3,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5,0,0,0,16,0,3,0,0,20,0,0,0,0,0
2024-02-06T16,140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,10,0,0,0,0,21,0,0,0,0,0,0,1,0,0,10,6,0,0,0,0,2,0,0,0,1,0,0,0,14,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,0,0,0,0,1,1,0,1,0,0,3,5,0,0,0,18,0,1,0,0,27,0,0,0,0,0
2024-02-06T17,175,1,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,5,1,0,0,0,7,0,0,0,0,29,0,0,0,0,0,0,3,0,0,11,13,0,0,1,0,1,0,0,0,4,0,0,0,18,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,2,1,2,0,2,0,0,11,5,0,0,0,11,0,0,0,0,30,0,0,0,0,0
2024-02-06T18,190,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,1,6,0,0,0,0,42,0,0,0,0,1,0,4,0,0,9,18,0,0,0,0,1,0,0,0,2,0,0,0,11,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,0,2,1,4,0,2,0,0,3,6,0,0,0,15,1,0,0,0,35,0,0,0,0,0
2024-02-06T19,247,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,10,3,0,1,0,10,0,0,0,0,48,0,0,0,0,1,0,4,0,0,8,19,0,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,2,0,0,0,0,0,0,3,1,3,0,1,0,0,3,6,0,0,0,21,0,1,0,0,60,0,0,0,0,0
2024-02-06T20,170,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,12,0,0,0,0,38,0,0,0,0,0,0,3,0,0,8,17,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,2,0,0,0,0,0,0,4,1,1,0,2,0,0,1,5,0,0,0,11,0,1,0,0,29,0,0,0,0,0
2024-02-06T21,154,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,8,1,0,0,0,10,0,0,0,0,25,0,0,0,0,0,0,5,0,0,10,15,0,0,2,0,0,0,0,0,0,0,0,0,9,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,3,2,2,1,3,0,0,2,5,0,0,0,7,0,2,0,0,29,0,0,0,0,0
2024-02-06T22,116,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,7,1,0,0,0,5,0,0,0,0,19,0,0,0,0,0,0,1,0,0,10,14,0,0,3,1,0,1,0,0,1,0,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,2,5,0,0,0,3,0,1,0,0,20,0,0,0,1,0
2024-02-06T23,127,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,10,3,0,0,1,10,2,0,0,0,10,0,0,0,0,0,0,2,0,0,4,11,0,0,1,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0,1,0,0,1,6,0,0,0,3,0,0,0,0,32,0,0,0,0,1
2024-02-07T00,133,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,5,0,0,1,5,0,0,0,2,0,0,0,0,59,0,0,0,0,0
2024-02-07T01,89,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,9,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,34,0,0,0,0,0
2024-02-07T02,83,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,1,0,0,32,0,0,0,0,0
2024-02-07T03,90,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,8,2,0,0,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,5,0,0,0,2,0,1,0,0,38,0,0,0,0,0
2024-02-07T04,72,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,33,0,0,0,0,0
2024-02-07T05,71,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,32,0,0,0,0,0
2024-02-07T06,94,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,10,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,4,0,1,0,0,30,0,0,0,1,0
2024-02-07T07,99,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,29,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,0,0,2,0,0,0,0,24,0,0,0,1,0
2024-02-07T08,84,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,1,0,0,3,3,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,2,0,2,0,1,0,0,1,5,0,0,0,5,0,3,0,0,21,0,0,0,0,0
2024-02-07T09,68,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,7,0,0,1,0,0,0,0,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,5,0,0,0,4,0,2,0,0,11,0,0,0,0,0
2024-02-07T10,96,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,9,0,0,0,0,12,0,1,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,1,0,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,5,0,0,0,6,0,0,0,0,18,0,0,0,2,1
2024-02-07T11,93,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,1,0,0,2,4,0,0,1,0,0,0,3,0,0,0,1,0,3,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5,0,0,0,7,0,0,0,0,19,0,0,0,1,0
2024-02-07T12,99,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,0,0,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,2,0,1,0,2,0,0,2,13,0,0,0,5,0,3,0,0,16,0,0,0,0,0
2024-02-07T13,103,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,9,1,0,0,0,10,1,0,0,0,0,0,0,0,0,5,6,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,1,0,1,0,2,0,3,0,0,5,9,0,0,0,9,0,4,0,0,15,0,0,0,0,0
2024-02-07T14,108,2,0,0,0,0,1,0,0,0,0,1,2,1,0,0,1,0,0,2,3,0,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,9,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,5,0,0,0,9,0,5,0,0,19,0,0,0,0,0
2024-02-07T15,131,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,9,3,0,0,0,8,1,0,0,0,16,0,0,0,0,0,0,2,0,0,6,9,0,0,2,0,0,1,0,0,1,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,1,0,1,0,0,1,0,0,0,2,0,1,0,0,6,5,0,0,0,12,0,1,0,0,24,0,0,0,0,0
2024-02-07T16,144,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,3,0,0,5,1,0,0,0,9,0,0,0,0,29,0,0,0,0,0,0,4,0,0,11,10,0,0,0,0,1,1,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,2,0,3,0,0,4,5,0,0,0,16,0,1,0,0,19,0,0,0,0,0
2024-02-07T17,189,3,0,0,0,0,3,0,0,0,0,1,3,0,0,0,0,0,0,2,4,0,1,0,9,0,0,0,0,36,0,0,0,0,0,0,6,0,0,14,7,0,0,3,0,1,0,0,0,0,0,0,0,16,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,2,0,2,0,3,0,3,0,0,11,5,0,0,0,13,0,1,0,0,23,0,0,0,2,0
2024-02-07T18,184,1,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,0,5,0,0,0,0,48,0,0,0,0,0,0,8,0,0,10,9,0,0,1,0,0,0,0,0,0,0,0,0,13,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,13,0,0,0,0,0,1,0,2,1,2,0,3,0,0,4,5,0,0,0,12,0,1,0,0,26,0,0,0,1,0
2024-02-07T19,204,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,3,0,0,5,0,0,0,0,6,0,0,0,0,40,0,0,1,0,0,0,3,0,1,9,21,0,0,3,0,2,0,15,0,0,0,0,0,10,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,3,0,0,0,0,0,0,1,2,1,0,1,0,0,5,8,0,0,0,6,0,0,0,0,34,0,0,0,0,0
2024-02-07T20,181,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,1,0,2,0,3,0,0,0,0,25,0,0,0,0,0,0,4,0,0,14,17,0,0,0,0,1,0,10,0,0,0,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,1,0,0,0,0,1,0,2,1,4,0,0,1,0,4,8,0,0,0,6,0,0,0,0,36,0,0,0,0,0
2024-02-07T21,139,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,4,2,0,1,0,3,0,0,1,0,24,0,0,0,0,0,0,0,0,0,8,14,0,0,1,0,0,0,2,0,1,0,0,0,12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,4,1,2,0,2,0,0,1,5,0,0,0,3,0,0,0,0,28,0,0,0,0,0
2024-02-07T22,142,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,5,2,0,0,0,3,0,0,0,0,17,0,0,0,0,0,0,1,0,0,7,10,0,0,1,0,0,0,18,0,2,0,0,0,12,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,6,0,0,0,5,0,0,0,0,30,0,0,0,0,0
2024-02-07T23,95,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,0,0,5,0,0,0,0,11,1,0,0,0,0,0,2,0,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,0,0,0,2,0,0,0,0,30,0,0,0,0,0
2024-02-08T00,150,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,1,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,5,0,0,0,1,0,0,0,0,91,0,0,0,0,0
2024-02-08T01,162,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,111,0,0,0,0,0
2024-02-08T02,160,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,7,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,1,0,1,0,0,102,0,0,1,1,0
2024-02-08T03,103,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,7,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,2,0,0,1,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,1,0,2,0,0,43,0,0,1,1,0
2024-02-08T04,103,2,0,0,0,1,0,2,0,0,0,1,0,2,0,0,0,0,0,10,0,0,1,0,18,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,5,0,1,0,2,1,1,0,0,34,0,0,0,0,0
2024-02-08T05,76,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,17,0,0,0,0,6,0,0,1,0,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,1,0,0,20,0,0,0,0,0
2024-02-08T06,82,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,15,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,1,1,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,2,0,1,0,0,21,0,0,0,1,0
2024-02-08T07,76,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,0,16,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,5,0,0,0,1,0,2,0,0,19,0,0,0,0,0
2024-02-08T08,71,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,1,0,1,5,0,0,0,5,0,1,0,0,18,0,0,0,0,0
2024-02-08T09,83,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,14,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,5,0,0,0,3,0,0,1,0,17,0,0,0,0,0
2024-02-08T10,73,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,1,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,5,0,0,0,3,0,3,0,0,10,0,0,0,0,0
2024-02-08T11,78,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,11,0,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,0,0,0,5,0,3,0,0,11,0,0,0,1,2
2024-02-08T12,140,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,10,1,0,0,0,0,0,2,0,0,6,6,0,0,1,0,0,1,0,0,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,2,16,0,0,0,9,0,1,0,0,58,0,0,0,0,0
2024-02-08T13,139,3,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,0,4,1,0,0,0,20,0,0,0,0,0,0,1,0,0,6,6,0,0,3,0,0,0,0,0,0,0,2,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,4,0,0,0,2,0,3,0,0,3,10,0,0,0,10,0,2,0,0,34,1,0,0,3,0
2024-02-08T14,143,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,4,3,0,0,0,7,0,0,0,0,17,0,0,0,0,0,0,1,0,0,8,7,0,0,3,0,0,1,0,0,0,0,2,0,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,1,0,0,0,5,0,3,1,0,1,12,0,0,0,18,0,2,0,0,23,0,0,0,0,0
2024-02-08T15,135,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,0,0,0,4,0,0,0,0,14,0,0,0,0,1,0,2,0,0,9,5,0,0,4,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,6,1,0,1,0,0,2,0,4,0,1,0,6,1,0,3,8,0,0,0,14,0,6,1,0,18,0,0,0,1,0
2024-02-08T16,165,1,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,6,1,0,0,0,6,0,0,0,0,32,1,0,0,0,0,0,7,0,1,13,6,0,0,3,0,1,0,0,0,0,0,0,0,15,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,6,0,0,0,11,0,2,0,0,27,0,0,0,0,0
2024-02-08T17,152,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,1,0,0,6,0,0,1,0,5,1,0,0,0,24,0,0,0,0,0,0,4,0,0,11,9,0,0,3,0,0,0,0,0,0,0,1,0,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,6,1,0,1,0,0,0,0,1,1,1,0,2,0,0,3,6,0,0,0,14,0,5,0,1,16,0,0,0,0,1
2024-02-08T18,206,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,11,1,0,1,0,7,1,0,1,0,41,0,0,0,0,1,0,5,0,0,16,15,0,0,0,0,0,0,0,0,0,0,1,0,16,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,11,2,0,0,0,0,0,1,2,1,3,0,3,0,0,4,7,0,0,0,15,0,2,0,1,18,0,0,0,0,1
2024-02-08T19,195,2,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,10,1,0,0,0,6,0,0,0,0,39,0,0,0,0,3,0,4,0,0,11,30,0,0,2,0,0,0,0,1,2,0,0,0,15,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,7,1,0,1,0,0,0,1,3,0,3,0,0,0,0,2,6,0,0,0,9,0,2,0,0,22,0,0,0,0,1
2024-02-08T20,144,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,7,1,0,0,0,2,0,0,0,0,19,0,0,0,0,0,0,3,0,0,18,13,0,0,0,0,0,0,0,0,1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,13,0,0,0,0,0,0,0,3,1,3,0,1,0,0,1,5,0,0,0,4,0,1,0,0,24,0,0,0,2,0
2024-02-08T21,182,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,8,1,0,0,0,4,0,0,0,0,22,0,0,0,0,0,0,1,0,0,13,21,0,0,3,0,0,1,0,0,0,0,0,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,0,0,2,0,0,1,0,1,2,0,0,1,1,0,2,6,0,0,0,6,0,2,0,0,29,0,0,0,0,0
