bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MM,MN,MO,MW,MX,MY,NE,NG,NL,NO,NP,NZ,PE,PH,PL,PT,PY,RO,RU,RW,SA,SE,SG,SN,SO,TH,TM,TN,TR,TW,TZ,UA,US,VN,ZA
2024-07-02T00,105,1,0,0,0,1,0,1,0,1,0,2,0,5,0,0,0,1,21,0,0,0,3,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,1,2,0,0,37,0,1
2024-07-02T01,111,0,0,0,0,3,0,1,0,1,0,1,0,7,1,0,0,0,17,0,0,0,4,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,55,0,0
2024-07-02T02,120,3,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,42,0,0,0,4,0,1,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,2,0,0,39,1,1
2024-07-02T03,109,3,0,1,0,2,0,1,0,0,0,1,0,6,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,42,0,0
2024-07-02T04,61,2,0,0,0,0,0,2,0,0,0,1,0,3,1,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,27,0,0
2024-07-02T05,72,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,39,0,0
2024-07-02T06,97,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,16,0,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,1,3,0,0,0,8,0,0,2,0,0,0,0,0,0,35,0,0
2024-07-02T07,92,0,0,0,0,1,0,1,1,0,1,0,0,3,0,0,0,0,9,0,0,0,12,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,3,0,0,0,7,0,0,1,0,0,0,0,0,0,32,0,0
2024-07-02T08,105,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,15,0,0,0,12,0,0,1,0,0,2,0,4,4,0,0,0,0,0,0,1,0,2,0,0,0,5,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,1,0,0,0,1,0,0,1,6,0,0,1,0,0,0,0,0,0,32,0,0
2024-07-02T09,103,0,0,0,0,1,0,1,0,0,0,1,0,6,0,0,0,0,13,0,0,0,9,0,0,0,0,0,1,0,5,6,0,0,0,0,0,0,3,0,2,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,8,0,0,2,0,0,0,0,0,0,29,0,0
