bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,EE,EG,ES,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LK,LT,LV,MD,ME,MK,MN,MO,MT,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SY,TH,TN,TR,TW,UA,US,UY,VE,VN,ZA
2024-07-29T16,119,2,0,0,1,0,0,0,0,0,1,1,0,0,0,6,1,0,6,0,0,0,17,1,0,0,0,2,0,16,5,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,5,0,0,12,0,0,0,0,24,1,0,0,1
2024-07-29T17,153,4,0,0,0,2,0,0,0,0,2,0,0,1,0,7,1,0,6,0,0,0,19,1,0,0,0,1,0,8,13,0,0,2,0,0,1,0,0,0,0,0,0,0,12,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,0,2,0,0,0,0,2,0,4,0,0,2,6,0,0,13,0,0,0,1,27,0,0,1,0
2024-07-29T18,141,3,0,0,0,1,0,0,0,0,1,0,0,0,0,9,1,1,3,0,0,0,25,0,0,0,0,1,0,5,18,0,0,0,0,0,1,0,3,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,0,0,1,0,3,0,0,0,0,1,0,5,0,0,2,6,0,0,5,0,1,0,0,25,0,0,0,0
2024-07-29T19,150,2,0,0,0,0,0,0,0,0,2,0,0,2,0,5,2,0,7,0,0,0,29,0,0,1,0,3,0,7,11,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,0,0,0,4,0,0,0,0,3,0,2,0,0,1,5,0,0,6,0,0,1,0,25,0,0,1,0
2024-07-29T20,170,3,0,0,0,0,0,0,0,0,2,0,0,1,0,12,2,0,5,0,0,0,24,0,0,0,0,4,0,7,18,0,0,1,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,1,0,4,0,0,0,0,3,0,2,0,0,2,7,0,0,7,0,1,0,0,32,0,0,0,0
2024-07-29T21,114,3,0,0,1,0,0,0,0,0,0,1,1,0,0,2,1,0,4,1,0,0,14,1,0,0,0,2,0,4,5,0,0,2,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,2,0,2,0,1,0,0,1,8,0,0,5,0,0,0,1,28,0,0,0,1
2024-07-29T22,101,3,0,0,1,0,1,0,0,0,0,0,1,0,0,4,2,0,5,1,0,0,9,0,0,0,0,2,0,3,9,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,3,0,0,0,7,0,0,2,0,0,1,0,28,0,0,0,0
2024-07-29T23,83,1,0,0,1,0,0,0,0,0,0,0,0,1,0,6,1,0,7,0,0,0,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,5,0,0,2,0,0,0,0,32,0,0,0,0
2024-07-30T00,82,2,0,0,1,0,0,0,0,0,0,1,0,1,0,5,0,0,5,0,0,0,6,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,7,0,0,3,0,0,0,0,38,0,0,0,0
2024-07-30T01,89,1,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,4,0,0,0,5,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,7,0,0,2,0,0,0,0,44,0,0,2,0
