bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BI,BO,BR,BY,BZ,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GA,GB,GE,GP,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JP,KH,KR,KY,KZ,LA,LT,LU,LV,MA,MD,ME,MM,MO,MT,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,TZ,UA,US,UY,VE,VI,VN,ZA
2024-02-19T17,181,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6,1,0,5,0,0,2,29,0,0,0,1,0,5,0,0,15,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,1,1,3,0,0,4,5,0,0,12,0,1,1,1,0,38,1,0,0,1,0
2024-02-19T18,180,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,12,0,0,1,30,2,0,0,1,0,5,0,0,6,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,4,0,0,0,0,0,0,2,0,0,1,5,0,0,7,5,0,0,11,0,1,3,1,0,32,1,0,0,1,0
2024-02-19T19,183,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,8,1,0,9,0,0,1,39,0,0,0,0,0,4,0,0,6,0,14,0,0,0,1,0,0,0,0,1,1,0,0,0,1,10,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,3,0,0,0,0,0,0,4,1,1,1,5,0,0,3,7,0,0,6,0,2,1,0,0,22,0,0,0,1,0
2024-02-19T20,178,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,27,0,0,1,25,0,0,0,0,0,5,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,4,1,2,0,3,0,0,2,7,0,0,8,0,2,2,0,0,18,0,0,0,0,0
2024-02-19T21,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,13,0,1,1,20,0,0,0,0,0,2,0,0,5,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2,0,0,1,0,0,3,5,0,0,3,0,0,2,0,1,16,0,0,0,2,0
2024-02-19T22,152,4,0,4,0,1,0,0,0,0,0,0,0,2,0,0,2,2,0,17,0,1,1,23,0,0,0,0,0,3,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,0,1,2,0,0,0,1,0,0,2,5,0,0,3,0,0,1,0,1,35,0,0,0,1,0
2024-02-19T23,132,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,9,2,0,19,0,0,0,15,0,0,0,0,0,1,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,5,0,0,2,0,1,1,0,1,31,0,0,0,1,0
2024-02-20T00,107,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,1,0,18,0,0,0,6,0,0,0,0,0,1,0,1,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,2,0,0,30,0,0,0,2,1
2024-02-20T01,87,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,0,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,1,0,0,29,0,0,0,1,0
2024-02-20T02,96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,1,0,0,2,0,0,38,0,0,0,1,1
2024-02-20T03,104,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,1,0,19,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,7,0,0,0,0,0,3,0,0,42,0,0,0,1,0
2024-02-20T04,97,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,1,0,0,5,0,1,56,0,0,0,1,0
2024-02-20T05,73,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,13,0,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,0,3,0,0,25,0,0,0,0,1
