bucket,total,--,AE,AF,AL,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GH,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MC,MD,ML,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SK,SN,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,VE,VN,ZA,ZW
2024-02-12T14,115,3,1,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,7,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,5,15,0,0,0,1,0,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,2,5,0,0,0,12,0,0,0,0,0,0,25,0,0,0,0,0
2024-02-12T15,114,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,1,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,1,7,8,0,0,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,0,0,0,0,5,0,0,3,6,0,0,0,11,0,0,1,0,1,0,20,0,0,0,0,0
2024-02-12T16,133,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,5,0,0,0,6,0,0,0,17,0,0,0,0,0,0,2,0,0,7,6,0,0,0,3,0,0,0,0,0,2,0,0,0,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,1,0,0,0,0,4,0,0,4,5,0,0,0,9,0,1,3,0,0,0,30,0,0,0,0,0
2024-02-12T17,151,1,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,4,0,0,0,12,0,0,1,18,0,0,0,0,0,0,2,0,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,1,0,0,1,0,4,0,0,3,5,0,0,0,10,0,2,2,0,0,0,30,0,0,2,0,0
2024-02-12T18,136,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,0,5,0,0,1,27,0,0,0,0,0,0,2,0,0,8,9,0,0,0,2,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,1,0,0,5,0,2,0,0,6,5,0,0,0,7,0,1,2,0,0,0,23,0,0,1,0,0
2024-02-12T19,193,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,9,0,0,0,9,0,0,1,39,1,0,0,0,0,0,5,0,0,12,20,0,0,0,0,0,1,0,0,0,0,0,0,0,9,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,2,0,0,1,0,3,0,0,3,0,2,0,0,7,5,0,0,0,6,0,1,1,0,0,0,28,0,0,0,0,0
2024-02-12T20,198,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,4,0,0,0,8,1,0,0,19,0,0,0,0,0,0,5,0,0,17,23,0,0,0,2,0,0,0,1,0,2,0,0,0,17,7,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,0,0,0,1,0,1,0,0,0,0,3,0,6,1,0,3,5,0,0,0,5,0,0,1,0,1,0,34,0,0,0,0,0
2024-02-12T21,167,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,2,0,0,8,1,0,0,18,0,0,0,0,0,0,3,0,0,11,13,0,0,0,3,0,0,0,0,0,2,0,0,0,21,6,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,0,2,0,0,1,0,2,0,0,3,5,0,0,0,2,0,1,1,0,0,0,36,0,0,0,0,0
2024-02-12T22,110,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,0,0,6,0,0,0,19,0,0,0,0,0,0,5,0,0,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,13,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,6,0,0,0,2,0,0,0,0,0,0,21,0,0,0,0,0
2024-02-12T23,115,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0,4,0,0,0,12,0,0,0,0,0,0,3,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,7,0,0,0,2,0,0,0,0,0,0,31,0,0,0,0,0
2024-02-13T00,107,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,0,0,8,0,0,0,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,2,7,0,0,0,2,0,0,0,0,0,0,36,0,0,0,0,0
2024-02-13T01,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,0,8,0,0,0,17,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,4,12,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,17,0,0,0,1,0,0,0,0,0,0,96,0,0,0,1,0
2024-02-13T02,143,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,1,7,0,1,0,4,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,0,74,0,0,0,0,0
2024-02-13T03,94,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10,1,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,14,0,0,0,1,0,0,0,0,0,0,40,0,0,0,0,0
2024-02-13T04,101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,8,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,0,0,2,0,0,0,11,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,2,0,0,0,39,0,0,1,0,0
2024-02-13T05,149,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,7,1,2,0,7,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,15,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,1,0,0,0,66,0,0,0,1,0
2024-02-13T06,116,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,5,0,1,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,1,0,0,1,10,0,3,0,0,0,1,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
