bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VI,VN,ZA
2024-01-16T13,123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,9,5,0,0,0,0,1,0,1,0,0,10,0,0,2,0,2,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,6,0,0,7,0,0,3,0,29,0,0,0,0,0,0
2024-01-16T14,131,2,0,0,0,0,0,0,0,1,0,0,0,2,2,4,1,0,0,0,16,0,0,0,14,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,2,0,0,0,0,4,1,0,2,0,5,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,10,0,0,3,0,27,0,0,0,0,0,0
2024-01-16T15,120,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,0,0,0,15,0,0,0,0,0,0,4,0,0,8,9,0,0,0,0,1,0,1,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,14,0,1,4,0,23,0,0,0,0,1,0
2024-01-16T16,138,2,0,0,3,2,0,0,0,1,0,0,1,0,0,3,2,0,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,2,14,8,0,0,0,0,2,0,1,0,0,1,0,0,9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,4,1,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,6,0,0,15,0,0,2,0,20,0,0,0,0,1,0
2024-01-16T17,165,1,0,0,0,1,0,0,0,2,0,0,0,2,0,5,1,0,0,0,4,0,0,0,24,0,0,0,0,0,0,2,0,0,12,11,0,0,0,0,1,0,0,7,0,10,0,0,14,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,2,5,0,0,13,0,1,2,0,30,0,0,0,0,0,0
2024-01-16T18,211,1,0,0,2,1,0,0,0,4,0,0,0,2,0,6,1,0,0,0,11,0,0,0,47,0,0,0,0,0,0,4,0,0,13,12,0,0,0,0,1,0,0,0,0,2,0,1,19,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,3,0,1,0,7,0,1,0,0,2,6,0,0,13,0,1,2,0,32,0,0,0,0,1,0
2024-01-16T19,223,0,0,0,0,2,0,0,0,2,2,0,0,2,0,11,1,0,0,0,12,0,0,0,51,0,0,0,0,0,0,1,0,0,14,15,0,0,0,0,2,0,0,0,0,6,0,1,10,0,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,4,0,1,0,2,0,3,0,0,1,5,0,0,11,0,1,0,0,32,0,0,0,0,2,0
2024-01-16T20,170,0,1,0,0,0,0,0,0,1,0,0,0,2,0,9,1,0,0,0,6,0,0,0,33,0,0,0,0,0,0,4,0,0,19,16,0,0,0,0,1,0,0,1,0,0,0,0,14,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,1,0,0,0,5,0,1,0,0,1,5,0,0,9,0,1,0,0,22,0,0,0,0,0,1
2024-01-16T21,151,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,0,0,10,0,0,0,26,0,0,0,0,0,0,1,0,0,14,10,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,2,0,0,1,2,0,1,0,0,0,12,0,0,7,0,0,0,0,23,0,0,0,0,1,0
2024-01-16T22,168,3,1,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,1,0,8,0,0,0,14,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,1,0,1,0,0,5,0,0,15,0,11,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,1,2,0,2,1,0,0,1,0,0,2,6,0,0,5,0,0,0,0,45,0,0,0,0,2,2
2024-01-16T23,138,1,0,0,2,0,0,0,0,1,0,0,0,2,0,8,2,0,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,1,0,1,0,0,4,0,0,14,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,5,0,0,5,0,0,0,0,42,0,0,0,0,0,0
2024-01-17T00,128,0,0,0,2,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,3,1,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,5,0,0,4,0,0,0,0,63,0,0,0,0,0,0
2024-01-17T01,116,1,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,11,1,0,0,9,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,3,0,0,1,0,55,0,0,1,0,1,0
2024-01-17T02,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,10,1,0,0,5,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,1,0,0,42,0,0,2,0,1,0
2024-01-17T03,101,1,0,1,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,1,0,2,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,2,0,0,1,0,37,0,0,0,0,1,0
2024-01-17T04,87,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,4,2,0,0,1,0,1,0,2,1,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0,6,0,0,1,0,0,3,0,35,0,0,0,0,1,0
2024-01-17T05,78,1,0,0,0,0,2,0,1,0,1,0,0,0,0,5,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,35,0,0,0,0,0,0
2024-01-17T06,72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0,26,0,0,0,0,0,0
2024-01-17T07,92,1,0,1,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,13,0,0,0,10,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,10,0,0,0,0,1,0,0,28,0,0,0,0,0,0
2024-01-17T08,96,1,0,0,0,0,0,0,1,0,1,0,0,1,0,5,0,0,0,0,8,0,0,0,11,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,9,0,0,1,0,1,0,0,26,0,0,0,0,1,0
2024-01-17T09,101,1,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,11,0,0,0,14,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,2,0,1,0,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,5,0,0,1,0,0,0,0,24,0,0,0,0,2,2
2024-01-17T10,111,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,12,0,0,0,20,0,0,0,0,0,0,1,0,0,7,9,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,3,0,1,1,0,24,0,0,0,0,2,1
2024-01-17T11,115,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,22,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,1,3,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,6,0,0,3,0,1,2,0,28,0,0,0,0,0,0
2024-01-17T12,104,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,19,0,0,0,12,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,14,0,0,6,0,0,1,0,23,0,0,0,0,0,0
2024-01-17T13,135,1,0,0,0,0,1,0,0,2,0,0,0,0,0,2,2,0,0,0,19,0,0,0,17,0,0,1,0,0,0,0,0,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,2,0,0,2,0,1,0,0,0,3,0,3,1,0,1,7,0,0,10,0,2,4,0,29,0,0,0,0,0,0
2024-01-17T14,140,2,0,0,0,1,0,0,0,0,0,0,0,4,0,4,2,0,0,0,27,0,1,0,25,1,0,0,0,0,0,1,0,0,6,9,0,0,0,0,4,0,0,0,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6,0,0,12,0,0,3,0,18,0,0,0,0,1,0
2024-01-17T15,134,2,0,0,1,3,0,0,0,0,0,0,0,2,0,4,2,0,0,0,18,0,0,0,21,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,1,0,0,0,0,0,4,0,2,0,0,0,5,0,0,13,0,0,1,0,23,0,0,0,0,0,0
2024-01-17T16,147,1,0,0,0,3,0,0,0,1,0,0,0,1,0,4,2,0,0,0,5,0,0,0,34,1,0,0,0,0,0,1,0,0,9,7,0,0,0,0,0,0,1,0,1,0,0,0,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,7,0,1,2,0,31,0,0,0,0,0,0
2024-01-17T17,158,2,0,0,0,3,0,0,0,1,0,0,0,0,0,6,1,0,0,0,3,0,0,0,40,1,0,0,0,0,0,3,0,1,16,7,0,0,0,0,2,0,2,0,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,1,0,2,0,0,0,2,0,5,0,0,2,5,0,0,7,0,0,0,0,22,0,0,0,0,0,0
2024-01-17T18,199,2,0,0,0,1,0,0,0,2,0,0,0,0,0,5,1,0,0,0,7,0,0,0,52,1,0,0,0,0,0,8,0,0,10,12,0,0,0,0,0,0,1,2,0,0,0,0,16,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,1,0,0,0,0,1,0,1,0,1,0,2,0,0,5,5,0,0,6,0,0,2,0,28,0,0,0,0,2,0
2024-01-17T19,192,1,0,0,0,0,0,0,0,2,0,0,0,1,0,6,3,0,0,0,3,0,0,0,50,1,0,0,0,0,0,5,0,0,14,20,0,0,0,0,2,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,3,0,0,0,0,0,2,0,1,0,1,1,1,0,0,9,5,0,0,2,0,0,0,0,31,0,0,0,0,0,0
2024-01-17T20,153,2,0,0,0,1,0,0,0,3,0,0,0,0,0,10,2,0,0,0,2,0,0,0,30,0,0,0,0,0,0,2,0,0,12,12,0,0,0,0,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,3,0,0,0,1,0,1,0,0,3,5,0,0,5,0,2,0,0,23,0,0,0,0,0,0
2024-01-17T21,166,3,0,0,0,0,0,0,0,1,0,0,0,2,0,7,1,0,0,0,3,0,0,0,28,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,4,0,1,0,1,0,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,1,0,3,0,1,1,0,3,7,0,0,4,0,2,1,0,27,0,0,0,0,0,1
2024-01-17T22,170,1,0,0,0,0,0,0,0,2,0,0,0,1,0,13,1,0,1,0,17,0,0,0,17,0,0,0,0,0,0,1,0,0,10,14,0,0,0,0,2,0,2,0,1,1,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,1,0,2,0,1,0,2,0,0,2,8,0,0,4,0,0,1,1,34,0,0,0,0,0,0
2024-01-17T23,143,2,0,0,0,0,1,0,0,1,1,0,0,1,0,11,1,0,2,0,28,0,0,0,15,0,0,0,0,0,0,2,0,0,6,8,0,0,0,0,3,0,0,0,0,3,0,0,9,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,32,0,0,0,0,0,0
2024-01-18T00,133,2,0,0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,16,1,0,0,10,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,3,0,0,6,0,3,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,51,0,0,0,0,0,0
2024-01-18T01,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,22,0,0,0,6,0,0,0,0,0,0,2,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,3,0,1,0,1,0,1,0,0,0,7,0,0,2,0,0,0,0,48,0,0,0,0,0,1
2024-01-18T02,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,1,7,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,42,0,0,0,0,0,0
2024-01-18T03,114,2,0,0,0,1,1,0,0,0,0,0,0,3,0,15,1,0,0,0,21,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,2,0,0,0,0,47,0,0,0,0,1,0
2024-01-18T04,92,2,0,0,0,1,3,0,0,0,0,0,0,2,0,7,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5,0,0,1,0,0,1,0,35,0,0,0,0,1,0
2024-01-18T05,84,2,0,0,0,0,2,0,0,1,1,0,0,1,0,4,2,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,30,0,0,0,0,3,2
2024-01-18T06,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,15,0,0,0,8,0,0,0,0,0,0,0,1,1,6,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,7,0,0,0,0,0,0,0,24,0,0,0,0,1,0
2024-01-18T07,64,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,0,1,0,0,0,0,23,0,0,0,0,1,0
2024-01-18T08,64,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,9,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,5,0,0,2,0,0,3,0,16,0,0,0,0,0,1
2024-01-18T09,94,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,13,0,0,0,12,0,0,0,0,0,0,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0,5,0,0,2,6,0,0,3,0,2,0,1,22,0,0,0,0,0,0
2024-01-18T10,91,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,21,0,0,0,14,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,3,0,1,1,5,0,0,1,0,0,1,0,15,0,0,0,0,1,0
2024-01-18T11,94,3,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,9,0,0,0,14,0,0,0,0,0,0,1,0,1,5,5,0,0,0,0,8,0,0,0,0,0,0,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,8,0,0,3,0,0,1,0,13,0,0,0,0,2,0
2024-01-18T12,122,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,10,1,0,0,11,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,4,0,0,0,0,1,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,1,0,1,0,0,2,0,6,0,0,0,18,0,0,5,0,1,3,0,21,0,0,0,0,0,1
2024-01-18T13,106,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,3,1,0,0,15,0,0,1,0,0,0,0,0,0,9,4,0,0,0,0,6,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,14,0,0,10,0,1,4,0,20,0,0,0,0,0,0
2024-01-18T14,106,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,11,0,0,0,17,0,0,0,0,0,0,1,0,0,6,10,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,2,6,0,0,5,0,0,4,0,20,0,0,0,0,1,0
2024-01-18T15,133,3,0,0,0,1,0,0,0,1,1,0,0,1,0,4,0,0,0,0,20,0,0,0,13,0,0,0,0,0,0,3,0,0,7,7,0,0,0,0,3,0,1,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0,0,6,0,0,11,0,0,2,0,21,0,0,0,0,2,2
2024-01-18T16,137,1,0,0,0,2,1,0,0,1,0,0,0,2,0,4,1,0,0,0,9,0,0,0,26,0,0,0,0,0,0,0,0,0,16,9,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,2,5,1,0,9,0,0,2,0,21,0,0,0,0,1,0
2024-01-18T17,138,0,0,0,1,1,1,0,0,0,0,0,0,2,0,3,1,0,0,0,3,0,0,0,33,0,0,0,0,0,0,4,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,2,1,0,0,0,0,2,0,4,0,2,0,0,0,0,0,7,1,0,6,0,0,1,0,22,0,0,0,0,0,0
2024-01-18T18,199,2,0,0,1,1,0,0,0,2,0,0,0,1,0,10,0,0,0,0,13,0,0,0,37,2,0,0,0,0,0,6,0,0,15,19,0,0,0,0,0,0,0,0,0,1,0,0,16,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,15,2,0,0,0,0,0,1,0,1,0,2,0,1,0,0,3,5,1,0,5,0,1,1,1,27,0,0,0,0,2,0
2024-01-18T19,252,3,0,0,0,0,0,0,0,3,0,0,0,0,0,10,1,0,0,0,8,0,0,0,61,2,0,0,0,0,0,7,0,0,15,39,1,0,0,0,0,0,0,0,0,0,0,1,17,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,1,2,0,0,1,0,1,0,2,0,1,0,2,0,0,3,5,1,0,7,0,1,0,1,35,0,0,0,0,0,1
2024-01-18T20,200,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,4,0,0,0,5,1,0,0,42,1,0,0,0,0,0,7,0,0,10,25,0,0,0,0,1,0,0,0,0,1,0,0,20,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,18,2,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,6,1,0,6,0,2,0,0,26,0,0,0,0,0,2
2024-01-18T21,154,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,3,1,0,0,31,0,0,0,0,0,0,3,0,0,7,10,0,0,0,0,2,0,0,0,0,0,0,0,25,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,1,0,2,0,1,0,2,0,0,1,7,0,0,5,0,0,0,0,28,0,0,0,0,0,0
2024-01-18T22,143,0,0,0,2,0,0,0,0,1,0,0,0,2,0,6,1,1,0,0,8,1,0,0,21,0,0,0,0,0,0,1,0,0,4,12,0,0,0,0,2,0,0,0,0,0,0,0,19,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,8,0,0,2,0,0,0,0,30,0,0,0,0,0,0
2024-01-18T23,142,3,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,1,0,0,13,0,0,0,13,0,0,0,0,0,0,2,0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,1,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,0,0,2,0,0,0,0,45,0,0,1,0,1,1
2024-01-19T00,162,3,0,0,1,0,1,0,1,0,0,0,0,2,0,7,2,0,0,0,8,1,0,0,8,0,0,0,0,0,0,1,0,0,4,10,0,0,0,1,3,0,2,0,0,2,0,1,15,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,9,0,0,2,0,0,0,0,58,0,0,1,0,1,0
2024-01-19T01,100,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,3,0,0,0,0,49,1,0,1,0,1,0
2024-01-19T02,81,0,0,0,1,0,1,0,0,0,1,0,0,0,0,11,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,2,0,0,0,0,34,0,0,0,0,0,0
2024-01-19T03,79,0,0,0,1,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,33,0,0,0,0,1,0
