bucket,total,--,AE,AM,AR,AT,AU,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MM,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SN,TH,TN,TR,TW,UA,UG,US,UZ,VE,VN,ZA,ZW
2024-01-22T09,84,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,8,0,0,0,0,7,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,1,7,0,0,0,1,0,0,0,0,0,31,0,0,0,0,0
2024-01-22T10,67,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,2,2,0,0,0,6,0,0,0,0,14,1,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,0,0,3,0,0,0,0,0,13,0,0,0,0,0
2024-01-22T11,91,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,17,0,0,0,0,11,1,0,0,0,1,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,1,5,0,0,0,3,0,0,1,0,0,20,0,1,0,0,0
2024-01-22T12,97,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,14,0,0,0,0,9,1,0,0,0,1,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,1,0,4,0,1,1,1,0,1,5,0,0,0,4,0,0,4,0,0,21,0,0,0,0,0
2024-01-22T13,143,2,0,0,1,0,0,0,0,0,0,1,0,0,2,0,3,4,0,0,0,14,0,0,0,0,15,1,0,0,0,1,0,0,7,12,0,0,1,0,0,0,0,0,0,0,1,4,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,3,0,3,0,0,0,3,7,0,0,0,15,0,1,3,0,0,26,0,0,0,1,0
2024-01-22T14,150,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,7,3,0,0,0,11,0,0,0,0,19,1,0,0,0,1,0,0,8,8,0,0,4,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,6,0,1,0,18,0,0,4,0,0,33,0,0,0,1,0
2024-01-22T15,133,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,2,0,0,0,12,0,0,0,0,19,2,0,0,0,3,0,0,9,7,0,0,5,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,3,0,2,1,0,0,0,5,0,0,0,16,0,0,3,0,0,21,0,0,1,0,0
2024-01-22T16,174,2,0,0,0,2,0,0,0,0,0,1,0,0,2,0,2,2,0,0,0,9,1,0,0,0,25,3,0,0,0,1,0,0,16,11,0,0,4,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,3,0,2,0,3,0,7,0,0,0,2,5,0,0,0,15,0,0,2,1,0,30,0,0,1,1,0
2024-01-22T17,173,2,0,0,0,1,0,0,0,0,0,2,0,0,3,0,2,1,0,0,0,4,0,0,0,0,38,1,0,0,0,1,0,0,13,9,0,0,2,1,1,0,0,0,0,0,1,15,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,3,7,0,0,0,16,0,0,1,0,0,31,0,0,1,0,0
2024-01-22T18,178,1,0,0,0,3,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,9,0,0,0,0,40,1,0,0,0,4,0,0,12,9,0,0,0,0,0,0,0,0,1,0,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,0,2,0,3,0,2,0,0,0,9,6,0,0,0,10,0,0,1,0,0,28,0,0,0,0,0
