bucket,total,--,AE,AL,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,MK,MN,MO,MU,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SI,SK,TG,TH,TN,TR,TW,UA,UG,US,UZ,VN,ZA
2024-06-10T11,98,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,10,0,0,7,0,0,0,0,1,0,3,12,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,32,0,0,0
2024-06-10T12,106,2,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,1,2,0,1,7,0,0,12,0,0,0,0,3,0,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,1,0,2,0,1,0,0,0,3,0,0,0,11,0,0,0,6,0,0,1,0,0,27,0,0,0
2024-06-10T13,123,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,3,1,0,0,6,0,0,11,0,0,0,0,1,1,9,4,0,0,2,0,0,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,1,0,1,0,0,2,12,0,1,0,10,0,0,5,0,0,30,0,0,0
2024-06-10T14,153,1,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,7,3,0,0,15,0,0,13,0,0,0,0,3,1,7,12,0,0,1,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2,0,3,0,0,0,0,0,1,0,2,0,0,1,6,0,0,0,10,0,0,4,0,0,41,0,0,0
2024-06-10T15,143,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4,1,0,0,13,0,0,16,0,0,0,0,3,0,6,11,0,0,2,0,0,0,0,0,0,3,0,0,0,5,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,2,0,1,0,0,1,0,0,1,0,0,1,8,0,0,0,15,0,0,3,0,0,27,0,0,0
2024-06-10T16,182,2,0,0,0,1,0,1,0,0,1,0,0,3,0,0,0,3,2,0,0,21,0,0,24,0,0,1,1,2,1,18,9,0,1,0,0,0,0,0,0,0,1,0,0,0,10,4,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,3,5,0,0,0,18,0,1,2,1,0,31,0,2,1
2024-06-10T17,174,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,5,2,0,0,15,0,0,31,0,0,0,1,2,0,10,8,0,1,1,0,0,1,0,0,0,1,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,2,0,3,0,0,12,6,0,0,0,11,0,1,1,1,0,24,0,3,0
2024-06-10T18,233,3,0,0,0,1,1,2,0,0,3,1,0,2,0,1,0,8,0,0,0,25,0,0,35,0,0,0,0,3,0,17,16,0,0,4,0,0,0,2,1,0,1,0,0,0,9,10,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,1,0,0,2,0,1,0,0,0,3,0,2,0,0,4,10,0,0,0,11,0,2,1,1,0,31,0,1,0
2024-06-10T19,169,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,3,0,0,0,19,0,0,29,0,0,0,0,2,0,8,12,0,0,1,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,1,1,0,1,0,2,0,1,0,3,0,2,0,0,5,6,0,0,0,9,0,3,0,1,0,26,0,0,0
2024-06-10T20,174,1,0,0,0,2,0,1,0,0,1,1,0,1,0,0,0,5,2,0,0,17,0,0,22,0,0,0,0,3,0,7,13,0,0,2,0,0,0,0,1,0,1,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,0,0,0,1,0,1,0,1,0,2,0,1,0,0,2,7,0,0,0,8,0,3,0,1,0,28,0,0,0
2024-06-10T21,154,0,0,0,0,2,0,1,0,0,4,1,0,0,0,0,0,2,2,0,0,16,0,0,18,0,0,0,0,2,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,1,0,0,0,1,0,0,3,7,0,0,0,6,0,2,0,2,0,34,0,0,1
2024-06-10T22,121,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,4,2,0,0,10,0,0,12,0,0,0,0,2,0,5,9,0,0,2,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,7,0,0,0,5,0,2,0,2,0,32,0,0,0
2024-06-10T23,96,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,9,0,0,6,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,5,0,0,0,4,0,1,1,1,0,35,0,0,0
2024-06-11T00,101,1,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,5,0,1,1,9,0,0,11,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,2,0,0,0,4,0,0,0,2,0,1,1,0,0,38,0,0,0
2024-06-11T01,154,1,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,3,0,2,0,11,0,0,5,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,0,0,101,0,0,0
2024-06-11T02,201,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,9,0,0,5,0,0,0,0,0,0,1,5,0,0,1,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,1,0,0,0,0,0,148,0,1,1
2024-06-11T03,100,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,3,0,0,0,8,0,0,4,0,0,0,0,0,0,0,8,0,0,1,0,0,0,3,0,0,2,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,40,0,1,0
2024-06-11T04,100,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,9,0,0,0,7,0,0,6,0,0,0,0,0,0,5,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,40,0,1,1
2024-06-11T05,149,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,7,0,0,0,7,0,0,10,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,101,0,0,1
2024-06-11T06,94,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,8,0,0,7,0,0,0,0,0,0,2,3,0,0,2,0,0,0,1,6,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,5,0,0,0,4,0,0,0,0,0,34,0,0,0
2024-06-11T07,73,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,8,0,0,7,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,29,0,0,0
2024-06-11T08,117,1,0,0,0,0,0,2,0,1,0,0,0,6,1,0,0,2,0,0,0,9,0,0,11,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,0,0,5,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,2,0,0,0,1,0,2,0,3,1,0,2,6,0,0,0,0,0,0,1,0,0,38,0,0,0
2024-06-11T09,151,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,1,1,0,0,8,0,0,6,0,0,0,0,3,0,3,3,0,0,2,0,0,0,0,1,0,1,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,0,3,0,0,88,0,0,0
2024-06-11T10,146,3,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,1,2,0,0,4,0,0,7,0,0,0,0,1,0,1,4,0,0,1,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,2,0,2,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,84,0,1,0
2024-06-11T11,87,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,9,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,3,0,0,23,0,1,0
2024-06-11T12,118,1,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,2,1,0,0,10,0,0,11,0,0,0,0,1,0,3,3,0,0,1,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,0,1,0,0,0,1,0,0,1,0,1,10,0,0,0,9,0,0,2,0,0,35,0,1,0
2024-06-11T13,183,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,11,0,0,12,0,0,0,0,2,0,8,6,0,0,2,0,0,0,0,9,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,11,0,0,0,12,0,1,1,0,0,84,0,0,0
2024-06-11T14,195,2,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,1,0,0,0,11,0,0,14,0,0,0,0,2,0,9,7,0,0,1,0,0,2,0,24,0,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,0,0,0,25,0,1,3,0,0,65,0,0,0
2024-06-11T15,204,0,1,0,0,0,0,3,0,0,1,0,0,2,0,0,0,1,0,0,0,14,0,0,14,0,0,2,0,4,0,11,6,0,0,1,0,1,2,0,12,0,1,0,0,0,8,10,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,8,2,1,0,2,0,0,0,0,0,2,0,1,0,0,2,6,0,0,0,27,0,0,4,0,0,49,0,0,3
