bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LB,LK,LT,LU,LV,LY,MA,MD,ME,MK,MM,MN,MO,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SK,TG,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-04-29T16,177,4,0,0,1,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,15,1,0,0,0,17,0,0,0,0,0,3,0,0,16,13,0,4,0,0,1,0,0,0,1,0,0,0,25,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,1,0,0,0,1,1,4,1,0,3,6,0,0,10,0,2,1,0,0,25,0,0,0,0,0
2024-04-29T17,193,3,0,0,0,1,0,0,0,0,2,0,0,2,0,3,5,0,0,0,13,1,0,0,0,38,0,0,0,0,1,3,0,0,8,11,0,3,0,0,2,0,0,0,0,0,0,0,11,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,1,0,0,2,0,3,0,0,9,6,0,0,17,0,2,0,0,0,31,0,0,0,0,0
2024-04-29T18,234,2,0,2,0,1,0,0,0,1,2,0,0,4,0,6,1,0,1,0,14,1,0,0,0,45,0,0,0,0,0,2,0,0,9,11,0,2,0,0,1,0,0,0,1,0,1,1,14,5,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,2,0,0,1,0,4,0,0,7,9,0,1,15,0,2,0,0,1,39,0,0,0,0,0
2024-04-29T19,210,1,0,2,0,1,0,0,0,0,3,0,0,2,0,7,0,0,1,0,12,0,0,0,0,28,0,0,0,0,0,3,0,0,11,14,0,4,0,0,1,0,0,0,0,0,1,0,20,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,2,0,0,0,0,3,0,0,0,3,0,0,0,0,4,8,0,0,8,0,0,0,0,1,42,0,0,0,0,0
2024-04-29T20,161,1,0,0,1,1,0,0,0,0,1,0,0,1,0,5,2,0,0,0,12,0,0,0,0,29,0,0,0,0,0,1,0,0,7,9,0,1,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,0,0,0,3,0,0,0,1,0,1,0,0,2,5,0,0,8,0,1,0,0,1,32,0,0,0,0,0
2024-04-29T21,154,2,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,11,0,0,0,0,19,0,0,0,0,0,2,0,0,12,7,0,2,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,0,1,0,3,0,0,0,1,0,1,0,0,2,5,0,0,3,0,1,0,0,0,36,0,0,0,0,0
2024-04-29T22,128,1,0,5,1,3,0,0,0,0,2,0,0,1,0,9,1,0,1,0,7,0,0,0,0,8,0,0,0,0,1,1,0,0,5,8,0,0,0,0,0,0,0,0,1,0,0,0,12,6,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,2,1,0,0,0,0,2,0,0,3,7,0,0,2,0,0,0,0,0,29,0,0,0,0,0
2024-04-29T23,98,1,0,2,0,1,0,0,0,0,2,0,0,2,0,12,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,2,0,0,0,0,0,40,0,0,0,0,0
2024-04-30T00,89,3,0,2,0,2,0,0,0,0,3,0,0,0,0,7,1,0,2,0,4,0,0,0,0,7,0,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2,0,0,2,6,0,0,1,0,0,0,0,0,33,0,0,0,0,0
2024-04-30T01,100,4,0,2,0,2,0,0,0,0,1,0,0,1,0,6,1,0,2,0,7,1,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,2,0,0,0,0,2,44,0,0,0,0,0
