bucket,total,--,AE,AF,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MK,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SE,SG,SY,SZ,TG,TH,TN,TR,TW,TZ,UA,US,UY,VE,VN,ZA,ZM,ZW
2024-04-22T08,96,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,9,0,0,6,0,0,0,0,0,0,1,0,3,3,0,0,0,1,0,0,1,0,0,2,0,0,0,2,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,8,0,1,0,3,0,0,2,0,0,29,0,0,0,0,0,0
2024-04-22T09,116,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,5,0,0,0,0,12,0,0,9,0,0,0,0,0,0,2,0,7,4,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,9,0,1,0,1,0,0,1,0,0,29,0,0,1,0,0,0
2024-04-22T10,92,1,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,14,0,0,10,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,1,5,0,1,0,6,0,0,1,0,0,22,0,0,0,0,0,0
2024-04-22T11,90,1,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,2,0,0,0,0,5,0,0,9,0,0,0,0,0,0,2,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,1,1,0,2,5,0,1,0,7,0,0,8,0,0,21,0,0,0,0,0,0
2024-04-22T12,143,2,0,0,0,2,0,2,0,0,0,1,2,0,0,0,0,2,0,0,0,0,9,0,0,13,0,0,0,0,0,0,2,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,3,0,0,0,1,0,2,0,0,2,7,0,1,0,9,0,1,5,1,0,35,0,0,0,0,0,0
2024-04-22T13,155,3,0,0,0,1,0,2,0,0,0,2,1,0,0,0,0,1,2,0,0,0,17,0,0,11,0,0,0,0,0,0,2,0,4,9,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,16,0,1,0,14,0,0,2,1,0,34,0,0,0,0,0,0
2024-04-22T14,138,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,10,0,0,10,0,0,0,0,0,0,1,0,11,7,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,8,0,0,0,0,0,3,0,3,0,0,1,14,0,1,0,17,0,1,5,0,0,22,0,0,0,1,0,0
2024-04-22T15,150,0,0,0,0,0,3,2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,9,0,0,19,0,0,0,0,0,0,1,0,18,6,0,0,0,4,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,2,0,0,0,1,0,3,0,0,1,8,0,1,0,14,0,1,2,0,0,33,0,0,0,0,0,0
2024-04-22T16,153,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,12,0,0,31,0,0,0,0,0,0,3,0,11,8,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,1,2,0,0,0,3,6,0,1,0,18,0,2,2,0,0,26,0,0,0,0,0,0
2024-04-22T17,177,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,4,1,0,0,0,4,0,0,35,4,0,0,0,0,0,4,0,10,9,0,0,0,4,0,1,0,0,0,0,0,0,2,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,1,0,0,0,4,2,3,0,0,12,6,0,1,0,12,0,1,2,0,0,26,0,0,0,0,0,0
