bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BD,BE,BG,BI,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NC,NG,NI,NL,NO,NP,NZ,PE,PH,PK,PL,PM,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA
2024-02-26T10,101,4,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,7,0,0,0,11,0,0,0,0,0,0,1,0,3,11,0,1,0,0,1,0,0,1,0,0,4,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,8,0,0,0,6,0,1,0,1,0,0,14,0,0,0,0,0
2024-02-26T11,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,11,0,0,0,8,0,0,0,0,0,0,2,0,4,8,0,2,0,1,1,0,0,0,0,0,3,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,4,0,2,0,0,1,7,0,0,0,3,0,2,0,3,0,0,18,0,0,0,0,0
2024-02-26T12,118,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,15,1,0,0,0,0,0,1,0,5,2,0,2,0,0,0,0,0,1,0,1,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,7,0,0,0,14,0,0,0,2,0,0,22,0,0,0,1,0
2024-02-26T13,119,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,14,0,0,0,12,0,0,0,0,0,0,0,0,5,5,0,3,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,0,8,0,0,0,14,0,0,0,4,0,0,27,0,0,0,0,1
2024-02-26T14,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,12,0,0,0,0,0,0,0,0,8,7,0,4,0,1,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,6,0,0,0,19,0,0,0,3,0,0,25,0,0,0,0,0
2024-02-26T15,128,2,0,0,0,1,0,0,0,0,1,0,0,0,2,0,4,1,0,11,0,0,0,13,0,0,0,0,0,0,0,0,6,10,0,1,1,0,1,1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,0,1,0,1,0,3,0,0,1,5,0,0,0,7,0,1,0,5,0,1,24,0,0,0,0,0
2024-02-26T16,149,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,6,0,0,0,23,0,0,0,0,0,0,5,0,15,7,0,1,1,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,1,0,0,0,0,0,2,0,5,0,1,4,5,0,0,0,15,0,0,0,3,0,0,30,0,0,0,0,0
2024-02-26T17,197,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,1,0,6,0,0,0,31,1,0,0,0,0,0,5,0,20,11,0,2,0,0,0,0,0,0,0,0,22,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,2,0,6,0,1,6,6,0,0,0,10,0,2,0,3,0,0,34,0,0,0,0,0
2024-02-26T18,173,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,9,0,0,0,40,0,0,0,0,0,0,5,0,12,7,0,0,1,0,0,1,0,1,0,0,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,1,0,2,0,3,0,0,15,5,0,0,0,5,0,1,0,0,0,0,31,0,0,0,0,0
2024-02-26T19,207,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,4,2,0,10,0,0,0,44,0,0,0,0,0,0,2,0,15,19,0,0,0,0,0,1,0,1,0,0,15,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,2,0,0,0,1,0,2,0,3,0,1,0,1,0,0,8,6,0,0,0,3,0,1,0,0,0,0,29,0,0,0,2,0
