bucket,total,--,AD,AE,AO,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BW,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GM,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MW,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SE,SG,SK,SN,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM
2024-03-11T15,212,2,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,3,1,1,1,20,0,0,0,20,0,0,0,0,0,0,0,0,0,3,9,0,0,3,0,0,1,1,4,0,2,0,0,0,8,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,2,0,0,3,0,0,1,7,0,0,0,10,0,1,7,0,0,70,0,0,0,0,0,0
2024-03-11T16,176,3,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,2,2,0,0,8,0,0,0,27,1,0,0,0,0,0,3,0,0,11,8,0,0,1,0,0,0,1,0,0,4,0,1,1,15,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1,0,0,4,1,0,0,2,0,2,5,0,0,0,12,0,2,2,0,0,33,0,0,0,0,0,0
2024-03-11T17,175,3,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,2,1,0,0,3,0,0,0,29,0,0,0,0,0,0,1,0,0,9,6,0,0,1,0,0,1,0,0,0,2,0,0,1,18,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,2,0,4,22,0,0,0,14,0,0,2,0,0,33,0,0,0,0,0,0
2024-03-11T18,213,2,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,6,1,0,0,6,0,0,0,47,0,0,0,0,0,0,4,0,0,9,11,0,0,1,0,0,1,0,0,0,0,0,0,0,11,12,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,4,0,0,2,1,0,11,7,0,0,0,10,0,1,1,0,0,44,0,0,0,0,0,0
2024-03-11T19,247,3,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,3,2,0,0,3,0,1,0,43,0,0,0,0,1,0,5,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,3,0,0,0,0,0,0,4,1,0,2,2,0,9,12,1,0,0,5,0,1,2,0,0,62,0,0,0,1,0,0
2024-03-11T20,185,1,0,0,0,0,1,1,0,0,3,0,0,1,0,0,0,5,2,0,0,3,0,0,0,37,0,0,0,0,0,0,2,0,0,15,15,0,0,1,0,0,1,0,0,1,0,0,0,1,17,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,0,2,0,0,0,1,3,1,0,2,1,0,5,5,0,0,0,1,0,2,1,0,0,34,0,0,0,0,0,0
2024-03-11T21,182,1,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,5,2,0,0,4,0,0,0,21,0,0,0,0,0,0,2,0,0,6,14,0,1,3,0,0,1,0,0,0,0,0,0,2,29,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,2,0,0,0,0,1,1,0,0,0,0,5,6,0,0,0,0,0,1,0,0,0,50,0,0,0,1,1,0
2024-03-11T22,183,3,0,0,0,4,0,1,0,0,0,1,0,1,1,0,0,11,2,0,0,17,0,0,0,17,0,0,0,0,0,0,3,0,0,8,13,0,0,1,1,1,0,0,9,0,2,0,0,1,21,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,2,0,0,0,1,0,3,6,0,0,0,1,0,0,0,0,0,43,0,0,0,0,0,0
2024-03-11T23,178,5,0,0,0,2,1,4,1,0,0,0,0,0,1,0,0,7,1,0,0,22,0,0,0,26,0,0,0,0,0,0,0,0,0,2,9,0,0,1,1,0,0,0,0,0,2,0,0,0,10,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,3,0,0,0,0,0,62,0,0,0,1,0,0
2024-03-12T00,156,4,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0,3,1,0,0,24,0,0,0,9,0,0,0,0,0,0,0,0,0,5,8,0,0,3,1,0,0,0,0,0,3,0,0,0,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,59,0,0,0,1,0,0
