bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CZ,DE,DK,EE,ES,FI,FR,GB,GF,GR,HK,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,LA,LK,LT,LU,LV,MD,ME,MM,MN,MO,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,US,UZ,VE,VN,ZA
2024-05-06T19,230,1,0,4,0,3,0,0,0,3,1,0,0,0,5,2,0,1,0,15,1,0,31,0,0,5,1,11,10,0,0,2,1,0,0,0,8,0,0,12,7,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,3,0,2,0,3,0,3,0,2,11,0,6,0,2,1,2,56,0,0,0,0
2024-05-06T20,172,1,0,0,0,1,0,0,0,2,1,0,0,0,3,1,0,0,0,17,0,0,23,0,0,2,1,15,8,0,0,0,0,0,0,0,1,0,0,21,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,8,0,10,0,1,0,0,30,0,0,0,0
2024-05-06T21,189,1,0,0,0,2,0,0,0,2,0,0,2,0,3,0,0,0,0,18,0,0,17,0,0,2,0,11,11,0,0,1,0,0,0,0,0,0,0,24,12,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,1,1,0,1,2,0,2,0,1,0,3,0,0,8,0,7,0,1,0,0,49,0,0,0,0
2024-05-06T22,174,1,0,2,0,2,0,0,0,1,1,0,1,0,8,1,0,1,0,14,0,0,13,0,0,1,0,5,13,0,0,0,0,0,0,0,1,0,0,13,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,1,0,0,1,0,0,0,3,0,1,0,0,14,0,4,0,1,2,0,51,0,0,1,0
2024-05-06T23,134,2,0,1,0,2,0,0,0,0,0,0,0,0,6,1,0,0,0,6,0,0,8,0,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,2,0,67,0,0,1,0
2024-05-07T00,97,1,0,1,0,1,0,0,0,0,1,0,3,0,6,0,0,0,0,3,0,0,9,0,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,1,0,1,1,0,39,0,0,0,0
2024-05-07T01,83,1,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,3,0,0,8,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,6,0,1,0,1,0,1,38,0,0,0,0
2024-05-07T02,76,1,0,0,0,1,0,0,1,0,3,0,0,0,5,0,0,0,0,6,0,0,6,0,0,0,0,1,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,0,0,0,0,28,0,0,1,0
2024-05-07T03,76,1,0,0,0,2,0,0,1,0,1,0,0,0,10,0,0,0,0,7,0,0,4,0,0,1,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,30,0,0,0,0
2024-05-07T04,90,1,0,0,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,17,0,0,5,0,0,0,0,3,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,1,0,29,0,0,2,0
