bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JM,JO,JP,KE,KH,KR,KZ,LA,LT,LV,MA,MC,MD,MM,MN,MO,MX,MY,NC,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2024-01-29T16,135,1,0,0,0,0,3,1,0,0,0,0,0,1,0,2,0,6,2,0,4,0,0,0,20,1,0,0,0,0,2,0,0,8,6,0,0,0,0,1,0,0,1,0,0,1,0,0,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0,2,0,0,0,0,3,2,0,0,0,5,5,0,0,4,0,0,0,1,0,0,32,0,0,0,0,1
2024-01-29T17,152,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,4,0,0,0,34,0,0,0,0,0,3,0,0,14,7,0,0,0,0,1,0,1,2,0,0,0,0,0,0,19,0,0,3,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,4,3,0,0,0,4,6,0,0,9,0,2,0,1,0,0,17,0,0,0,0,0
2024-01-29T18,206,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,3,0,0,0,46,3,0,0,0,0,6,0,0,11,20,0,0,0,0,2,0,0,1,0,0,2,0,1,0,22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,5,0,0,0,1,4,3,1,1,0,8,6,0,0,4,0,2,0,1,0,0,29,0,0,0,2,0
2024-01-29T19,211,2,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,5,0,0,7,0,0,0,54,0,0,1,0,0,5,0,0,8,13,0,0,0,0,1,0,0,0,1,0,1,0,1,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,5,0,0,2,1,4,1,2,0,0,6,5,0,0,3,0,1,0,1,0,0,37,0,0,0,1,0
2024-01-29T20,173,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,5,2,0,6,0,0,1,30,1,0,0,0,0,5,0,0,9,17,0,0,0,0,1,0,0,1,0,0,1,0,0,0,14,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,1,0,1,0,1,0,2,0,0,0,1,3,2,0,0,0,3,6,0,0,5,0,0,0,1,0,0,31,0,0,0,1,0
2024-01-29T21,156,1,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,6,2,0,6,0,0,0,25,1,0,0,0,0,2,0,0,8,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,14,3,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,2,7,0,0,0,0,2,0,1,0,0,23,0,0,0,2,0
2024-01-29T22,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,0,3,0,0,0,13,0,0,0,0,0,0,0,0,4,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,5,0,0,2,0,1,0,1,0,0,30,0,0,0,1,0
2024-01-29T23,87,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,1,1,5,0,0,0,11,0,0,0,0,0,1,0,0,1,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,28,0,0,0,1,0
2024-01-30T00,92,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,1,3,0,0,0,5,0,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,1,0,0,0,1,0,0,38,0,0,0,2,0
2024-01-30T01,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,1,0,0,0,1,0,0,51,0,0,0,1,0
