bucket,total,--,AE,AM,AR,AT,AU,BA,BD,BE,BG,BO,BR,BT,BY,BZ,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MT,MU,MX,MY,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SK,SN,SZ,TH,TL,TR,TW,UA,UG,US,VE,VN,ZA,ZW
2024-04-15T11,145,0,0,0,0,0,1,0,1,0,2,1,2,0,0,0,1,2,0,0,0,12,0,0,1,0,8,0,0,0,0,0,0,6,6,0,0,0,1,0,0,1,0,15,0,5,0,2,4,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,2,0,4,0,0,9,0,0,1,3,0,1,6,0,0,23,0,1,0,0
2024-04-15T12,174,1,0,0,0,1,1,0,1,0,1,1,3,0,0,0,2,1,0,0,0,10,0,0,0,0,14,0,0,0,0,1,0,6,10,0,0,0,1,0,0,1,0,0,0,4,0,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,0,2,0,0,0,0,3,1,0,9,0,0,1,6,0,0,6,0,0,60,0,2,0,0
2024-04-15T13,155,2,0,0,1,0,1,0,2,2,1,0,1,0,0,0,0,1,0,0,0,8,0,0,0,0,12,0,0,0,0,0,0,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,1,0,3,0,0,6,0,0,1,6,0,1,3,0,0,70,0,1,0,0
2024-04-15T14,171,0,0,0,0,1,1,0,2,0,1,0,2,0,0,0,4,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,6,8,1,1,1,1,0,0,1,1,0,0,1,0,2,9,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,1,0,5,1,3,10,0,0,1,9,0,1,2,1,0,58,0,1,0,0
2024-04-15T15,130,0,1,0,1,1,1,0,2,0,1,0,1,0,0,0,5,1,0,0,0,9,0,0,0,0,21,0,0,0,0,1,0,12,10,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,1,0,1,0,2,1,2,5,0,1,1,13,0,0,0,0,0,15,0,0,0,0
2024-04-15T16,156,3,0,0,0,0,1,0,2,0,1,0,3,0,0,0,2,0,0,0,0,7,0,0,0,0,28,0,0,0,0,1,0,13,10,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,1,0,1,0,2,0,3,6,0,0,1,19,0,1,3,3,0,16,0,1,0,0
2024-04-15T17,164,2,0,0,0,0,1,1,2,2,1,0,1,0,0,0,9,0,0,0,0,5,0,0,0,0,36,2,0,0,0,2,0,9,11,0,0,0,0,0,0,1,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,2,0,2,0,5,0,6,7,0,0,1,11,0,0,1,2,0,21,0,1,0,0
2024-04-15T18,179,1,0,0,0,1,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,43,0,0,0,0,4,1,14,12,0,0,0,0,0,0,1,1,0,0,1,0,0,12,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18,1,0,0,1,0,1,1,0,2,0,5,0,2,5,0,0,1,10,0,2,1,0,0,24,0,0,0,0
2024-04-15T19,187,1,1,0,1,0,1,1,1,2,1,0,0,0,0,0,4,1,0,0,0,6,0,0,0,0,34,0,0,0,0,5,0,13,8,0,0,0,1,0,0,1,0,0,0,1,0,0,19,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,21,2,0,0,0,0,1,1,0,1,0,5,0,2,5,0,0,1,11,0,0,0,0,0,27,1,1,0,0
2024-04-15T20,187,0,1,0,1,0,1,1,1,2,1,1,0,0,0,0,6,2,0,0,0,8,1,0,0,0,28,0,0,0,0,1,0,9,12,0,0,0,1,0,0,0,0,10,0,2,0,0,22,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,1,1,0,2,0,2,0,1,8,0,0,1,6,0,1,0,0,0,26,0,2,0,0
2024-04-15T21,165,0,0,0,2,0,1,1,1,2,0,0,2,0,0,0,7,1,0,0,1,6,0,0,0,0,17,0,0,0,0,3,0,4,11,1,0,0,0,0,0,0,1,3,0,3,0,0,19,6,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,1,0,1,1,1,1,0,0,0,2,0,0,12,0,0,1,10,0,0,0,0,0,30,0,2,0,0
2024-04-15T22,136,1,0,0,0,1,1,0,1,0,1,0,2,0,0,0,4,1,0,0,0,6,0,0,0,0,13,0,0,0,0,1,0,7,8,0,0,0,1,0,0,0,2,0,0,7,0,0,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,1,0,0,1,0,0,0,0,0,1,0,0,8,0,0,1,4,0,0,0,0,0,28,0,1,0,0
2024-04-15T23,103,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,6,0,0,0,0,6,0,0,0,0,7,0,0,0,0,1,0,2,7,0,0,0,1,0,0,0,1,0,0,3,0,0,8,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,1,5,0,0,0,0,0,26,0,0,0,0
2024-04-16T00,81,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,9,0,0,0,0,3,0,0,0,0,7,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0,1,0,0,38,0,0,0,0
2024-04-16T01,80,2,0,0,0,0,1,0,1,0,1,0,1,0,0,0,7,1,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,40,0,0,0,0
2024-04-16T02,78,1,0,0,2,0,1,0,1,0,1,0,1,0,0,0,9,2,0,0,0,5,1,0,0,0,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,6,0,0,1,1,0,0,0,0,0,34,0,0,0,0
2024-04-16T03,79,0,0,0,0,0,3,0,1,0,1,0,2,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,0,0,0,42,0,0,0,0
2024-04-16T04,101,1,1,0,0,1,2,0,1,0,1,0,1,0,0,0,7,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,4,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,1,0,1,5,0,0,1,2,0,0,1,0,0,32,0,0,0,0
