bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CW,CZ,DE,DK,DO,EC,EE,EG,ES,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LB,LT,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,RE,RO,RS,RU,RW,SC,SE,SG,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-07-31T09,111,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,5,3,0,0,0,0,9,0,0,0,0,1,1,8,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,2,1,0,0,0,2,0,0,2,6,0,0,0,0,0,0,50,0,0,0,0,0,0
2023-07-31T10,106,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,1,4,1,0,0,0,0,5,0,0,0,0,2,0,4,0,3,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,5,0,1,0,0,0,0,33,0,0,0,0,0,0
2023-07-31T11,147,3,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,13,0,0,0,0,0,8,0,0,0,0,0,0,0,6,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,44,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,1,0,1,4,0,31,0,0,0,0,0,0
2023-07-31T12,164,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,15,0,0,0,0,0,29,0,1,0,0,0,0,0,9,9,0,0,0,0,1,0,0,0,0,8,0,1,0,2,16,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,5,0,6,0,1,4,0,39,0,0,0,0,0,0
2023-07-31T13,166,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,0,0,7,1,0,0,0,0,0,0,3,16,0,0,0,0,7,0,0,0,0,4,0,0,0,2,18,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,2,0,5,0,0,0,11,0,5,0,1,5,2,49,0,0,0,0,0,0
2023-07-31T14,166,2,0,0,1,0,0,0,0,0,0,0,8,0,1,0,0,2,1,0,21,1,0,0,0,0,14,1,0,0,0,0,1,1,3,11,0,0,0,0,9,0,0,0,0,7,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,4,0,1,0,0,2,0,3,0,0,1,5,1,10,0,0,3,1,37,0,0,0,0,0,0
2023-07-31T15,199,1,0,0,1,0,0,0,0,0,0,0,10,0,2,0,4,2,1,0,13,0,0,0,0,0,21,0,0,0,0,0,1,0,8,15,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,2,7,0,14,0,0,1,1,75,0,0,0,0,0,0
2023-07-31T16,173,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,3,0,9,8,0,0,0,0,2,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,3,0,0,1,0,4,0,0,1,7,0,19,0,0,2,0,58,0,0,0,0,0,0
2023-07-31T17,137,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,34,0,0,0,0,0,3,1,6,13,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,2,0,0,1,0,2,0,0,2,7,0,11,0,1,0,0,26,0,0,0,0,0,0
2023-07-31T18,226,3,0,0,1,0,0,0,0,0,3,0,0,0,1,0,5,2,0,0,1,0,0,0,0,0,46,0,0,0,0,0,1,0,8,8,0,0,0,0,0,0,0,0,0,7,0,1,0,2,26,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,1,0,3,1,0,1,6,0,12,0,1,0,1,59,0,0,0,0,0,0
2023-07-31T19,228,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,1,0,0,0,0,1,48,0,0,0,0,0,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,1,0,0,0,0,2,1,0,0,0,1,0,0,2,7,0,4,0,0,0,0,98,0,0,0,0,0,0
2023-07-31T20,138,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,10,12,0,0,0,0,2,0,0,0,0,8,0,2,0,19,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,14,0,0,0,0,0,0,0,2,1,0,1,0,3,1,1,1,6,0,1,0,1,0,0,13,0,0,0,0,0,0
2023-07-31T21,174,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,0,4,0,0,0,0,0,11,0,0,0,0,0,4,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,2,0,2,0,3,66,0,0,0,0,0,0
2023-07-31T22,108,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,7,6,0,0,0,0,0,0,0,0,0,4,0,0,0,11,12,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,9,0,1,0,1,0,2,26,0,0,0,0,0,0
2023-07-31T23,128,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,5,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,5,0,6,16,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,1,1,58,0,0,0,0,0,0
2023-08-01T00,129,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,2,0,0,0,0,0,24,0,0,0,0,0,2,0,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,6,0,1,0,0,0,0,59,0,0,0,0,0,0
