bucket,total,--,AE,AM,AO,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,ES,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KG,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,ME,MK,MM,MN,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA
2023-12-18T20,164,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,6,1,0,0,0,8,0,0,0,0,39,0,0,0,0,0,2,0,12,23,0,0,0,0,2,0,0,0,0,0,1,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,4,0,0,0,2,0,1,0,3,5,0,1,0,3,0,0,0,14,0,0,0,0,0
2023-12-18T21,159,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,9,2,0,0,0,7,0,0,0,0,25,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,1,0,20,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,10,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,8,0,1,0,3,0,0,0,33,0,0,0,0,1
2023-12-18T22,140,0,0,0,0,3,0,1,0,0,0,0,2,1,0,0,0,0,10,1,0,0,0,7,0,0,0,0,15,0,1,0,0,0,0,0,8,13,0,0,0,0,1,0,0,0,0,0,0,0,0,22,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,4,0,2,8,0,0,0,3,0,0,0,26,0,0,0,0,0
2023-12-18T23,96,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,12,0,1,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,1,0,2,0,0,0,25,0,0,0,0,0
2023-12-19T00,99,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,1,0,3,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,42,0,0,0,0,0
2023-12-19T01,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,4,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0,0,31,0,0,0,2,1
2023-12-19T02,87,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,1,0,2,0,5,0,0,0,0,3,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,34,0,0,0,0,0
2023-12-19T03,86,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,12,0,0,1,0,7,0,0,0,0,5,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,3,5,0,0,0,0,0,0,0,34,0,0,0,1,0
2023-12-19T04,95,1,0,0,0,0,1,3,0,0,0,1,0,1,0,0,1,0,13,0,0,0,0,8,1,0,0,0,4,0,0,0,0,0,1,1,2,4,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,0,29,0,0,0,0,0
2023-12-19T05,103,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,8,1,0,0,0,6,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,6,0,1,0,0,1,0,0,34,0,0,0,3,0
