bucket,total,--,AE,AL,AM,AO,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MD,MG,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,TH,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,YE,ZA,ZM,ZW
2023-07-10T08,75,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,20,0,0,0,0,4,0,0,0,0,0,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,7,0,0,0,1,0,0,1,0,13,0,0,0,0,0,0,0,0
2023-07-10T09,76,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,19,1,0,0,0,6,0,0,0,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0,0,3,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,7,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,0
2023-07-10T10,77,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,17,0,0,0,0,7,0,0,0,0,0,1,0,0,2,4,0,0,0,1,0,0,0,0,0,2,0,0,4,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,0,0,1,0,0,0,3,0,12,0,0,0,0,0,0,0,0
2023-07-10T11,92,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,19,0,0,0,0,4,0,0,0,0,0,1,0,0,1,5,0,0,0,10,0,0,0,0,0,0,0,0,3,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,7,2,4,0,0,0,12,0,0,0,0,0,0,0,0
2023-07-10T12,101,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,15,0,0,0,0,8,0,1,0,0,0,1,0,0,2,4,0,0,0,7,1,0,0,0,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,1,0,0,1,0,0,1,0,2,0,0,0,5,0,0,15,1,4,0,0,0,16,0,0,0,0,0,0,0,0
2023-07-10T13,120,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,18,0,0,0,1,9,0,0,0,0,0,2,0,1,1,10,0,0,1,14,0,0,0,0,0,2,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,6,0,0,13,0,6,0,3,0,10,0,0,0,0,0,0,0,0
2023-07-10T14,125,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,16,0,0,0,0,13,0,0,0,0,0,2,0,0,3,7,0,0,0,14,0,0,0,0,0,1,0,0,4,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,2,2,0,0,0,0,1,0,0,0,5,0,0,17,2,6,0,0,0,13,0,0,0,0,0,0,0,0
2023-07-10T15,110,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,13,1,0,0,0,9,0,0,0,0,0,5,0,1,3,8,0,0,0,9,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,5,0,0,17,0,5,0,1,0,11,0,0,0,0,0,0,0,0
2023-07-10T16,128,2,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,1,0,0,0,3,0,0,0,0,23,0,0,0,0,0,4,0,0,4,9,0,0,0,4,0,0,1,0,0,0,0,0,13,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,2,6,0,0,11,0,0,0,1,0,20,0,0,0,0,0,0,0,0
2023-07-10T17,130,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,1,0,0,0,1,1,0,0,0,33,0,0,0,0,0,5,0,1,3,9,0,0,0,1,0,2,0,1,0,0,0,0,10,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,2,6,0,0,6,0,0,0,1,0,18,0,0,1,0,0,0,0,0
2023-07-10T18,153,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,5,0,0,0,0,2,0,0,0,0,30,0,0,0,0,0,3,0,0,6,17,0,0,0,1,0,2,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,1,6,0,0,4,0,0,0,1,0,29,0,0,0,0,0,0,0,0
2023-07-10T19,165,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,6,4,0,0,0,4,1,0,0,1,33,0,0,0,0,0,1,0,1,17,21,0,0,0,1,0,1,0,0,0,0,0,0,7,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,5,0,0,6,3,1,0,3,0,21,0,0,0,0,0,0,0,0
2023-07-10T20,140,3,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,1,0,0,0,20,0,0,0,0,0,2,0,0,10,19,0,0,0,0,0,1,0,0,1,0,0,0,15,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,3,0,0,0,1,0,1,1,0,1,5,0,0,6,1,1,0,0,0,23,0,0,0,0,0,0,0,0
2023-07-10T21,133,2,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,3,2,0,0,0,5,1,0,0,0,16,0,1,0,0,0,3,0,0,11,16,0,0,0,0,0,0,0,0,1,0,0,0,14,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,6,0,0,4,0,0,0,2,0,22,0,0,0,0,0,0,0,0
2023-07-10T22,92,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,3,1,0,0,0,9,0,0,0,0,0,1,0,0,7,7,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1,0,1,6,0,0,5,0,1,0,1,0,18,1,0,0,0,0,0,0,0
