bucket,total,--,AE,AL,AM,AR,AT,AU,AW,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DM,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MD,MM,MO,MX,MY,MZ,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PT,PY,RO,RU,RW,SA,SC,SD,SE,SG,SK,SN,SS,SV,TH,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-02-12T14,147,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,9,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,1,0,0,11,8,0,0,0,2,0,0,0,1,0,0,4,0,0,0,9,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,6,7,0,0,0,0,4,2,0,9,0,0,22,0,0,0,0,1,0
2023-02-12T15,170,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,8,0,0,0,0,5,0,0,1,27,0,0,0,0,0,0,1,0,1,12,6,0,0,0,2,0,0,1,0,0,0,1,0,0,0,25,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,2,8,0,0,0,0,7,3,0,5,0,0,27,0,0,0,0,1,0
2023-02-12T16,197,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,7,2,0,0,0,10,0,0,0,33,0,0,0,0,0,0,2,0,0,13,11,0,0,0,2,0,0,1,0,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,1,0,2,0,2,0,1,3,0,0,0,0,3,7,0,0,0,0,12,2,0,2,0,0,33,0,0,0,0,3,0
2023-02-12T17,188,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,6,1,0,0,0,6,0,0,2,30,0,0,0,0,0,0,7,0,0,16,14,0,1,0,5,0,0,1,0,0,0,1,0,0,0,23,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,3,0,2,0,1,2,0,0,0,0,3,6,0,0,0,0,5,2,0,2,0,0,27,0,0,0,2,1,0
2023-02-12T18,214,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,5,0,0,0,0,3,0,0,1,50,0,0,0,0,0,0,9,0,0,17,20,0,0,0,1,0,0,1,0,0,0,3,0,0,0,26,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0,0,0,0,2,0,2,0,3,4,0,0,0,0,4,5,0,0,0,0,2,5,0,1,0,0,27,0,0,0,1,0,0
2023-02-12T19,198,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,7,0,0,1,42,0,0,0,0,0,0,5,0,0,9,19,0,0,0,2,0,0,1,0,1,0,1,0,0,0,23,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,1,0,0,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,3,6,0,0,0,0,2,2,0,0,0,0,35,0,0,0,1,0,0
2023-02-12T20,194,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2,0,0,0,7,0,0,0,41,0,0,0,0,0,0,5,0,0,14,14,0,0,0,1,0,0,1,0,0,0,1,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,1,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,2,5,0,0,0,0,1,1,0,0,0,0,35,0,0,0,1,0,0
2023-02-12T21,172,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,0,0,0,4,0,0,0,33,0,0,0,0,0,0,3,0,0,10,13,0,0,0,2,0,0,0,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,3,5,0,0,0,0,1,1,0,1,0,0,37,0,0,0,0,0,0
2023-02-12T22,165,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,1,0,0,0,32,0,0,0,14,0,0,0,0,0,0,2,0,0,4,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3,0,2,0,1,3,0,0,0,0,3,5,0,0,0,0,2,0,0,2,0,0,29,0,0,0,0,0,0
2023-02-12T23,111,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,8,0,0,1,11,0,0,0,0,0,0,2,0,1,6,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,6,1,0,0,0,1,0,0,0,0,0,26,0,0,0,0,0,1
