bucket,total,--,AE,AM,AR,AT,AU,BB,BD,BE,BG,BH,BO,BR,BS,BW,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KH,KR,KZ,LT,LU,LV,LY,MA,MK,MM,MN,MO,MT,MU,MW,MX,MY,MZ,NC,NG,NI,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,SV,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-03-27T08,141,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,7,1,0,0,0,11,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,0,1,1,0,2,0,1,0,5,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,9,1,0,0,2,0,0,0,0,0,0,69,0,0,1,0,0,0
2023-03-27T09,73,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,8,0,1,0,0,0,1,0,1,0,0,16,0,0,1,0,0,0
2023-03-27T10,95,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,16,1,0,0,0,11,0,0,0,0,0,0,1,0,0,3,8,0,0,0,0,1,0,0,0,0,1,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,2,6,0,0,0,2,0,0,0,2,0,0,18,0,0,0,0,0,0
2023-03-27T11,93,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,1,0,0,0,8,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,7,0,0,0,4,0,1,0,6,0,1,13,0,0,0,1,0,0
2023-03-27T12,94,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,13,1,0,0,1,15,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,4,0,0,0,6,0,0,18,0,0,0,0,0,0
2023-03-27T13,121,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,17,1,0,0,0,23,0,0,0,0,0,0,4,1,0,3,3,0,0,0,0,4,0,0,0,1,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,7,0,0,0,9,0,0,0,9,0,0,16,0,0,0,0,0,0
2023-03-27T14,139,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,22,0,0,0,1,22,0,0,0,0,0,0,4,1,0,5,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,1,0,0,3,0,1,0,0,0,0,2,0,0,0,1,6,0,0,0,18,0,0,0,7,0,0,14,0,0,0,1,0,0
2023-03-27T15,180,2,0,0,1,0,0,0,0,3,0,0,0,4,0,0,0,3,1,0,1,18,0,0,0,0,35,0,0,0,0,0,0,5,0,0,8,9,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,0,19,0,0,0,4,0,0,26,0,0,0,2,0,0
2023-03-27T16,172,3,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,9,0,0,0,0,37,1,0,0,0,0,0,8,0,0,4,12,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,14,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,1,0,0,1,0,1,0,0,0,0,2,0,0,0,2,7,0,0,0,15,0,0,0,4,0,0,25,0,0,0,1,0,0
2023-03-27T17,201,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,46,1,0,1,0,0,0,11,0,0,8,16,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,18,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,1,0,2,0,0,2,0,3,0,0,0,5,6,0,0,0,12,0,2,0,5,0,0,26,0,0,0,0,0,1
