bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GL,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KH,KR,KZ,LB,LK,LT,LU,LV,MA,MC,MK,MM,MN,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RO,RU,RW,SC,SE,SG,SK,SV,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-06-05T18,216,3,0,0,0,0,0,0,0,2,0,0,2,0,3,2,0,34,0,0,51,0,0,0,0,0,0,4,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,4,0,0,0,0,1,3,0,0,1,0,1,1,0,0,1,11,0,0,8,0,1,1,0,0,24,0,0,0,0,0,0,0
2023-06-05T19,218,3,0,0,0,0,0,0,0,2,0,0,0,0,9,1,1,25,0,0,31,0,0,0,0,0,0,8,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,5,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,13,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,5,0,0,8,0,2,2,0,0,40,0,0,0,0,0,0,0
2023-06-05T20,260,4,0,0,0,0,0,0,0,1,0,0,2,0,3,1,0,24,0,0,26,0,0,0,0,0,0,1,0,0,12,16,0,0,0,0,0,0,0,0,0,1,2,0,0,0,22,19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,11,0,0,7,0,1,0,0,0,79,0,0,0,0,0,0,0
2023-06-05T21,157,3,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,20,0,1,17,0,0,1,0,0,0,1,0,0,8,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,13,0,0,2,1,1,0,0,0,37,0,0,0,0,1,0,0
2023-06-05T22,154,2,0,0,0,0,0,0,0,2,0,0,3,0,7,0,1,10,0,1,12,0,0,0,0,0,0,2,0,0,6,14,0,0,0,0,1,0,0,0,0,1,5,0,0,0,10,10,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,8,0,0,1,1,1,0,0,1,39,0,0,0,0,0,0,0
2023-06-05T23,167,2,0,2,0,0,0,0,0,0,0,0,6,0,7,0,0,11,0,1,11,0,0,0,0,0,0,2,0,0,2,4,1,0,0,0,1,0,0,0,0,0,4,0,1,0,6,22,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,8,0,0,0,0,1,0,0,1,56,0,0,0,2,0,0,0
2023-06-06T00,164,5,0,1,0,0,0,0,0,0,0,0,1,0,10,0,0,9,0,0,8,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0,0,0,0,3,88,0,0,0,1,0,0,0
2023-06-06T01,90,4,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,1,0,0,0,0,1,35,0,0,0,2,0,0,0
2023-06-06T02,81,3,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,9,0,0,7,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0
2023-06-06T03,81,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,1,0,6,0,0,0,0,0,0,3,0,0,1,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,6,0,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0
