bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BN,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DM,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KH,KR,KY,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MX,MY,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SC,SE,SG,SK,SN,TG,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZW
2023-06-26T08,91,2,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,28,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,2,0,0,1,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,22,0,0,0,0,0,0
2023-06-26T09,101,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,15,0,0,0,0,0,0,0,0,2,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,2,0,1,0,16,0,0,0,0,1,0
2023-06-26T10,84,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,1,1,0,0,0,0,1,0,0,6,0,4,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,1,3,0,0,0,13,0,0,0,0,0,0
2023-06-26T11,75,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,6,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,1,9,0,1,0,11,0,0,0,0,0,0
2023-06-26T12,114,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,12,1,0,1,11,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,5,0,0,1,0,6,0,0,0,13,0,0,1,0,2,0,26,0,0,0,0,0,0
2023-06-26T13,107,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,10,0,0,0,0,2,0,0,0,0,6,3,0,0,0,0,1,0,0,2,0,1,0,0,0,5,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,2,6,0,0,0,15,0,2,6,0,1,0,15,0,0,0,0,0,0
2023-06-26T14,102,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,0,0,0,9,1,0,0,0,0,0,3,0,0,0,7,0,0,0,0,3,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,1,0,1,4,0,0,0,1,6,0,0,0,15,0,1,2,0,2,0,19,0,0,0,1,0,0
2023-06-26T15,127,3,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,11,0,0,0,18,0,0,0,0,0,0,1,0,2,5,7,0,0,0,0,1,0,1,0,0,0,0,0,0,11,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,2,3,0,0,0,2,5,0,0,0,13,0,1,4,0,2,0,17,0,0,0,0,0,0
2023-06-26T16,141,3,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,10,0,0,0,26,0,0,0,0,0,0,5,0,2,10,5,0,0,0,0,3,0,1,0,0,0,0,0,0,14,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,6,0,0,0,9,0,2,4,0,0,0,21,0,0,0,0,0,0
2023-06-26T17,148,2,1,1,0,1,1,0,0,0,0,0,0,1,0,5,1,0,0,6,0,0,0,32,0,0,0,0,0,0,6,0,0,6,9,0,0,0,0,2,0,1,0,0,0,0,0,0,14,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,1,2,0,0,1,3,7,0,0,0,6,0,1,1,0,1,1,14,0,0,0,0,1,0
