bucket,total,--,AD,AE,AM,AO,AR,AT,AU,BA,BB,BD,BE,BF,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,GT,GY,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JE,JP,KE,KG,KH,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MG,MM,MO,MQ,MT,MU,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SN,SR,TH,TM,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-02-06T18,224,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,2,0,8,1,0,0,7,0,0,0,0,1,56,1,0,0,0,0,0,7,0,13,9,0,0,0,0,1,0,0,2,1,0,5,0,1,17,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,14,2,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,13,9,0,0,0,0,4,0,0,1,0,1,0,0,22,0,0,0,0,0,0,0
2023-02-06T19,245,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,13,4,0,0,6,0,0,0,0,0,64,0,0,0,0,0,0,7,0,10,15,0,0,0,0,3,0,0,2,0,0,2,0,0,15,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,3,0,0,0,0,0,0,2,2,0,2,0,6,0,0,0,4,8,0,0,0,0,3,0,0,2,0,6,0,2,24,0,0,0,0,0,0,0
2023-02-06T20,184,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2,0,15,0,0,0,3,1,0,0,0,1,53,0,0,0,0,0,0,4,0,13,15,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,0,0,2,0,0,2,0,4,0,0,0,2,7,0,0,0,0,0,0,0,1,0,3,0,0,19,0,0,0,0,0,0,0
2023-02-06T21,215,2,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,4,0,7,2,0,0,7,2,0,0,0,2,36,0,0,0,0,0,0,3,0,14,18,0,0,0,0,1,0,1,0,0,0,3,0,0,22,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,1,0,0,2,1,0,1,0,4,0,0,0,3,8,0,0,0,0,1,0,0,1,0,0,0,0,35,0,0,0,1,0,0,0
2023-02-06T22,163,1,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,3,0,10,1,0,0,13,1,0,0,0,0,16,0,0,0,0,0,0,4,0,11,8,0,0,0,0,1,0,2,0,0,0,0,0,0,18,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,4,6,0,0,0,0,0,0,0,1,0,2,0,0,33,0,0,0,1,0,0,0
2023-02-06T23,156,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,3,0,12,1,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,4,0,7,6,0,0,0,0,5,0,0,0,0,0,0,0,0,11,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,42,0,0,1,0,0,0,0
2023-02-07T00,121,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,10,0,1,0,12,0,0,0,0,0,7,0,0,0,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,2,6,0,0,0,0,0,0,0,0,0,2,0,1,34,0,0,1,2,0,0,0
2023-02-07T01,171,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,34,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,3,0,0,0,0,2,0,0,1,1,0,0,0,1,2,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,2,6,0,0,0,0,3,0,0,0,0,1,0,0,68,0,0,0,4,0,0,0
2023-02-07T02,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,14,1,0,0,18,1,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,0,0,0,0,2,0,0,0,0,1,0,0,40,0,0,0,1,0,0,0
2023-02-07T03,91,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,15,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,34,0,1,0,0,0,0,0
