bucket,total,--,AE,AL,AM,AR,AT,AU,BA,BB,BD,BE,BF,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GR,HK,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SC,SE,SG,SI,SK,SO,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA
2023-08-07T08,85,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,13,0,0,0,0,7,0,0,0,0,0,0,0,0,2,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,2,0,1,0,1,0,4,0,0,0,5,0,0,0,1,0,0,2,0,2,19,0,0,0,0,0,0
2023-08-07T09,73,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,4,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,0,1,0,1,0,4,0,0,0,7,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0
2023-08-07T10,81,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2023-08-07T11,76,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,9,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,4,0,0,1,7,0,0,0,4,0,0,5,0,1,14,0,0,0,0,0,0
2023-08-07T12,94,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,5,2,0,0,1,8,0,1,0,0,0,0,0,0,3,8,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,2,0,0,1,12,0,0,0,6,0,0,4,0,0,21,0,0,0,0,0,0
2023-08-07T13,95,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,2,0,0,0,10,0,0,0,0,0,0,0,0,4,10,0,0,0,1,0,0,0,1,0,1,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,0,3,0,2,0,0,0,0,0,1,0,0,1,6,0,0,0,7,0,2,4,0,1,15,0,0,0,0,0,0
2023-08-07T14,111,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,9,0,0,0,22,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,1,0,0,0,3,0,0,1,6,0,0,0,12,0,1,2,0,0,11,0,0,0,0,0,0
2023-08-07T15,107,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,5,1,0,0,0,14,0,0,0,0,0,1,0,0,4,5,0,0,0,1,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,1,0,0,0,1,0,3,0,0,1,9,0,0,0,11,0,0,2,0,1,24,0,0,0,0,0,0
2023-08-07T16,106,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,0,18,0,0,0,0,0,1,0,0,5,9,0,0,0,1,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,1,0,1,0,0,0,4,0,0,2,6,0,0,0,14,0,1,2,0,0,12,0,0,0,0,0,0
2023-08-07T17,136,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,36,0,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,2,0,1,0,1,0,0,0,2,1,0,2,5,0,0,0,10,0,1,1,0,0,15,1,0,0,0,0,0
2023-08-07T18,141,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,1,0,1,0,0,0,1,36,0,0,0,0,0,2,0,0,6,16,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,3,0,3,0,0,0,2,1,0,2,5,0,0,0,6,0,1,0,0,2,15,0,0,0,0,0,0
