bucket,total,--,AE,AL,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GG,GH,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JP,KE,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MK,MM,MN,MU,MX,MY,NA,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SR,TH,TN,TR,TT,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-05-08T08,77,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,5,0,0,0,0,10,1,0,0,0,0,0,2,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,4,0,0,0,2,0,0,11,0,0,0,2,0,0,0
2023-05-08T09,94,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,8,1,0,0,0,9,1,0,0,0,0,0,1,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,8,0,0,0,2,0,0,0,3,0,0,18,0,0,1,0,0,0,0
2023-05-08T10,102,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,0,1,8,1,0,0,1,11,1,0,0,0,0,0,2,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,8,0,0,0,5,0,0,0,6,0,0,23,0,0,0,0,0,0,0
2023-05-08T11,105,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,6,0,0,0,0,13,1,0,0,0,0,0,2,0,0,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,7,0,0,0,4,0,0,0,5,0,0,24,0,0,0,0,0,0,1
2023-05-08T12,118,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,16,1,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,6,0,0,0,5,0,0,0,3,0,0,16,0,0,0,0,0,0,0
2023-05-08T13,136,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,15,1,0,0,0,0,0,1,0,1,5,7,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,2,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,7,0,0,0,2,0,0,35,0,0,0,0,1,0,0
2023-05-08T14,141,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,13,1,0,0,0,0,1,2,0,1,16,12,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,1,6,0,0,0,13,0,1,0,5,1,0,22,0,0,0,0,0,0,0
2023-05-08T15,147,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,12,0,0,0,0,21,1,1,0,0,0,0,3,0,0,11,10,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0,10,0,2,0,3,0,0,22,1,0,1,0,0,0,0
2023-05-08T16,179,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,17,0,0,0,0,18,1,0,0,0,0,0,2,0,0,16,3,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,19,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,1,0,0,0,0,1,0,1,0,1,0,0,1,0,2,0,0,0,6,5,0,0,0,12,0,1,0,1,0,0,34,1,0,0,1,0,0,0
2023-05-08T17,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0,0,0,0,39,1,1,0,0,0,0,8,0,0,7,11,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,10,7,0,0,0,9,0,0,0,1,0,0,19,0,0,0,1,0,0,0
