bucket,total,--,AE,AL,AR,AT,AU,BA,BB,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CW,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GH,GM,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MA,MD,MM,MN,MO,MT,MX,MY,NC,NG,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SC,SD,SE,SG,SI,SK,TH,TN,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZM
2024-01-01T11,125,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,1,0,6,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5,7,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,2,0,1,0,2,0,0,0,1,5,0,0,5,0,0,0,0,34,0,0,0,2,1,0
2024-01-01T12,157,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,24,0,0,0,0,1,14,0,0,0,0,0,0,1,0,9,7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,1,3,0,2,1,0,0,1,10,0,0,12,0,1,1,1,36,0,0,0,0,0,0
2024-01-01T13,151,0,0,0,0,0,1,0,0,0,1,1,0,0,0,3,1,0,0,0,20,0,0,0,0,0,14,0,0,0,0,0,0,2,0,7,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,2,2,1,0,5,1,0,0,0,5,0,0,13,0,1,3,1,36,0,0,0,0,0,0
2024-01-01T14,140,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,15,0,0,0,0,0,14,0,0,0,0,0,0,1,0,5,12,0,0,0,0,2,0,0,0,0,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,3,0,4,0,4,0,0,0,1,7,0,0,13,0,1,3,1,24,0,0,0,0,2,0
2024-01-01T15,144,2,2,0,0,0,1,0,0,0,1,0,0,1,0,5,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,0,1,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,10,1,0,0,1,0,3,0,4,0,4,0,0,0,4,7,0,0,8,0,1,1,0,28,0,0,0,2,0,0
2024-01-01T16,153,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0,12,0,0,0,0,0,28,0,0,0,0,0,0,3,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,2,0,3,0,2,0,3,0,0,0,4,5,0,0,10,0,1,3,0,24,0,0,0,0,1,0
2024-01-01T17,170,0,0,0,1,1,1,0,0,0,2,0,0,0,0,3,1,0,0,0,15,2,0,0,0,0,26,0,0,0,1,0,0,3,0,10,15,0,0,0,0,1,0,0,2,0,0,0,0,0,0,14,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,1,0,3,2,4,1,3,0,0,0,3,5,0,0,10,0,0,1,0,24,0,0,0,0,0,0
2024-01-01T18,211,0,0,0,1,1,1,0,0,0,1,0,0,0,0,5,0,0,1,0,19,0,0,0,0,0,32,0,0,0,0,0,0,6,0,6,14,0,0,0,0,2,0,0,2,0,0,0,0,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,8,4,6,0,4,1,0,0,4,5,0,0,11,0,0,0,0,44,0,0,0,0,1,0
2024-01-01T19,201,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6,1,0,1,0,16,0,0,0,0,1,33,0,0,0,0,0,0,9,0,2,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,9,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,0,5,1,5,0,4,0,0,0,4,7,0,0,11,0,3,0,0,32,0,0,0,1,0,0
2024-01-01T20,205,2,0,0,0,1,1,0,0,0,2,0,0,0,0,8,3,0,0,0,16,0,0,0,0,1,29,0,0,0,0,0,0,2,0,4,15,0,0,0,0,0,0,0,2,0,0,2,0,0,0,9,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,0,5,1,3,0,3,1,0,0,3,7,0,0,8,0,0,0,0,49,0,0,0,0,1,0
2024-01-01T21,170,4,0,0,1,1,1,0,0,0,2,0,0,0,0,3,3,0,0,0,26,0,0,0,0,0,24,0,0,0,0,0,0,2,0,3,12,0,0,0,0,0,0,0,1,0,0,1,0,0,0,13,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,4,2,0,0,4,0,0,0,4,6,0,0,4,0,0,1,0,28,0,0,0,0,0,0
