bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BH,BJ,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,ES,ET,FI,FR,GB,GR,HK,HN,HR,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MU,MW,MX,MY,NC,NG,NI,NL,NO,NZ,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,TG,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-10-29T10,112,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,17,0,0,0,1,0,0,3,7,0,3,0,0,0,0,8,0,1,0,0,6,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,4,0,1,0,1,0,1,0,0,0,2,7,0,0,1,0,0,3,0,0,15,0,1,0,0,0,0,0
2023-10-29T11,112,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,11,0,0,0,1,0,0,5,8,0,6,0,0,0,0,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,2,0,1,0,2,0,6,0,0,0,3,7,0,0,3,0,0,2,0,0,23,0,0,0,0,0,0,0
2023-10-29T12,133,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,0,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,7,3,0,7,0,0,0,1,7,0,1,0,0,2,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,10,0,0,0,1,0,1,0,0,0,3,0,2,0,1,0,2,8,0,0,6,0,1,4,0,0,15,0,0,0,0,0,0,0
2023-10-29T13,153,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,0,0,8,0,0,0,0,0,17,0,0,0,0,0,0,5,6,0,6,0,0,1,1,0,1,3,1,0,8,6,0,0,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,1,1,0,1,0,1,0,0,0,3,0,2,1,1,0,4,7,0,0,12,0,0,5,0,0,24,0,0,0,0,1,0,0
2023-10-29T14,158,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,5,0,0,0,0,0,19,1,0,0,1,0,0,10,14,0,1,0,0,0,2,0,1,0,0,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,10,1,1,0,4,0,2,0,0,0,2,0,1,0,0,0,1,6,0,0,13,0,0,6,0,0,29,0,0,0,0,0,0,0
2023-10-29T15,230,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,8,1,0,0,0,1,0,0,0,0,0,32,1,0,0,1,0,0,11,16,0,2,0,0,0,0,0,1,0,0,0,25,3,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,1,0,6,0,0,0,2,0,1,0,0,0,2,5,0,0,11,0,0,7,0,0,64,1,0,0,0,0,0,0
2023-10-29T16,201,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,7,0,0,0,0,0,41,0,0,0,3,0,0,14,11,0,3,0,0,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,9,0,2,0,1,0,6,0,3,0,1,0,6,0,0,0,4,5,0,0,7,0,0,3,0,0,37,0,0,1,0,0,0,0
2023-10-29T17,182,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,43,0,0,0,5,0,0,13,6,0,3,0,0,1,0,8,1,0,0,0,21,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,1,0,1,0,3,0,2,0,2,0,3,0,0,0,5,5,0,0,5,0,0,3,0,0,24,0,0,0,0,0,0,0
2023-10-29T18,165,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,3,0,0,5,0,0,0,0,1,1,0,0,0,1,41,0,0,0,6,0,0,10,6,0,2,0,0,0,0,5,0,0,0,0,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,1,0,4,0,0,0,0,0,2,0,0,0,4,5,0,0,8,0,0,2,0,0,26,0,0,0,0,0,0,0
2023-10-29T19,162,2,0,0,0,0,1,0,1,0,0,3,0,0,0,0,2,0,0,5,0,0,1,0,2,2,0,0,0,1,39,0,0,0,3,0,0,10,12,0,1,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,6,0,0,0,0,1,4,0,0,0,2,6,0,0,9,0,0,1,0,0,20,0,0,0,1,1,0,0
2023-10-29T20,170,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,35,0,0,0,3,0,0,10,8,0,2,0,0,0,0,6,0,0,0,0,25,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,1,0,5,0,3,0,2,0,3,2,0,0,0,5,0,0,2,0,1,1,0,0,27,0,0,0,0,0,0,0
2023-10-29T21,144,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,0,0,3,0,0,0,1,4,0,0,0,0,0,20,0,0,0,0,0,0,5,8,0,1,0,0,0,0,0,1,0,0,0,26,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,4,0,2,0,2,0,0,0,1,7,0,0,1,0,0,3,0,0,24,0,0,0,0,0,0,0
2023-10-29T22,121,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,11,0,0,0,0,1,12,0,0,0,1,0,0,3,10,0,1,0,0,0,0,0,0,0,0,0,12,3,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,1,5,0,0,1,0,0,1,0,0,28,0,0,0,0,1,0,0
2023-10-29T23,134,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,19,0,0,1,0,1,12,0,0,0,2,0,0,4,10,0,2,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,5,0,0,1,0,0,3,0,0,37,0,0,0,2,0,0,0
2023-10-30T00,124,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,0,22,0,0,0,0,0,6,0,0,0,3,0,0,4,3,0,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,1,0,0,46,0,0,0,1,0,0,0
