bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BH,BO,BR,BY,BZ,CA,CH,CI,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LT,LU,LV,MA,MC,MD,MK,MM,MO,MW,MX,MY,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,TZ,UA,UG,US,UZ,VE,VN,ZA,ZM,ZW
2023-12-11T20,174,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,0,0,9,0,0,1,33,1,0,0,0,0,1,0,0,7,21,0,0,0,3,0,0,0,1,0,0,1,0,0,10,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20,1,0,0,0,1,0,3,0,2,0,2,1,3,6,0,4,0,1,0,0,0,26,0,0,0,0,0,0
2023-12-11T21,166,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,0,9,0,0,0,24,0,0,0,0,0,1,0,0,8,21,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,1,0,1,0,1,0,4,1,2,5,0,9,2,1,0,0,0,32,0,0,0,1,0,0
2023-12-11T22,148,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,1,0,2,20,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,0,0,5,1,1,6,0,5,1,1,1,0,0,28,0,0,0,1,0,0
2023-12-11T23,176,2,0,3,0,1,0,0,0,1,0,0,2,0,0,8,1,0,0,17,0,0,0,15,0,0,0,0,0,2,0,0,3,12,0,0,0,1,0,0,0,0,0,0,1,0,2,11,10,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,7,0,0,0,0,1,0,0,3,0,0,11,1,1,9,0,4,0,1,1,0,0,37,0,1,1,0,0,0
2023-12-12T00,132,1,0,0,0,1,0,0,0,1,0,0,1,0,0,5,1,0,0,15,0,0,0,12,0,0,0,0,0,0,0,0,1,11,0,0,0,2,0,0,0,0,0,0,1,0,0,3,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,2,0,1,0,2,2,0,0,6,1,1,6,0,2,0,1,0,0,0,38,0,0,1,0,0,0
2023-12-12T01,112,1,0,0,0,1,0,0,0,2,0,0,1,0,0,19,0,0,0,9,1,0,0,7,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,3,0,0,0,1,1,1,5,0,4,0,2,0,0,0,35,0,0,1,0,0,0
2023-12-12T02,94,2,0,0,0,0,0,0,0,1,0,0,1,0,0,19,0,0,0,8,1,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,2,1,5,0,1,0,2,0,0,0,35,0,0,0,0,0,0
2023-12-12T03,105,4,0,0,0,1,0,1,0,1,0,0,1,0,0,13,0,0,0,14,0,0,0,5,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,1,0,3,0,0,0,37,0,0,0,0,0,0
2023-12-12T04,87,2,0,0,0,2,0,1,0,3,0,0,1,0,0,5,0,0,0,11,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,1,5,0,2,0,3,0,0,0,30,0,0,0,1,0,0
2023-12-12T05,78,0,0,0,0,0,0,0,1,1,0,0,1,0,0,5,1,0,0,19,0,1,0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,1,2,5,0,0,0,1,0,0,0,17,0,0,0,0,0,0
