bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MM,MO,MT,MU,MX,MY,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RE,RO,RS,RU,RW,SC,SE,SG,SI,SK,SN,TH,TL,TN,TR,TW,UA,US,UY,VE,VN,ZA,ZM
2023-11-13T11,89,2,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,2,3,0,0,0,2,0,2,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,8,0,0,0,3,0,0,0,5,0,19,0,0,0,0,0
2023-11-13T12,94,2,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,5,5,0,0,0,1,0,1,2,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,8,0,0,0,3,0,0,0,3,0,22,0,1,0,0,0
2023-11-13T13,89,2,0,0,1,1,0,0,1,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,3,7,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,5,0,0,1,5,0,0,0,6,0,0,0,1,0,23,0,0,0,0,0
2023-11-13T14,141,2,0,0,0,3,0,0,1,0,0,3,0,6,2,0,0,0,6,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,9,0,0,2,0,0,0,6,0,2,0,0,0,7,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,1,7,0,0,0,5,0,0,0,2,0,46,0,0,0,0,0
2023-11-13T15,122,4,0,0,0,1,0,0,0,1,0,1,1,6,1,0,0,0,2,1,0,1,0,1,12,1,0,0,0,0,0,2,0,0,7,7,0,0,4,0,0,0,4,0,1,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,6,0,1,0,8,0,0,2,3,0,14,0,0,0,0,0
2023-11-13T16,170,1,0,0,1,1,0,0,0,0,0,3,0,5,1,0,0,0,14,1,0,0,0,0,22,1,0,0,0,0,0,2,0,0,8,8,0,0,3,0,0,0,1,0,2,0,0,0,18,0,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,1,7,0,0,0,6,0,0,1,2,0,31,0,0,0,0,0
2023-11-13T17,164,2,0,0,0,1,0,0,0,0,0,2,2,6,0,0,0,0,17,0,0,0,0,0,23,1,0,0,0,0,0,2,0,0,11,6,0,0,3,0,0,0,2,0,1,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,7,0,0,0,0,0,0,0,4,0,2,0,0,3,0,2,0,0,7,5,0,0,0,5,0,0,2,3,0,19,0,0,1,0,0
2023-11-13T18,192,3,0,0,1,1,1,0,0,2,0,3,0,3,1,0,0,1,22,0,0,0,0,0,43,1,0,0,0,0,0,2,0,0,12,14,0,0,2,0,0,0,0,0,0,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,5,6,0,0,0,2,0,0,2,1,1,23,0,0,0,0,0
2023-11-13T19,227,2,0,0,1,1,1,0,0,1,0,0,0,8,0,0,0,0,19,0,0,0,0,0,51,1,0,0,0,0,0,5,0,2,9,18,0,0,0,0,0,0,1,0,2,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1,0,1,0,0,2,0,3,0,0,4,6,0,0,0,4,0,0,3,2,1,29,0,1,0,0,0
2023-11-13T20,181,3,0,1,1,1,0,0,0,2,0,2,0,3,1,0,1,0,14,0,0,0,0,0,38,0,0,0,0,0,0,3,0,0,14,12,0,0,0,0,0,0,1,0,1,0,0,0,15,0,3,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,3,5,0,0,0,1,0,0,2,1,1,28,0,0,0,0,0
2023-11-13T21,171,3,0,1,0,1,0,0,0,1,0,1,0,2,2,0,0,0,14,1,0,0,0,0,26,0,0,0,0,0,0,3,0,2,6,17,0,0,1,0,0,0,1,0,0,0,0,0,19,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,20,0,0,1,0,0,0,0,2,0,2,0,0,0,0,1,0,0,3,6,0,0,0,0,0,0,1,0,1,26,0,0,0,0,0
2023-11-13T22,167,3,0,0,0,1,1,0,0,1,0,0,0,4,2,0,0,0,4,0,0,0,0,0,15,1,0,0,0,0,0,1,0,0,8,15,0,0,1,0,0,0,7,0,1,0,0,0,18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,0,0,5,0,1,0,0,1,0,3,1,0,3,6,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0
2023-11-13T23,145,4,0,2,0,1,1,0,0,0,0,1,0,12,1,0,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,4,12,0,0,1,0,0,0,1,0,2,0,0,0,11,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,6,0,1,0,0,0,0,3,0,0,1,6,0,0,1,0,0,0,0,1,0,40,0,0,0,1,0
2023-11-14T00,111,1,0,0,0,3,0,0,0,0,0,0,0,9,1,0,1,0,2,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,1,9,0,0,0,1,0,2,1,0,0,0,0,0,9,0,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,36,0,0,1,0,0
2023-11-14T01,98,3,0,0,0,3,0,0,0,0,0,0,0,7,1,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,5,2,0,0,0,0,0,2,1,0,0,0,0,0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,0,0,0,0,0,0,1,0,0,39,0,1,0,0,0
2023-11-14T02,97,2,0,0,0,1,0,0,1,0,0,0,0,13,1,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,5,0,0,0,2,0,1,0,3,0,39,0,0,1,0,1
2023-11-14T03,96,3,0,1,0,1,0,0,1,0,0,2,0,12,1,0,0,0,2,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,0,1,0,1,0,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,1,5,0,0,0,0,0,0,1,0,0,36,0,0,1,0,0
2023-11-14T04,80,2,0,1,2,2,0,0,2,0,1,2,0,5,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,3,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,2,6,0,0,0,0,0,0,1,0,0,25,0,0,1,0,0
2023-11-14T05,79,3,1,0,0,1,0,0,2,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,0,1,0,0,0,1,0,31,0,0,0,0,0
2023-11-14T06,72,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,3,0,0,0,1,0,6,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,7,0,0,0,2,0,0,0,0,0,20,0,0,0,1,0
