bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CV,CY,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JP,KE,KH,KM,KR,KW,KZ,LA,LT,LU,LV,MA,MD,MK,MM,MN,MO,MQ,MT,MU,MV,MX,MY,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PS,PT,PY,RE,RO,RS,RU,RW,SA,SD,SE,SG,SI,SK,SZ,TH,TN,TR,TW,UA,UG,US,UY,UZ,VE,VN,WS,ZA,ZW
2023-01-02T14,209,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,6,0,0,0,0,26,0,0,0,0,0,4,0,0,7,19,0,0,3,0,0,0,1,0,1,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,9,0,2,1,0,0,90,0,0,0,0,0,0,0
2023-01-02T15,120,2,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3,0,0,1,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,7,10,0,0,2,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,5,0,0,0,7,0,2,3,0,0,22,0,0,0,0,0,1,0
2023-01-02T16,164,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,12,0,0,0,0,34,0,0,0,0,0,2,0,0,14,14,1,0,4,0,0,0,1,0,2,0,0,0,16,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,1,6,1,0,0,6,0,0,2,0,0,21,0,0,0,1,0,0,0
2023-01-02T17,200,2,0,0,0,0,0,0,0,0,1,0,0,1,10,0,6,2,0,0,0,16,0,0,0,0,42,0,0,0,0,0,3,0,0,15,12,0,0,1,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,0,0,0,3,5,0,1,0,5,0,1,0,0,0,39,0,0,0,0,0,0,0
2023-01-02T18,238,2,0,0,0,1,0,0,0,0,3,0,0,0,1,0,3,2,0,2,0,14,0,0,0,0,55,0,0,0,0,0,4,0,1,8,13,0,0,0,0,0,0,2,0,0,0,0,0,20,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,10,6,0,0,0,5,0,2,0,0,0,44,0,0,0,0,0,0,0
2023-01-02T19,223,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,0,0,0,12,0,0,1,1,54,0,0,0,0,0,5,0,1,6,22,0,0,3,1,0,0,1,0,0,0,0,0,19,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,1,0,0,1,0,2,0,0,1,0,0,1,0,1,0,0,0,4,5,0,0,0,2,0,4,0,1,0,31,0,0,0,0,0,2,0
2023-01-02T20,211,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,1,18,0,0,0,0,46,0,0,0,0,0,4,0,0,9,15,0,0,0,0,1,0,0,0,1,0,0,0,21,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,8,6,0,0,0,2,0,1,1,0,0,34,0,0,0,0,0,0,0
2023-01-02T21,229,2,1,0,0,0,0,0,0,0,0,0,0,0,12,0,6,2,0,0,0,14,0,0,0,1,40,0,0,0,0,0,4,0,0,12,12,0,0,1,0,1,0,0,0,0,0,0,0,21,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,3,5,0,0,0,3,0,2,0,0,0,54,0,0,0,1,0,0,0
2023-01-02T22,253,3,0,0,1,0,74,0,0,0,0,0,0,0,2,0,4,2,0,0,0,7,0,0,0,0,28,0,0,0,0,0,3,0,1,9,13,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,1,0,2,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,2,6,0,0,0,1,0,2,1,0,0,42,1,0,0,0,0,0,0
2023-01-02T23,206,3,0,0,1,0,60,0,0,0,1,0,0,0,4,0,6,0,0,0,0,1,0,0,0,2,18,0,0,0,0,0,1,0,0,5,12,0,0,2,0,0,0,1,0,2,0,0,0,13,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,2,6,0,0,0,2,0,0,1,0,0,41,0,0,0,0,0,0,1
