bucket,total,--,AE,AF,AM,AR,AT,AU,AZ,BA,BD,BE,BF,BG,BO,BR,BW,BY,CA,CH,CI,CL,CN,CO,CR,CV,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GH,GL,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KE,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,ME,MG,MK,MM,MN,MO,MU,MW,MX,MY,NA,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SY,TG,TH,TM,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VI,VN,ZA,ZM,ZW
2023-07-17T12,146,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,0,0,12,0,1,1,1,0,3,0,0,6,10,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,1,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,8,0,0,0,2,0,0,0,33,0,0,0,0,0,0,0,0
2023-07-17T13,227,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,0,0,0,0,28,0,1,1,0,0,2,0,0,6,6,0,0,0,1,0,2,0,1,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,2,12,0,0,0,13,0,0,2,3,0,1,0,99,0,0,0,0,1,0,0,0
2023-07-17T14,129,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,21,0,0,0,0,20,0,0,0,0,0,3,0,0,6,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,16,0,0,0,3,0,1,0,20,0,0,0,0,0,0,0,0
2023-07-17T15,231,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,0,18,0,0,0,0,31,0,0,0,0,0,2,0,0,7,7,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,0,29,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,12,0,0,0,17,0,0,0,2,0,1,0,79,0,0,0,0,0,0,0,0
2023-07-17T16,191,3,0,0,0,0,1,2,0,0,0,1,0,0,0,5,0,0,2,0,0,0,15,0,0,0,0,21,1,0,0,0,0,1,0,1,6,7,0,0,0,0,0,8,0,0,0,3,9,0,0,0,0,8,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,18,0,0,0,12,0,0,1,3,0,2,0,45,0,1,0,0,0,0,0,0
2023-07-17T17,221,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,17,0,0,0,0,30,1,0,0,0,0,2,0,0,7,11,0,0,0,0,0,7,0,0,0,3,0,0,7,0,0,9,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,15,0,0,0,7,0,0,1,2,0,1,0,61,0,0,0,0,0,0,0,0
2023-07-17T18,200,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,6,1,0,0,22,0,0,0,0,29,0,0,0,0,0,1,0,1,7,16,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,6,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0,0,1,2,1,0,0,0,0,1,2,0,0,0,0,14,0,0,0,3,0,0,0,2,0,1,0,38,0,0,1,0,0,0,0,0
2023-07-17T19,146,4,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,17,0,0,0,0,33,0,0,0,0,0,0,0,0,8,10,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,7,0,0,0,1,0,0,1,1,0,0,0,18,0,0,0,0,0,0,0,0
2023-07-17T20,192,6,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,3,2,0,0,16,0,0,0,0,31,0,0,0,0,0,1,0,0,8,9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,17,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,8,0,0,0,3,0,0,1,0,0,0,0,50,0,0,0,0,0,0,0,0
2023-07-17T21,174,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,14,0,0,0,0,16,0,0,0,0,0,1,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,6,0,0,0,2,0,0,0,1,0,1,0,64,0,0,0,0,0,0,0,0
