bucket,total,--,AE,AL,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MD,MK,MO,MR,MX,MY,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SK,SN,TH,TM,TN,TR,TW,UA,UG,US,UY,VE,VN,ZA,ZM,ZW
2023-05-29T13,132,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,4,1,0,0,0,19,3,0,0,0,0,0,0,0,0,9,7,2,0,0,0,0,0,0,0,1,0,1,3,1,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,8,0,0,10,0,0,1,4,0,0,18,0,0,1,0,0,0
2023-05-29T14,144,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,8,1,0,0,0,19,3,0,0,0,0,1,0,0,0,14,9,0,0,2,0,0,0,0,0,0,0,0,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,7,0,0,10,0,0,2,5,0,0,16,0,0,1,0,0,0
2023-05-29T15,143,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,16,1,0,0,0,20,1,0,0,0,0,0,0,0,1,13,12,0,0,2,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,7,0,0,15,0,0,0,4,0,0,12,0,0,0,0,0,0
2023-05-29T16,151,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,9,1,0,0,0,25,0,0,0,0,0,0,2,0,1,15,7,0,0,1,0,0,0,0,0,2,0,0,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,5,0,0,16,0,0,0,3,0,1,19,0,0,2,0,0,0
2023-05-29T17,148,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,1,1,0,0,1,30,1,0,0,0,0,0,6,0,2,9,9,0,0,1,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1,0,1,0,3,0,7,0,0,0,0,6,0,0,5,0,0,0,3,1,0,20,0,0,0,0,0,0
2023-05-29T18,170,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,1,0,5,1,0,0,0,20,0,0,0,0,0,0,8,0,0,10,12,0,0,3,0,0,0,0,0,1,0,1,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,1,4,8,0,0,5,0,0,1,2,0,0,28,0,0,0,0,0,0
2023-05-29T19,178,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,1,5,1,0,0,0,26,0,0,0,0,0,0,6,0,0,15,15,0,0,2,0,0,0,0,0,1,0,2,11,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,6,0,0,7,0,0,1,1,0,0,32,0,0,0,0,0,0
2023-05-29T20,180,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,4,1,0,0,0,36,0,0,0,0,0,0,2,0,0,7,15,0,0,2,0,0,0,0,0,0,0,0,21,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,0,1,5,1,0,5,0,0,1,0,1,0,33,0,0,1,0,0,0
2023-05-29T21,148,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,1,0,0,19,0,0,0,0,0,0,3,0,0,10,13,1,0,0,1,0,0,0,0,3,0,0,20,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,5,0,0,2,0,0,1,1,0,0,22,0,0,1,0,0,0
2023-05-29T22,109,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,5,0,0,4,1,0,0,0,12,0,0,0,0,0,0,1,0,0,4,8,0,0,0,0,0,0,0,0,0,0,1,14,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,8,0,0,2,0,0,0,1,1,0,23,0,0,0,0,0,0
