bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,DZ,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JM,JP,KG,KH,KR,KZ,LA,LB,LK,LT,LU,LV,MA,MC,MD,MK,MN,MO,MU,MX,MY,MZ,NC,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SI,SK,SV,TH,TM,TR,TW,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-04-10T13,135,3,0,0,0,0,0,0,1,2,0,0,3,0,0,1,0,0,6,0,0,0,1,15,0,0,0,0,0,0,0,11,8,0,0,0,0,6,0,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,4,5,0,0,0,7,0,1,8,0,0,27,0,0,0,0,0,0,0
2023-04-10T14,125,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,8,0,0,0,0,16,0,0,0,0,1,0,0,13,6,0,0,1,0,2,0,1,0,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,10,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,3,6,0,0,0,10,0,3,7,0,0,18,0,0,0,0,0,0,0
2023-04-10T15,170,6,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,7,0,0,0,1,28,0,0,0,0,1,0,0,21,12,0,0,0,0,3,0,1,0,0,3,0,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,14,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,2,6,0,0,0,14,0,1,3,4,0,16,0,0,0,0,0,0,0
2023-04-10T16,175,4,0,0,0,0,0,0,0,4,0,0,1,0,2,1,0,0,8,0,0,0,0,31,0,0,0,0,0,0,0,18,11,0,0,0,0,4,1,0,0,0,2,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,1,0,2,0,0,0,0,1,0,3,0,0,3,7,0,0,0,13,0,2,3,2,0,18,0,0,0,0,0,0,0
2023-04-10T17,174,3,0,1,0,0,0,0,0,4,0,0,1,0,0,2,0,0,13,0,0,0,1,34,0,0,0,0,3,0,0,11,14,0,0,1,0,5,1,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,6,5,0,0,0,3,0,1,1,0,0,22,0,0,0,0,0,0,0
2023-04-10T18,200,4,0,1,0,0,0,0,0,2,0,0,0,0,4,2,0,0,14,0,0,0,0,34,0,0,0,0,10,0,0,16,15,0,0,0,0,1,1,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,1,0,2,0,0,1,0,3,0,1,0,0,0,1,4,0,0,9,5,0,0,0,5,0,1,1,1,0,15,0,0,0,0,0,0,0
2023-04-10T19,155,1,0,0,0,0,0,0,0,3,0,0,0,0,2,1,1,0,13,0,0,0,0,29,1,0,0,0,4,0,1,13,11,0,0,0,0,1,0,1,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,6,0,0,0,6,0,3,0,0,0,17,0,0,0,0,0,0,0
2023-04-10T20,173,2,0,1,0,0,0,0,0,1,0,0,0,1,2,1,0,0,13,0,1,0,1,32,2,0,0,0,2,0,1,11,15,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,23,1,0,0,0,0,0,0,2,0,1,0,0,1,0,5,0,0,3,7,0,0,0,2,0,1,0,0,0,22,0,0,0,0,1,0,0
2023-04-10T21,140,3,0,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,15,1,0,0,1,21,1,0,0,0,1,0,1,7,11,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,5,0,0,0,1,0,1,0,1,0,26,0,0,0,0,0,0,0
2023-04-10T22,135,4,0,0,1,1,0,0,0,0,1,0,2,0,7,0,0,0,8,2,0,0,1,14,0,0,0,0,2,0,1,5,10,0,0,0,0,1,0,1,0,0,0,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,3,6,0,0,0,1,0,0,1,0,0,34,0,0,0,0,0,0,0
2023-04-10T23,104,2,0,2,0,1,0,0,0,0,0,0,2,0,6,1,0,0,3,3,0,0,0,7,0,0,0,0,1,0,1,0,7,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,2,5,0,0,0,0,0,0,0,1,0,40,0,0,0,0,0,0,0
2023-04-11T00,79,1,0,2,0,0,0,0,0,0,0,0,1,0,4,0,1,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,5,0,0,0,1,0,0,0,2,0,39,0,0,0,0,0,0,0
2023-04-11T01,111,1,0,0,0,2,0,0,0,0,0,0,1,0,7,1,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,2,7,0,0,0,1,0,0,0,2,0,57,0,0,0,0,0,0,0
