bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JP,KE,KH,KR,KZ,LA,LK,LT,LU,LV,MA,MK,MN,MT,MU,MX,MY,NE,NG,NI,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,QA,RO,RS,RU,RW,SC,SE,SG,SK,SO,TH,TM,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZM
2023-04-17T18,206,2,1,0,0,0,0,0,0,1,0,0,1,0,6,0,1,5,0,0,2,63,0,0,0,0,0,0,6,0,0,5,14,0,0,0,0,0,0,0,1,0,1,0,0,10,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,3,0,0,0,0,1,0,5,0,0,0,1,3,0,2,0,0,7,5,0,0,5,0,0,3,0,0,1,25,0,0,0,0,0,0
2023-04-17T19,177,2,0,0,0,0,0,0,0,3,0,0,1,0,8,1,0,2,0,0,2,47,0,0,0,0,0,0,4,0,0,10,12,0,0,2,0,0,0,0,0,0,2,0,0,13,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,1,1,3,0,1,0,0,2,0,0,0,0,5,7,0,0,4,0,0,1,0,0,0,26,0,0,0,0,0,0
2023-04-17T20,183,1,0,1,0,0,0,0,1,2,0,0,1,0,5,1,0,2,0,0,1,32,0,0,0,0,0,0,2,0,0,9,16,0,0,1,0,0,0,0,0,0,2,0,0,20,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,1,0,2,0,1,0,0,2,0,2,0,0,4,8,0,0,5,0,0,2,0,0,0,37,0,0,0,1,0,0
2023-04-17T21,138,1,2,1,0,0,0,0,0,3,0,0,1,0,2,1,0,7,0,0,1,18,0,0,0,0,0,0,1,0,0,6,12,0,0,1,0,0,0,0,0,1,0,0,0,17,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,2,0,1,2,0,3,0,0,3,6,0,0,3,0,0,3,0,0,0,21,0,1,0,0,0,0
2023-04-17T22,122,3,0,1,0,0,0,0,0,0,0,0,1,0,10,0,1,0,0,0,1,16,1,0,0,0,0,0,2,0,0,4,12,0,0,1,0,0,0,0,0,1,2,0,0,9,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,3,7,0,0,2,0,0,0,0,0,0,25,0,0,0,0,0,0
2023-04-17T23,90,2,0,2,0,0,0,0,0,1,0,0,1,0,10,1,0,2,0,0,1,8,0,0,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,27,0,0,0,0,1,0
2023-04-18T00,95,2,0,2,0,2,0,0,0,0,0,0,2,0,11,1,0,4,0,0,1,9,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,8,0,0,0,0,0,1,0,0,0,31,0,0,0,0,0,0
2023-04-18T01,96,2,0,1,0,2,0,0,0,0,0,0,1,0,11,0,1,6,0,0,1,7,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,1,0,0,0,40,0,0,0,0,0,0
2023-04-18T02,87,2,0,2,1,0,0,0,0,0,0,0,2,0,7,0,0,11,0,0,1,7,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,30,0,0,0,0,0,0
2023-04-18T03,69,2,0,2,0,1,0,0,0,0,0,0,0,0,7,0,0,5,0,0,1,4,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0
