bucket,total,--,AD,AE,AM,AO,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JO,JP,KR,KZ,LB,LT,LU,LV,MA,MC,MD,MK,MM,MN,MO,MT,MX,MY,MZ,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PR,PT,PY,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,TH,TM,TR,TT,TW,TZ,UA,US,UY,UZ,VE,VN,ZA,ZW
2023-05-22T08,74,3,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,7,0,0,0,7,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,7,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0
2023-05-22T09,83,5,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,11,0,0,0,7,0,0,0,0,0,0,1,0,0,2,2,0,0,0,3,0,0,1,0,0,1,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,0,19,0,0,0,1,0,0
2023-05-22T10,92,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,12,0,0,0,16,0,0,0,0,0,0,2,0,0,6,2,0,0,1,0,0,0,0,0,0,3,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,4,0,0,0,1,0,0,18,0,0,0,0,0,0
2023-05-22T11,96,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,12,0,0,0,8,0,0,0,0,0,0,2,0,0,6,5,0,0,1,1,0,0,1,0,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,6,0,1,0,4,0,0,19,0,0,0,0,0,0
2023-05-22T12,114,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0,12,0,1,0,0,0,0,1,0,0,6,5,0,0,1,0,0,0,0,0,0,2,0,1,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,9,0,1,0,8,0,0,19,0,0,0,1,0,0
2023-05-22T13,105,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,12,0,0,0,0,0,0,4,0,0,5,8,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,10,0,0,0,5,0,0,15,0,0,0,0,0,0
2023-05-22T14,123,4,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,0,0,0,15,0,0,0,20,0,0,0,0,0,0,4,0,0,6,7,0,0,0,0,2,0,0,0,0,2,0,0,5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,16,0,0,0,3,0,2,12,0,0,0,0,0,0
2023-05-22T15,140,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,13,0,0,0,20,0,0,0,0,0,0,8,0,0,8,12,0,0,1,3,2,0,1,0,0,2,0,0,9,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,6,0,0,9,0,0,0,5,0,0,14,0,0,0,0,0,0
2023-05-22T16,163,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,22,0,0,0,28,0,1,0,0,0,0,7,0,0,8,12,0,0,2,1,1,0,0,0,0,1,0,0,12,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,5,0,0,7,0,0,0,1,0,1,18,0,1,0,1,0,0
2023-05-22T17,180,4,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,20,0,0,0,44,0,0,0,0,0,0,5,0,1,10,14,0,0,0,2,0,0,0,1,0,1,0,0,2,0,0,6,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,9,5,0,0,11,0,0,0,0,0,0,13,0,1,0,1,0,0
2023-05-22T18,195,4,0,0,0,0,0,1,0,1,1,0,0,0,1,3,0,8,2,0,0,0,16,0,0,1,36,0,0,0,0,1,0,6,0,0,7,18,0,0,0,0,0,0,0,1,1,0,0,0,9,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,24,2,0,0,0,0,0,1,0,1,0,2,0,2,0,0,0,5,7,0,0,9,0,1,0,0,0,0,18,0,0,0,1,0,0
2023-05-22T19,195,3,0,0,0,0,0,1,0,1,1,0,1,0,1,2,0,12,2,0,0,0,18,0,0,1,32,0,0,0,0,0,0,3,0,0,19,11,0,0,0,1,1,0,0,0,0,0,0,0,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,6,7,0,0,8,0,1,0,0,0,0,21,0,0,0,0,0,0
2023-05-22T20,189,5,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,7,2,0,1,0,20,0,0,1,23,0,0,0,0,0,0,2,0,0,12,11,0,0,0,1,1,0,0,0,0,4,0,0,18,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,0,4,6,0,0,8,0,2,0,1,0,1,25,0,0,0,2,2,0
2023-05-22T21,140,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,5,2,0,0,0,19,0,0,0,15,0,0,0,0,0,0,3,0,0,7,11,0,0,0,1,0,0,0,0,0,2,0,0,15,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,2,5,0,0,6,0,1,0,0,0,0,21,0,0,0,1,0,0
2023-05-22T22,108,2,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,8,0,0,0,0,10,0,0,0,12,0,0,0,0,0,0,3,0,1,1,9,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,1,0,0,0,0,23,1,0,0,0,0,0
2023-05-22T23,101,4,0,0,0,0,2,0,1,1,0,0,0,0,0,3,0,6,0,0,0,0,5,0,0,0,8,0,0,0,0,0,0,3,0,0,3,5,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,1,0,0,0,0,0,2,33,1,0,0,1,0,0
2023-05-23T00,117,5,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,9,1,0,2,0,8,0,0,0,4,0,0,0,0,0,0,2,0,0,1,4,0,0,0,1,0,0,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,44,0,0,0,0,0,0
2023-05-23T01,91,4,0,0,0,0,4,0,0,1,0,0,1,0,0,3,0,9,0,0,3,0,5,0,0,0,4,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,5,0,0,1,0,0,0,1,0,0,31,0,0,0,0,0,0
2023-05-23T02,73,2,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,7,0,0,3,0,6,1,0,0,4,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,1,5,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0
